filter,intervals,pct_pos,n_pos,mean_ev_all,ci95_lo,ci95_hi,bonf_lo,bonf_hi,avg_n,p_s0_49,m_s0_49,p_s50_99,m_s50_99,p_s100_199,m_s100_199
"[0.10,0.20)∪[0.40,0.50)","[(0.1, 0.2), (0.4, 0.5)]",0.57,114,0.004214903846153847,0.0016670673076923086,0.006618713942307691,0.00046081146049896187,0.007940370647089379,14.525,0.64,0.006846153846153848,0.62,0.004203846153846154,0.51,0.002904807692307694
"[0.40,0.50)","[(0.4, 0.5)]",0.57,114,0.003257692307692309,0.0008513341346153865,0.0056657932692307685,-0.0004048093165280652,0.006903217905405355,12.205,0.6,0.006144230769230772,0.64,0.002423076923076925,0.52,0.0022317307692307714
"[0.40,0.50)∪[0.80,0.90)","[(0.4, 0.5), (0.8, 0.9)]",0.57,114,0.0031182692307692318,0.0005387740384615397,0.005688665865384615,-0.0011964640722453208,0.007031549831081,15.43,0.66,0.005821153846153847,0.56,0.001998076923076924,0.53,0.0023269230769230784
"[0.20,0.30)∪[0.40,0.50)","[(0.2, 0.30000000000000004), (0.4, 0.5)]",0.52,104,0.003117788461538462,0.00020491586538461551,0.006194855769230769,-0.0012991940618503114,0.008030825103949932,20.04,0.58,0.009203846153846156,0.52,0.00022115384615384727,0.49,0.0015230769230769228
"[0.40,0.50)∪[0.70,0.80)","[(0.4, 0.5), (0.7, 0.7999999999999999)]",0.505,101,0.0024716346153846173,-0.0004303605769230749,0.005307439903846153,-0.0017275409303534283,0.0070550347583157895,20.68,0.64,0.007569230769230772,0.38,-0.003261538461538459,0.5,0.0027894230769230787
"[0.40,0.60)","[(0.4, 0.6)]",0.535,107,0.0022653846153846153,-0.001298689903846154,0.005882367788461539,-0.003203142866424117,0.007731228560291024,24.445,0.62,0.007453846153846153,0.62,0.0036038461538461532,0.45,-0.0009980769230769225
"[0.10,0.20)","[(0.1, 0.2)]",0.41,82,0.0009572115384615381,0.00024374999999999958,0.0016620673076923073,-0.00019996849012474054,0.002049703417359625,2.32,0.38,0.0007019230769230767,0.48,0.0017807692307692299,0.39,0.0006730769230769226
"[0.10,0.20)∪[0.80,0.90)","[(0.1, 0.2), (0.8, 0.9)]",0.58,116,0.0008177884615384607,-0.0003466706730769239,0.0018943749999999987,-0.00097890819906445,0.0024498934511434445,5.545,0.56,0.00037884615384615295,0.58,0.0013557692307692298,0.59,0.00076826923076923
"[0.10,0.30)","[(0.1, 0.30000000000000004)]",0.485,97,0.0008173076923076914,-0.0008169831730769241,0.0025351201923076907,-0.0016674132666320176,0.0037921413721412334,10.155,0.58,0.0037615384615384603,0.46,-0.00042115384615384687,0.45,-3.5576923076923864e-05
"[0.10,0.20)∪[0.70,0.80)","[(0.1, 0.2), (0.7, 0.7999999999999999)]",0.51,102,0.00017115384615384616,-0.001698581730769231,0.002048605769230769,-0.0026885485966735966,0.0032577689708939103,10.795,0.54,0.0021269230769230775,0.44,-0.003903846153846154,0.53,0.0012307692307692306
"[0.10,0.20)∪[0.50,0.60)","[(0.1, 0.2), (0.5, 0.6)]",0.515,103,-3.509615384615597e-05,-0.002328713942307694,0.00247854567307692,-0.003923408588877341,0.003629078417359598,14.56,0.6,0.00201153846153846,0.48,0.0029615384615384586,0.49,-0.002556730769230771
"[0.80,0.90)","[(0.8, 0.9)]",0.58,116,-0.00013942307692307727,-0.001032704326923077,0.0007207451923076915,-0.0015027455821205824,0.0012540579521828612,3.225,0.56,-0.00032307692307692343,0.6,-0.0004250000000000003,0.58,9.519230769230736e-05
"[0.20,0.30)","[(0.2, 0.30000000000000004)]",0.425,85,-0.00013990384615384703,-0.0016775240384615394,0.00153213942307692,-0.002332760849792101,0.002506635265072739,7.835,0.48,0.0030596153846153833,0.36,-0.002201923076923078,0.43,-0.0007086538461538469
"[0.20,0.30)∪[0.80,0.90)","[(0.2, 0.30000000000000004), (0.8, 0.9)]",0.485,97,-0.0002793269230769245,-0.0021077524038461554,0.001599218749999998,-0.00293284790800416,0.002933876689189078,11.06,0.54,0.0027365384615384604,0.42,-0.0026269230769230783,0.49,-0.0006134615384615397
