filter,seed,ev_all,ev_filtered,n_filtered
baseline,0,0.020865,0.028933,75
baseline,1,-0.030865,-0.052623,61
baseline,2,-0.02125,-0.040182,55
baseline,3,-0.052885,-0.065476,84
baseline,4,-0.003846,-0.006897,58
baseline,5,-0.017404,-0.022625,80
baseline,6,0.032019,0.0444,75
baseline,7,-0.032115,-0.047714,70
baseline,8,0.062596,0.120556,54
baseline,9,0.057308,0.108364,55
baseline,10,0.01375,0.01625,88
baseline,11,0.039904,0.054605,76
baseline,12,-0.039519,-0.057083,72
baseline,13,0.011154,0.018413,63
baseline,14,-0.042981,-0.058052,77
baseline,15,0.046058,0.085536,56
baseline,16,0.079712,0.102346,81
baseline,17,0.036827,0.043034,89
baseline,18,0.018173,0.029077,65
baseline,19,-0.063942,-0.082099,81
baseline,20,0.066058,0.088077,78
baseline,21,0.003462,0.005455,66
baseline,22,0.014904,0.021831,71
baseline,23,-0.011923,-0.015696,79
baseline,24,-0.025962,-0.035065,77
baseline,25,-0.051827,-0.066543,81
baseline,26,0.008846,0.011646,79
baseline,27,0.027981,0.0485,60
baseline,28,0.011346,0.017101,69
baseline,29,-0.079135,-0.11274,73
baseline,30,0.017019,0.025286,70
baseline,31,0.016635,0.024714,70
baseline,32,-0.02375,-0.048431,51
baseline,33,0.011827,0.019219,64
baseline,34,0.009423,0.016333,60
baseline,35,-0.051538,-0.08375,64
baseline,36,0.056923,0.084571,70
baseline,37,0.051731,0.080299,67
baseline,38,0.010288,0.014658,73
baseline,39,-0.001635,-0.002787,61
baseline,40,0.010096,0.014,75
baseline,41,0.022308,0.043774,53
baseline,42,-0.036923,-0.04987,77
baseline,43,0.049327,0.073286,70
baseline,44,0.005962,0.009254,67
baseline,45,-0.012115,-0.0175,72
baseline,46,0.058558,0.099836,61
baseline,47,-0.038462,-0.056338,71
baseline,48,-0.026538,-0.041194,67
baseline,49,0.012981,0.020455,66
baseline,50,-0.030577,-0.053898,59
baseline,51,-0.021635,-0.038136,59
baseline,52,0.022885,0.037778,63
baseline,53,-0.000865,-0.001184,76
baseline,54,-0.025,-0.038235,68
baseline,55,-0.013173,-0.019296,71
baseline,56,0.017212,0.023553,76
baseline,57,-0.100096,-0.148714,70
baseline,58,0.038173,0.063016,63
baseline,59,0.013942,0.019333,75
baseline,60,0.043269,0.061644,73
baseline,61,-0.017885,-0.029524,63
baseline,62,-0.024712,-0.031728,81
baseline,63,-0.044038,-0.06274,73
baseline,64,0.025481,0.051961,51
baseline,65,-0.03375,-0.061579,57
baseline,66,0.078077,0.112778,72
baseline,67,-0.053365,-0.080435,69
baseline,68,-0.023269,-0.039032,62
baseline,69,-0.029327,-0.040667,75
baseline,70,-0.050769,-0.073333,72
baseline,71,-0.025288,-0.036027,73
baseline,72,-0.001058,-0.001571,70
baseline,73,-0.033654,-0.057377,61
baseline,74,0.017788,0.031356,59
baseline,75,0.033942,0.057869,61
baseline,76,-0.085385,-0.143226,62
baseline,77,0.025673,0.038696,69
baseline,78,0.018558,0.026806,72
baseline,79,0.005288,0.007534,73
baseline,80,0.045577,0.064932,73
baseline,81,-0.010385,-0.018305,59
baseline,82,-0.020481,-0.032769,65
baseline,83,0.006923,0.0144,50
baseline,84,-0.000481,-0.000704,71
baseline,85,0.004808,0.009804,51
baseline,86,-0.040673,-0.057945,73
baseline,87,-0.050288,-0.083016,63
baseline,88,0.009615,0.016129,62
baseline,89,-0.025769,-0.032289,83
baseline,90,-0.009904,-0.014928,69
baseline,91,0.001442,0.003,50
baseline,92,0.010192,0.015362,69
baseline,93,0.023558,0.036029,68
baseline,94,-0.017115,-0.034231,52
baseline,95,-0.027692,-0.04,72
baseline,96,-0.077596,-0.106184,76
baseline,97,-0.013173,-0.017792,77
baseline,98,-0.005673,-0.008806,67
baseline,99,0.030288,0.042568,74
baseline,100,-0.02375,-0.045741,54
baseline,101,-0.005096,-0.007361,72
baseline,102,-0.056923,-0.078933,75
baseline,103,-0.001058,-0.00193,57
baseline,104,0.052981,0.073467,75
baseline,105,-0.002596,-0.005,54
baseline,106,0.0575,0.104912,57
baseline,107,-0.018173,-0.024545,77
baseline,108,0.017019,0.025286,70
baseline,109,-0.021442,-0.036557,61
baseline,110,0.027596,0.036795,78
baseline,111,0.018077,0.025067,75
baseline,112,0.066827,0.081765,85
baseline,113,-0.050673,-0.066709,79
baseline,114,0.027404,0.0375,76
baseline,115,-0.036538,-0.058462,65
baseline,116,-0.021346,-0.027073,82
baseline,117,-0.076731,-0.117353,68
baseline,118,-0.051635,-0.083906,64
baseline,119,-0.009615,-0.012987,77
baseline,120,-0.029615,-0.042778,72
baseline,121,0.023558,0.041525,59
baseline,122,0.043558,0.07678,59
baseline,123,-0.052212,-0.075417,72
baseline,124,-0.017885,-0.027353,68
baseline,125,0.07125,0.114,65
baseline,126,0.061154,0.100952,63
baseline,127,-0.035096,-0.049324,74
baseline,128,0.006827,0.011639,61
baseline,129,0.034904,0.047143,77
baseline,130,-0.055673,-0.073291,79
baseline,131,0.008462,0.016,55
baseline,132,0.037596,0.055857,70
baseline,133,-0.022212,-0.031644,73
baseline,134,-0.022981,-0.03918,61
baseline,135,0.016346,0.025758,66
baseline,136,-0.069423,-0.122373,59
baseline,137,0.021346,0.032174,69
baseline,138,-0.0325,-0.051212,66
baseline,139,0.040673,0.063134,67
baseline,140,0.003462,0.004865,74
baseline,141,-0.024904,-0.038657,67
baseline,142,-0.016731,-0.023514,74
baseline,143,0.069038,0.125965,57
baseline,144,0.029135,0.034432,88
baseline,145,0.052885,0.096491,57
baseline,146,0.009327,0.016167,60
baseline,147,-0.064231,-0.092778,72
baseline,148,-0.037981,-0.047024,84
baseline,149,-0.04625,-0.080167,60
baseline,150,-0.000769,-0.001455,55
baseline,151,-0.033462,-0.045195,77
baseline,152,-0.035,-0.053529,68
baseline,153,-0.067981,-0.102464,69
baseline,154,-0.055865,-0.080694,72
baseline,155,0.010481,0.014156,77
baseline,156,0.042308,0.053659,82
baseline,157,-0.001731,-0.003273,55
baseline,158,-0.070288,-0.105942,69
baseline,159,0.016442,0.030536,56
baseline,160,-0.00625,-0.009286,70
baseline,161,-0.014712,-0.020959,73
baseline,162,-0.051538,-0.074444,72
baseline,163,0.029135,0.043913,69
baseline,164,-0.058942,-0.083973,73
baseline,165,-0.065096,-0.102576,66
baseline,166,-0.021635,-0.040179,56
baseline,167,-0.031058,-0.045493,71
baseline,168,-0.013942,-0.017262,84
baseline,169,0.045096,0.071061,66
baseline,170,0.009327,0.012763,76
baseline,171,-0.042596,-0.071452,62
baseline,172,0.070096,0.093462,78
baseline,173,-0.025577,-0.038,70
baseline,174,-0.024808,-0.046909,55
baseline,175,-0.010481,-0.013797,79
baseline,176,0.014327,0.019605,76
baseline,177,-0.022212,-0.036094,64
baseline,178,-0.033077,-0.063704,54
baseline,179,0.055865,0.079589,73
baseline,180,-0.021154,-0.032836,67
baseline,181,0.007019,0.008902,82
baseline,182,-0.068365,-0.0948,75
baseline,183,-0.026154,-0.05037,54
baseline,184,-0.014904,-0.024219,64
baseline,185,-0.021058,-0.028077,78
baseline,186,-0.000577,-0.000923,65
baseline,187,9.6e-05,0.000139,72
baseline,188,-0.011058,-0.026136,44
baseline,189,-0.086154,-0.128,70
baseline,190,-0.057404,-0.077532,77
baseline,191,-0.009615,-0.015873,63
baseline,192,-0.008942,-0.012917,72
baseline,193,-0.120865,-0.190455,66
baseline,194,0.006635,0.008519,81
baseline,195,0.017885,0.024156,77
baseline,196,-0.035865,-0.059206,63
baseline,197,-0.043173,-0.056125,80
baseline,198,-0.013173,-0.016506,83
baseline,199,0.061635,0.108644,59
conf_40_50,0,-0.001058,-0.006471,17
conf_40_50,1,0.000385,0.003636,11
conf_40_50,2,-0.008173,-0.121429,7
conf_40_50,3,-0.024135,-0.278889,9
conf_40_50,4,-0.015865,-0.183333,9
conf_40_50,5,0.004712,0.023333,21
conf_40_50,6,0.010385,0.135,8
conf_40_50,7,-0.011538,-0.08,15
conf_40_50,8,9.6e-05,0.001111,9
conf_40_50,9,0.005865,0.067778,9
conf_40_50,10,-0.000577,-0.0075,8
conf_40_50,11,0.012981,0.135,10
conf_40_50,12,-0.010865,-0.125556,9
conf_40_50,13,0.024231,0.21,12
conf_40_50,14,-0.004231,-0.024444,18
conf_40_50,15,0.011442,0.119,10
conf_40_50,16,0.007885,0.074545,11
conf_40_50,17,0.009519,0.066,15
conf_40_50,18,0.016154,0.093333,18
conf_40_50,19,-0.063846,-0.255385,26
conf_40_50,20,0.006346,0.04125,16
conf_40_50,21,-0.002404,-0.027778,9
conf_40_50,22,-0.000865,-0.006,15
conf_40_50,23,0.006731,0.05,14
conf_40_50,24,-0.011731,-0.135556,9
conf_40_50,25,0.012885,0.089333,15
conf_40_50,26,0.019615,0.226667,9
conf_40_50,27,-0.000192,-0.001818,11
conf_40_50,28,0.016346,0.188889,9
conf_40_50,29,-0.031731,-0.3,11
conf_40_50,30,-0.008462,-0.176,5
conf_40_50,31,-0.016346,-0.080952,21
conf_40_50,32,-0.004327,-0.45,1
conf_40_50,33,-0.012885,-0.089333,15
conf_40_50,34,0.01,0.104,10
conf_40_50,35,0.008942,0.155,6
conf_40_50,36,0.019038,0.282857,7
conf_40_50,37,0.007981,0.2075,4
conf_40_50,38,-0.000577,-0.0075,8
conf_40_50,39,-0.005962,-0.103333,6
conf_40_50,40,-0.031058,-0.19,17
conf_40_50,41,-0.001538,-0.022857,7
conf_40_50,42,0.014808,0.064167,24
conf_40_50,43,0.009519,0.045,22
conf_40_50,44,-0.011442,-0.099167,12
conf_40_50,45,0.030865,0.229286,14
conf_40_50,46,0.006731,0.077778,9
conf_40_50,47,-0.011635,-0.080667,15
conf_40_50,48,-0.021538,-0.28,8
conf_40_50,49,-0.011731,-0.050833,24
conf_40_50,50,-0.00125,-0.013,10
conf_40_50,51,0.006346,0.047143,14
conf_40_50,52,0.013077,0.151111,9
conf_40_50,53,0.017692,0.096842,19
conf_40_50,54,0.002596,0.0225,12
conf_40_50,55,0.036731,0.4775,8
conf_40_50,56,0.009231,0.106667,9
conf_40_50,57,-0.016635,-0.173,10
conf_40_50,58,0.014327,0.248333,6
conf_40_50,59,0.007981,0.2075,4
conf_40_50,60,0.004712,0.021304,23
conf_40_50,61,-0.005288,-0.091667,6
conf_40_50,62,0.001442,0.0125,12
conf_40_50,63,-0.013654,-0.473333,3
conf_40_50,64,0.006635,0.046,15
