market_slug,t1_ts,price_t1,price_1h_ago,price_4h_ago,btc_1h_ret,btc_4h_ret,regime
btc-updown-5m-1780892700,1780892820,62674.9,63078.2,63615.3,-0.006394,-0.014783,DOWN
btc-updown-5m-1780893000,1780893120,62674.9,63078.2,63615.3,-0.006394,-0.014783,DOWN
btc-updown-5m-1780893300,1780893420,62674.9,63078.2,63615.3,-0.006394,-0.014783,DOWN
btc-updown-5m-1780893600,1780893720,62674.9,63078.2,63615.3,-0.006394,-0.014783,DOWN
btc-updown-5m-1780893900,1780894020,62674.9,63078.2,63615.3,-0.006394,-0.014783,DOWN
btc-updown-5m-1780894200,1780894320,62674.9,63078.2,63615.3,-0.006394,-0.014783,DOWN
btc-updown-5m-1780894500,1780894620,62674.9,63078.2,63615.3,-0.006394,-0.014783,DOWN
btc-updown-5m-1780894800,1780894920,62712.6,62674.9,63166.3,0.000602,-0.007183,DOWN
btc-updown-5m-1780895100,1780895220,62712.6,62674.9,63166.3,0.000602,-0.007183,DOWN
btc-updown-5m-1780895400,1780895520,62712.6,62674.9,63166.3,0.000602,-0.007183,DOWN
btc-updown-5m-1780895700,1780895820,62712.6,62674.9,63166.3,0.000602,-0.007183,DOWN
btc-updown-5m-1780896000,1780896120,62712.6,62674.9,63166.3,0.000602,-0.007183,DOWN
btc-updown-5m-1780896300,1780896420,62712.6,62674.9,63166.3,0.000602,-0.007183,DOWN
btc-updown-5m-1780896600,1780896720,62712.6,62674.9,63166.3,0.000602,-0.007183,DOWN
btc-updown-5m-1780896900,1780897020,62712.6,62674.9,63166.3,0.000602,-0.007183,DOWN
btc-updown-5m-1780897200,1780897320,62712.6,62674.9,63166.3,0.000602,-0.007183,DOWN
btc-updown-5m-1780897500,1780897620,62712.6,62674.9,63166.3,0.000602,-0.007183,DOWN
btc-updown-5m-1780897800,1780897920,62712.6,62674.9,63166.3,0.000602,-0.007183,DOWN
btc-updown-5m-1780898100,1780898220,62712.6,62674.9,63166.3,0.000602,-0.007183,DOWN
btc-updown-5m-1780898400,1780898520,62961.7,62712.6,63104.5,0.003972,-0.002263,FLAT
btc-updown-5m-1780898700,1780898820,62961.7,62712.6,63104.5,0.003972,-0.002263,FLAT
btc-updown-5m-1780899000,1780899120,62961.7,62712.6,63104.5,0.003972,-0.002263,FLAT
btc-updown-5m-1780899300,1780899420,62961.7,62712.6,63104.5,0.003972,-0.002263,FLAT
btc-updown-5m-1780899600,1780899720,62961.7,62712.6,63104.5,0.003972,-0.002263,FLAT
btc-updown-5m-1780899900,1780900020,62961.7,62712.6,63104.5,0.003972,-0.002263,FLAT
btc-updown-5m-1780900200,1780900320,62961.7,62712.6,63104.5,0.003972,-0.002263,FLAT
btc-updown-5m-1780900500,1780900620,62961.7,62712.6,63104.5,0.003972,-0.002263,FLAT
btc-updown-5m-1780900800,1780900920,62961.7,62712.6,63104.5,0.003972,-0.002263,FLAT
btc-updown-5m-1780901100,1780901220,62961.7,62712.6,63104.5,0.003972,-0.002263,FLAT
btc-updown-5m-1780901400,1780901520,62961.7,62712.6,63104.5,0.003972,-0.002263,FLAT
btc-updown-5m-1780901700,1780901820,62961.7,62712.6,63104.5,0.003972,-0.002263,FLAT
btc-updown-5m-1780902000,1780902120,63230.4,62961.7,63078.2,0.004268,0.002413,FLAT
btc-updown-5m-1780902300,1780902420,63230.4,62961.7,63078.2,0.004268,0.002413,FLAT
btc-updown-5m-1780902600,1780902720,63230.4,62961.7,63078.2,0.004268,0.002413,FLAT
btc-updown-5m-1780902900,1780903020,63230.4,62961.7,63078.2,0.004268,0.002413,FLAT
btc-updown-5m-1780903200,1780903320,63230.4,62961.7,63078.2,0.004268,0.002413,FLAT
