fold,contract_id,p_yes_mid,action,y_settle,pnl,up_ask,down_ask
1,btc-updown-5m-1781028600,0.115,SKIP,0,,0.12,0.89
1,btc-updown-5m-1781028900,0.385,NO,1,-1.0,0.39,0.62
1,btc-updown-5m-1781029200,0.055,SKIP,0,,0.06,0.95
1,btc-updown-5m-1781029500,0.075,SKIP,0,,0.08,0.93
1,btc-updown-5m-1781029800,0.615,SKIP,1,,0.62,0.39
1,btc-updown-5m-1781030100,0.785,SKIP,1,,0.79,0.22
1,btc-updown-5m-1781030400,0.255,NO,0,0.33333333333333326,0.26,0.75
1,btc-updown-5m-1781030700,0.745,SKIP,1,,0.75,0.26
1,btc-updown-5m-1781031000,0.805,SKIP,1,,0.82,0.21
1,btc-updown-5m-1781031300,0.855,SKIP,1,,0.86,0.15
1,btc-updown-5m-1781031600,0.445,NO,1,-1.0,0.45,0.56
1,btc-updown-5m-1781031900,0.125,SKIP,0,,0.13,0.88
1,btc-updown-5m-1781032200,0.275,NO,0,0.36986301369863006,0.28,0.73
1,btc-updown-5m-1781032500,0.205,SKIP,0,,0.21,0.8
1,btc-updown-5m-1781032800,0.755,YES,1,0.3157894736842106,0.76,0.25
1,btc-updown-5m-1781033100,0.175,SKIP,0,,0.18,0.83
1,btc-updown-5m-1781033400,0.925,SKIP,1,,0.93,0.08
1,btc-updown-5m-1781033700,0.355,NO,0,0.5384615384615383,0.36,0.65
1,btc-updown-5m-1781034000,0.235,SKIP,1,,0.24,0.77
1,btc-updown-5m-1781034300,0.195,SKIP,0,,0.2,0.81
1,btc-updown-5m-1781034600,0.965,SKIP,1,,0.97,0.04
1,btc-updown-5m-1781034900,0.765,YES,1,0.2987012987012987,0.77,0.24
1,btc-updown-5m-1781035200,0.255,NO,0,0.33333333333333326,0.26,0.75
1,btc-updown-5m-1781035500,0.455,NO,0,0.8181818181818181,0.46,0.55
1,btc-updown-5m-1781035800,0.795,SKIP,1,,0.8,0.21
1,btc-updown-5m-1781036100,0.225,NO,0,0.28205128205128194,0.23,0.78
1,btc-updown-5m-1781036400,0.155,SKIP,0,,0.16,0.85
1,btc-updown-5m-1781036700,0.675,SKIP,1,,0.68,0.33
1,btc-updown-5m-1781037000,0.075,SKIP,0,,0.08,0.93
1,btc-updown-5m-1781037300,0.545,NO,1,-1.0,0.55,0.46
1,btc-updown-5m-1781037600,0.755,SKIP,1,,0.76,0.25
1,btc-updown-5m-1781037900,0.105,SKIP,0,,0.11,0.9
1,btc-updown-5m-1781038200,0.555,NO,1,-1.0,0.56,0.45
1,btc-updown-5m-1781038500,0.565,YES,1,0.7543859649122808,0.57,0.44
1,btc-updown-5m-1781038800,0.205,SKIP,0,,0.21,0.8
1,btc-updown-5m-1781039100,0.815,SKIP,1,,0.82,0.19
1,btc-updown-5m-1781039400,0.575,YES,1,0.7241379310344829,0.58,0.43
1,btc-updown-5m-1781039700,0.065,SKIP,0,,0.07,0.94
1,btc-updown-5m-1781040000,0.135,SKIP,0,,0.14,0.87
1,btc-updown-5m-1781040300,0.125,SKIP,0,,0.13,0.88
1,btc-updown-5m-1781040600,0.435,NO,1,-1.0,0.44,0.57
