config,base,min_child,trades,ev_avail,ev_trig,win_rate,win_capped,trim10,true_ev_ci_lo,GATE
baseA_mc20,"baseline(l2=5,d=1.0)",20,940,0.013558044126167568,0.025385274108569063,0.6510638297872341,-0.03326912680566272,-0.04158640850707841,-0.016961500086312628,False
baseA_mc50,"baseline(l2=5,d=1.0)",50,942,0.02613402754642573,0.04882790709310965,0.667728237791932,-0.007162750229690257,-0.008948687952742996,0.003926396692307651,False
baseA_mc100,"baseline(l2=5,d=1.0)",100,905,0.01712757872908358,0.03330888239026199,0.6883977900552486,0.0104094955068392,0.013747029586594134,-0.008477349788451329,False
baseA_mc150,"baseline(l2=5,d=1.0)",150,878,0.026403928719479636,0.05292814868597284,0.7072892938496583,0.034325645547469086,0.0452054235463101,-0.0030778061471138,False
baseA_mc200,"baseline(l2=5,d=1.0)",200,809,0.01951230808636615,0.04244952068232932,0.7107540173053152,0.030594625526040625,0.04274088429488932,0.007389022813232223,True
l2huber_mc20,"l2_huber(l2=20,d=0.5)",20,1245,0.025464333705080774,0.03599777294854792,0.6947791164658634,0.013741201681886509,0.022415220947024493,-0.004208983736672125,False
l2huber_mc50,"l2_huber(l2=20,d=0.5)",50,1251,0.024144383571988465,0.03396811757529952,0.7018385291766587,0.02078376132435783,0.031724999204882136,-0.013080732893937455,False
l2huber_mc100,"l2_huber(l2=20,d=0.5)",100,1305,0.011227100271413964,0.015141529867960597,0.6996168582375479,0.008082855171310507,0.018036466541148998,-0.018868396552841893,False
l2huber_mc150,"l2_huber(l2=20,d=0.5)",150,1421,0.008254820939729545,0.010224127272289937,0.7023223082336383,0.0033003239700918068,0.012903746772435443,-0.024728788099986448,False
l2huber_mc200,"l2_huber(l2=20,d=0.5)",200,1466,0.008045511680467191,0.009659004473139329,0.703956343792633,0.004609152585384037,0.01646592859618298,-0.022549048427911098,False
