fold,contract_id,regime_sma,action,pnl,y_settle
1,btc-updown-5m-1781142600,FLAT,NO,1.0408163265306123,0
1,btc-updown-5m-1781142900,FLAT,SKIP,,0
1,btc-updown-5m-1781143200,FLAT,YES,0.3157894736842106,1
1,btc-updown-5m-1781143500,FLAT,SKIP,,0
1,btc-updown-5m-1781143800,UP,NO,-1.0,1
1,btc-updown-5m-1781144100,UP,NO,-1.0,1
1,btc-updown-5m-1781144400,UP,SKIP,,0
1,btc-updown-5m-1781144700,UP,NO,3.166666666666667,0
1,btc-updown-5m-1781145000,UP,NO,0.13636363636363646,0
1,btc-updown-5m-1781145300,UP,SKIP,,1
1,btc-updown-5m-1781145600,UP,SKIP,,1
1,btc-updown-5m-1781145900,UP,SKIP,,0
1,btc-updown-5m-1781146200,UP,NO,-1.0,1
1,btc-updown-5m-1781146500,UP,NO,-1.0,1
1,btc-updown-5m-1781146800,UP,YES,0.4285714285714286,1
1,btc-updown-5m-1781147100,UP,SKIP,,0
1,btc-updown-5m-1781147400,UP,SKIP,,0
1,btc-updown-5m-1781147700,UP,YES,0.40845070422535223,1
1,btc-updown-5m-1781148000,UP,NO,-1.0,1
1,btc-updown-5m-1781148300,UP,NO,-1.0,1
1,btc-updown-5m-1781148600,UP,NO,-1.0,1
1,btc-updown-5m-1781148900,UP,SKIP,,0
1,btc-updown-5m-1781149200,UP,YES,-1.0,0
1,btc-updown-5m-1781149500,UP,YES,0.7241379310344829,1
1,btc-updown-5m-1781149800,UP,NO,-1.0,1
1,btc-updown-5m-1781150100,UP,NO,-1.0,1
1,btc-updown-5m-1781150400,UP,NO,0.14942528735632177,0
1,btc-updown-5m-1781150700,UP,YES,-1.0,0
1,btc-updown-5m-1781151000,UP,NO,-1.0,1
1,btc-updown-5m-1781151300,UP,SKIP,,0
1,btc-updown-5m-1781151600,FLAT,YES,-1.0,0
1,btc-updown-5m-1781151900,UP,YES,-1.0,0
1,btc-updown-5m-1781152200,UP,NO,0.8518518518518516,0
1,btc-updown-5m-1781152500,UP,YES,0.25,1
1,btc-updown-5m-1781152800,UP,SKIP,,0
1,btc-updown-5m-1781153100,UP,YES,0.3157894736842106,1
1,btc-updown-5m-1781153400,UP,YES,0.4925373134328357,1
1,btc-updown-5m-1781153700,UP,SKIP,,0
1,btc-updown-5m-1781154000,UP,SKIP,,0
1,btc-updown-5m-1781154300,UP,NO,-1.0,1
1,btc-updown-5m-1781154600,UP,YES,2.3333333333333335,1
1,btc-updown-5m-1781154900,UP,SKIP,,1
1,btc-updown-5m-1781155200,UP,NO,-1.0,1
1,btc-updown-5m-1781155500,UP,SKIP,,0
1,btc-updown-5m-1781155800,UP,YES,1.7027027027027026,1
1,btc-updown-5m-1781156100,UP,YES,-1.0,0
1,btc-updown-5m-1781156400,UP,NO,-1.0,1
1,btc-updown-5m-1781156700,UP,SKIP,,0
1,btc-updown-5m-1781157000,UP,SKIP,,0
1,btc-updown-5m-1781157300,UP,YES,-1.0,0
1,btc-updown-5m-1781157600,UP,SKIP,,0
1,btc-updown-5m-1781157900,UP,YES,0.5625,1
1,btc-updown-5m-1781158200,UP,NO,-1.0,1
1,btc-updown-5m-1781158500,UP,NO,1.7027027027027026,0
1,btc-updown-5m-1781158800,UP,NO,-1.0,1
1,btc-updown-5m-1781159100,UP,SKIP,,0
1,btc-updown-5m-1781159400,UP,YES,0.4285714285714286,1
1,btc-updown-5m-1781159700,UP,YES,0.4925373134328357,1
1,btc-updown-5m-1781160000,UP,NO,2.0303030303030303,0
1,btc-updown-5m-1781160300,UP,SKIP,,0
1,btc-updown-5m-1781160600,UP,YES,0.6129032258064517,1
1,btc-updown-5m-1781160900,UP,NO,0.13636363636363646,0
1,btc-updown-5m-1781161200,UP,YES,-1.0,0
1,btc-updown-5m-1781161500,UP,NO,0.7543859649122808,0
1,btc-updown-5m-1781161800,UP,YES,0.36986301369863006,1
1,btc-updown-5m-1781162100,UP,YES,0.4285714285714286,1
1,btc-updown-5m-1781162400,UP,NO,-1.0,1
1,btc-updown-5m-1781162700,UP,YES,2.571428571428571,1
1,btc-updown-5m-1781163000,UP,SKIP,,0
1,btc-updown-5m-1781163300,UP,SKIP,,0
1,btc-updown-5m-1781163600,UP,YES,0.5625,1
1,btc-updown-5m-1781163900,UP,NO,-1.0,1
1,btc-updown-5m-1781164200,UP,SKIP,,0
1,btc-updown-5m-1781164500,UP,NO,-1.0,1
1,btc-updown-5m-1781164800,UP,NO,-1.0,1
1,btc-updown-5m-1781165100,UP,NO,-1.0,1
1,btc-updown-5m-1781165400,UP,NO,-1.0,1
1,btc-updown-5m-1781165700,UP,SKIP,,0
1,btc-updown-5m-1781166000,FLAT,NO,-1.0,1
1,btc-updown-5m-1781166300,FLAT,NO,-1.0,1
1,btc-updown-5m-1781166600,FLAT,YES,-1.0,0
