t1,n_days,n_avail,ev,sharpe,t,pos,cvar,ci_lo,ci_hi
60,8,525,0.0028530688062153487,0.052697539761828865,0.14905115086974763,0.625,-0.031190555383624072,-0.012775707441572305,0.014315027048822612
75,8,556,0.03520470307890527,1.206775887395408,3.4132776533988265,0.875,0.0022078289928147993,0.018447744264323017,0.05212028728662023
90,8,558,0.019383533734449735,0.6264163798491243,1.7717730801505762,0.875,-0.014374250059818398,0.003285161969517332,0.03449420910185204
105,8,571,-0.013804603365712766,-0.42566941591774654,-1.203974922156622,0.375,-0.04611774224148286,-0.03582177167345887,0.007263984886203304
120,8,586,-0.015604765627118851,-0.49145951053231735,-1.3900574103040926,0.25,-0.04787836794198877,-0.03435595853015874,0.006953572551447806
135,8,590,-0.001502263285458555,-0.06631217680800348,-0.1875591595847223,0.375,-0.06602793229143054,-0.033157421122765915,0.03433139703765068
150,8,590,0.01716695070678546,0.36157883836746163,1.0226993941727471,0.625,-0.035802135192599865,-0.016044084658180694,0.04898372484912386
165,8,596,-0.0042540401825095515,0.017809191399609334,0.0503720000244516,0.625,-0.06130264091051464,-0.03750806693282281,0.026099268664309217
180,8,600,-0.01482322305917467,-0.06247813190990577,-0.176714842997448,0.5,-0.09344247475216244,-0.056926297062806205,0.0330261592243601
195,8,597,0.03184081476900558,0.44585603272404545,1.2610712966884152,0.625,-0.04368036822733138,-0.015369654806671214,0.07722450947122009
210,8,599,-0.01194286604014535,-0.1668799111220826,-0.47200766719293197,0.625,-0.122997519069911,-0.056329392619200495,0.02563726518402303
215,8,600,0.0258963310559853,0.5247085255772843,1.4840998263283711,0.625,-0.0400915519396777,-0.0032392694069203,0.0585598137384701
225,8,599,-0.0042346857637748,-0.0817474930405989,-0.2312168266960304,0.625,-0.1052778457915238,-0.0449658483015847,0.0301262705968893
235,8,599,-0.0429928458390393,-0.678172741494982,-1.9181621773078927,0.25,-0.1131255442359162,-0.0788662453254321,-0.0053746460895556
245,8,598,-0.0004713692396165,-0.0897877237837622,-0.2539580334192117,0.375,-0.0850070400903412,-0.0433770257392746,0.0446908227956573
255,8,598,0.0272318265021772,0.2419540554492749,0.6843494133750729,0.5,-0.0642380077063619,-0.0195245068712774,0.067999955872244
265,8,596,0.036193712192076,0.7138340298992494,2.01902753273392,0.625,-0.0239391503987115,0.0007925462125488,0.071190712340816
275,8,590,0.0247159503965319,0.1534117131850193,0.4339138508262914,0.5,-0.1226216437359709,-0.041194369104741,0.089289283203187
285,8,586,-0.011313169021112,-0.2536295670201681,-0.7173727469974751,0.375,-0.1120186778151068,-0.0697190518770757,0.0468628241963702
