condition_id,close_date,sample_epoch_ms,label,up_ask,up_bid,up_mid,down_ask,hf_ret_60s,logit_mid,maker_yes_fills,maker_no_fills
0x000b23343e97d013fced1191c4ba73112ac3b90ac0250d926b2c50425c885ee9,2026-06-18,1781743317677,1,0.22,0.21,0.215,0.79,0.00039380752453010786,-1.2950456896547458,True,True
0x00216a3b2421b17deade535ebd952b8df9dce0ce52af1537a1370fe40f6455b7,2026-06-19,1781843222394,0,0.51,0.49,0.5,0.51,-0.0003246187970983958,0.0,False,True
0x002357c08b72182c90e3294406ca344492e8d0fb9408c3429e1fd738a52e3725,2026-06-17,1781672222398,0,0.44,0.43,0.435,0.57,-5.0141929527782246e-05,-0.2614797000577569,False,True
0x00390aa4556051c2cfdae99f443732d7c04769ab0e8d196cffec6ecc0b9ea210,2026-06-08,1780943222163,1,0.73,0.72,0.725,0.28,-0.00023731126449959164,0.9694005571881035,True,False
0x005db5bdb85a0355525c46c47d31c086696ba051d702ed65446e87ac7588a563,2026-06-17,1781668022188,0,0.16,0.15,0.155,0.85,-0.0008152052981946718,-1.6959115104379272,True,True
0x007097faa035f24b4146cbd01f495fd9e04291605680bf900f5787cbc814f4a5,2026-06-09,1781001422300,1,0.82,0.81,0.815,0.19,-0.00016760044094201116,1.4828322881625375,True,False
0x00a1a9f7f46f64e7a2a635d8fe612a23df3a70efc53704fb9eb307dbc21b9ee2,2026-06-17,1781698017658,1,0.62,0.61,0.615,0.39,0.0003802507998449442,0.4683789335187336,True,False
0x00a367fd0d7db39dc28f50aa8c2ee5e4ce01cc1e36deec67a257d4703bb0cac0,2026-06-14,1781418718318,0,0.26,0.24,0.25,0.76,-0.00031580609768230063,-1.0986122886681098,True,True
0x00c3c015d1fe85d3b4ad9aee18f8c5feab5b5fdc9557b5d9ca2dc1f051a2cf54,2026-06-19,1781837222350,0,0.09,0.08,0.0849999999999999,0.92,-5.88363349841075e-05,-2.376272808785206,True,True
0x00d0b2456323fb99c2c3989514b5ad9c26ae3222e55fe0acc017a1d98dfd59d3,2026-06-20,1781941322310,0,0.29,0.28,0.285,0.72,0.0,-0.9197933624253573,True,True
0x00d8d0cf8b99e88ae1c61e66ae548f7cd51ffd93388182262d1e6efe626cd658,2026-06-12,1781229423385,1,0.17,0.16,0.165,0.84,-0.0003005313416700676,-1.6214862509502748,True,True
0x00e61d9b3e3ee44e466a3e298fa0ab7271f131cd174a5d050b61166c39a32964,2026-06-08,1780942022287,0,0.74,0.73,0.735,0.27,0.0002721056259838755,1.0201406732266143,True,True
0x00ef0607760b45307d3eee1e772e935927c536276511267b391344d77bba662d,2026-06-14,1781437919362,0,0.74,0.73,0.735,0.27,5.971432667907707e-05,1.0201406732266143,True,True
0x0109e1e8d08ef5af206294adba4a1582a681adc070f251a5257a82002ab58f73,2026-06-11,1781195222369,1,0.51,0.5,0.505,0.5,0.000640816360914762,0.020000666706669543,True,False
0x012adfb32b3f79d0439e094fef0b498e7ffa54a2483453214526f68f71993481,2026-06-12,1781305318659,0,0.16,0.15,0.155,0.85,-3.612390499805613e-05,-1.6959115104379272,False,True
0x013abec849935468e576ff52661c14db595dabea034cebe96bd29016c6badf59,2026-06-20,1781923322398,0,0.22,0.21,0.215,0.79,-8.212396029811053e-05,-1.2950456896547458,False,True
0x013c5b9f7d8eb59ec39407ffed419ec8859242d5e27fa89977cb65c980bdd920,2026-06-10,1781077918815,1,0.65,0.64,0.645,0.36,0.0006040176507979611,0.5971325273203567,True,False
0x016f02f8465cab133bd6d6dced51dad4bd5577525a305db8e6dc74ad527722bb,2026-06-11,1781163722440,1,0.7,0.69,0.695,0.31,0.0004059412895001149,0.8236000689573804,True,False
0x01b6f43339e6b3ec5394e52458d264c7946bb5047507b4619e9c375815ba0c7a,2026-06-10,1781101020068,0,0.77,0.76,0.765,0.24,0.0028732422688579687,1.180290319682377,False,True
0x027294d1431e5744f94287e591238c22a011cd77473e1b5b6ca7421a28a3c05f,2026-06-19,1781873222434,0,0.03,0.02,0.025,0.98,-0.0026882216247046814,-3.6635616461296463,False,True
0x02863fce4a92ec5296d9ddbbfd3dc7580746ebacedb44aa84f52f86e544525b3,2026-06-17,1781663222385,0,0.14,0.13,0.135,0.87,-0.0008481271035979742,-1.85745472849345,False,True
0x028ad56e2af47b73d8e4aca0e5d6eec88d6a9d14c2f9f3a5633edcfe88f41367,2026-06-18,1781761017574,0,0.87,0.86,0.865,0.14,0.0007636193613032527,1.8574547284934497,False,True
0x02aacbad212770043f4486ebdd40ff8353e7aebecaa5dea697dc3a3423a805a9,2026-06-11,1781169117434,1,0.55,0.54,0.545,0.46,-0.00030802030761702153,0.1804883757122938,True,False
0x02b450a7bcd63c6f91cfba94138eed7a57c83e2b079aef238766354933a03dda,2026-06-19,1781856122434,1,0.41,0.4,0.405,0.6,-0.0001180505139519524,-0.3846743384390905,True,True
0x02d6d878a40334345c4590443e0d879dc9e73b4ec0ca6f57b8f80d13769bf3ae,2026-06-14,1781422318959,0,0.08,0.07,0.075,0.93,1.7904835798138276e-05,-2.512305623976115,False,True
0x02fa646f6a0113270037075b4f827541523524835e3820912285d33bc29928df,2026-06-11,1781180817636,0,0.72,0.71,0.715,0.29,0.00016379867359691893,0.919793362425357,True,True
0x030c5e0221fc7c87c4f63e748d5b7efdace0966b4f0e145159ae626905f4d168,2026-06-14,1781455918964,0,0.74,0.72,0.73,0.28,0.0008604117871716138,0.9946225751440619,True,True
0x031514cb25f67f2efa3da020afb8b78bea95f2f0e2a21eaf3afdc451223e1935,2026-06-13,1781333218797,1,0.83,0.82,0.825,0.18,0.00020997501374487183,1.5505974124111666,True,False
0x03315238e24d8920fdd74860f7a3f1b15eef7374f0d8045157b188e784e46c83,2026-06-17,1781670717654,0,0.4,0.39,0.395,0.61,0.00013387104891225617,-0.4263426931297195,True,True
0x0333d46a50ca4309b4160713a438d8c492557ddda3c4e36dbc4ba5a0c071ecfa,2026-06-19,1781891222384,1,0.26,0.25,0.255,0.75,-0.00013531521110701273,-1.0721206732211332,True,True
0x033ff81917da95d5e91dbc13b15999e48ad47c6f2ea57c4ac140d8d50bb0e785,2026-06-10,1781111818182,1,0.79,0.78,0.785,0.22,0.0009208749572085194,1.2950456896547458,True,False
0x0358eabbf6d74f3c817a0d583262e6b94ac66babc3b44bb0a9459c9063a4ca21,2026-06-18,1781798522244,1,0.92,0.91,0.915,0.09,0.0008717181403862405,2.376272808785205,True,False
0x036033d7932548087adde87ed9530f7567f158cc8721a8d24b8d541b2d1e5574,2026-06-11,1781184422307,1,0.79,0.78,0.785,0.22,0.0004918674971719929,1.2950456896547458,True,False
0x0391611ba6cd98a9df59c9883892b837c7aa0bb46e747eafa59c6e61a4e07672,2026-06-09,1781005022378,0,0.45,0.44,0.445,0.56,-0.0002636672534556675,-0.22089383158019427,True,True
0x03a7b15a09904cb1b8f264545e1230ae82b016b0ecb3b7b1445d7f9265c6ff91,2026-06-09,1780976222453,1,0.66,0.65,0.655,0.35,0.00010212448984177329,0.6410908186038923,True,False
0x03f0f5ebc290d5870e55fecff095249550ee38665fc5d7c4b31de0b940881e4f,2026-06-13,1781348819998,1,0.61,0.6,0.605,0.4,0.00035251345442835995,0.4263426931297195,True,False
0x0408450ee52f8483aaf79f98f97565bed3ab06b22d6c14282b5ca63c813d08ca,2026-06-14,1781448418322,1,0.67,0.66,0.665,0.34,8.457374835897725e-05,0.6856565088307879,True,False
0x0447460a5f544b2c0036479793f1def5a54ac75d19c1715b88a9009d91bb7fc3,2026-06-11,1781175422370,0,0.19,0.18,0.185,0.82,-0.0007536045259425923,-1.4828322881625378,True,True
0x044f5531139493fc0e0eba99b849a324ec5fe1781312414eef8974ee91bf61dc,2026-06-13,1781391119276,0,0.45,0.44,0.445,0.56,0.0,-0.22089383158019427,True,True
0x04511461139f1358c59546b81174e012762e162f50f421077e485ccc31020357,2026-06-09,1780971122369,0,0.31,0.3,0.305,0.7,1.7969398115520856e-05,-0.8236000689573806,False,True
0x0458d021a93ba9e59a161b217400865b4a1cc7f59f17c67f12e8c2c0994a1eb7,2026-06-09,1780978017525,1,0.82,0.81,0.815,0.19,0.00044418567691317915,1.4828322881625375,True,False
0x045da130ec27d5234a6fa350d46aab4fbb00552874f154de1aef66403c1d82fb,2026-06-18,1781809022298,1,0.76,0.75,0.755,0.25,-0.0001367147448981873,1.1254595387042978,True,False
0x0465c9c8f503bb419757921a686920bd5502adefb5dc3719006828a22d8d5c79,2026-06-09,1780983122305,1,0.86,0.85,0.855,0.15,0.0015521605988311595,1.7743677265161857,True,False
0x04670cbeaece28b462750cb160e33d0f56f49ab25fd4a5923cc3091639a921b1,2026-06-12,1781270219135,1,0.41,0.4,0.405,0.6,0.00048049780496110784,-0.3846743384390905,True,True
0x04730a60d00cb3d186c75ae2bc19824d505a1345e214239721227940b7dbaca5,2026-06-11,1781199422452,1,0.61,0.6,0.605,0.4,-0.0019175461292717062,0.4263426931297195,True,False
0x04776dae1723e246ec7d0f4b9df5d97b8e77c11f0e792964b4ffd73281f6f0a8,2026-06-10,1781091420185,1,0.73,0.71,0.72,0.29,-8.036026127585888e-05,0.9444616088408513,True,False
0x047a857e6ec45d382de897c166a6de6e2c9704a7162a1835244e90edc2f89567,2026-06-10,1781074319219,1,0.59,0.58,0.585,0.42,0.0006627352799318097,0.34333332700115804,True,False
0x049d0c6499c2e3539dc97e6e08788850b3d56e0e2297c2cb3f2c44f87844c29e,2026-06-18,1781766422183,0,0.2,0.19,0.195,0.81,-0.0003001321758448411,-1.4178427188548164,True,True
0x049dc07ac01519515fbe947af398148a319679957f608b62fad115f5c9922507,2026-06-11,1781161317531,0,0.6,0.59,0.595,0.41,0.0004659338881760524,0.3846743384390905,True,True
0x04bb073775f64c19a10f0a13911e71b221bc3c14575fd34fe802594fb821797a,2026-06-14,1781437618397,0,0.4,0.39,0.395,0.61,5.970416585891448e-06,-0.4263426931297195,False,True
0x04c20929a443bc8015d7d0af53c61017cb2195889072db2629fce07fb574f68e,2026-06-10,1781122019457,0,0.43,0.42,0.425,0.58,0.0006584797970788841,-0.3022808718729336,False,True
0x0535eecd9f15fcb2ed7649e4153cb05bcb465adb96c48ca46fafdd98971d69c1,2026-06-09,1780999622243,0,0.04,0.03,0.035,0.97,-0.0022153707830189157,-3.316780039849572,True,True
0x0536d035d34db59ab593c30c0c77e7867c185fdf52d1c85e248991ecff5b0f21,2026-06-20,1781921522377,0,0.56,0.55,0.555,0.45,0.0,0.2208938315801945,True,True
0x05387308805da8197831484cc11d130b8f231efa3d1e09a3d4b161db4f1842e3,2026-06-19,1781839022326,0,0.03,0.02,0.025,0.98,0.0012952369182699115,-3.6635616461296463,False,True
0x0542029b6d32a66dee62264b16ca96c91e99f7e3d9a90c989107f1d3c4185fad,2026-06-11,1781194322453,1,0.77,0.76,0.765,0.24,0.0005407918174497618,1.180290319682377,True,False
0x055393c103c4d230eb05c4479d3d539cc5c72e562518615e2c3985c80f60b9e4,2026-06-20,1781917022274,0,0.08,0.07,0.075,0.93,-0.00036302104164140267,-2.512305623976115,True,True
0x05809f92a1939d24027a343ba91c3d5078cf41336e9158cecd65e27998d05493,2026-06-16,1781631422350,0,0.52,0.51,0.515,0.49,0.0005551583605595008,0.060018009726253,False,True
0x0580fb454f2bf8f4fbe66f6e51300b593441f7c0ed8a83f931d4656ad848d961,2026-06-09,1780966022380,0,0.05,0.04,0.045,0.96,-0.0012669364353666993,-3.0550488507104103,False,True
0x05884618a9007d2f2e7cb3dd1ead4eed9c18195d7dc541acb39f777dab7c739f,2026-06-18,1781746622438,0,0.18,0.17,0.175,0.83,-0.0002845354977227461,-1.550597412411167,True,True
0x0595c0db8726ddea914aec5e68c84cceddbb8db2e96a1ed803983d24d1363bee,2026-06-11,1781140022177,0,0.46,0.45,0.455,0.55,-0.0008944763621428284,-0.1804883757122936,False,True
0x05e1787933aeda6c9c2e59867dd6bc05bb4547c4e176389477e1c6738d2dcb43,2026-06-17,1781682122316,1,0.81,0.8,0.805,0.2,0.0005488289919461293,1.4178427188548168,True,False
0x05f1daf4eba0c8ab9681694dd7b9ca67281bfb41cde5d061e06755469c8896d4,2026-06-18,1781745122468,1,0.94,0.93,0.935,0.07,0.00044879606948961844,2.666159259393051,True,False
0x05f3c87ccaaeb9bc4e90683c93dd1fe6212e34e3e2a7e52d2982746b963cb97e,2026-06-12,1781296919698,0,0.81,0.8,0.805,0.2,1.2003360941174549e-05,1.4178427188548168,True,True
0x060583b96e216b90f24908a9e063a24f385eb409729f4080b66d8de2371bc488,2026-06-11,1781189522306,1,0.78,0.77,0.775,0.23,0.0015561378232957371,1.2367626271489272,True,False
0x061b6eca5e87e402cbfab29923b5d902bf88d74ef88269754c59d9af9322e415,2026-06-12,1781247416665,1,0.67,0.66,0.665,0.34,0.0,0.6856565088307879,True,False
0x064dc2eb80fccb4bb1354fd7a32044190d9ab13c918cabd595ff48e3151d152b,2026-06-17,1781672517650,1,0.88,0.87,0.875,0.13,0.0004793276128736006,1.9459101490553132,True,False
0x0699b09a990ce8b0bb260d9dbca76e0c92361769935d174f4d6d6755589c0aed,2026-06-19,1781884017593,0,0.35,0.34,0.345,0.66,-0.0007146120897823244,-0.6410908186038923,True,True
0x06aed22bf9d53fc371aafe67ed7f6810c019155e94b85a2908b8c8563c5a0418,2026-06-13,1781335918637,0,0.33,0.32,0.325,0.68,-0.00026312956890934674,-0.7308875085427923,False,True
0x06c2672c437eb9a7a92e3f79ab9e9851975f9c1285836f7c607ac74fee97f4c8,2026-06-17,1781683317595,0,0.5,0.49,0.495,0.51,0.00011776944681602703,-0.020000666706669543,False,True
0x06d3b455e2ff6f2471b715709001aab76f7041d42945d4a8e6d418243675bb30,2026-06-19,1781877122469,0,0.13,0.12,0.125,0.88,-0.0007699700327206534,-1.9459101490553135,True,True
0x06d9afe8d00e4bec2341196b47eea43b0151052e297863231ab41a48592d2edb,2026-06-17,1781730722155,0,0.31,0.3,0.305,0.7,-1.1471178663750165e-05,-0.8236000689573806,False,True
0x06dbc647c4e872e9437c39ac4f977900eae5ce9f9e93417fb52a8d3bfd581f5a,2026-06-14,1781406718799,0,0.65,0.64,0.645,0.36,0.0,0.5971325273203567,False,True
0x06e49d110430b98142334a6e4e8809cc97ee5e88e959e53dd7cf507cabfb354e,2026-06-13,1781331719999,1,0.88,0.87,0.875,0.13,0.00030033818304921563,1.9459101490553132,True,False
0x07153caea630ad0cc500853259a1f118fe792524742ff46eae349ba9fc8461a0,2026-06-13,1781313719282,1,0.67,0.66,0.665,0.34,0.0001320488582692988,0.6856565088307879,True,False
0x072533e6633904ce0f237cbe164393bb4bc432c1e4c8b5652312d5a5ed7dc215,2026-06-13,1781379419360,1,0.75,0.74,0.745,0.26,-0.00010733964659786216,1.0721206732211332,True,False
0x073738c517cd26992a325f64c9378143901397a3c6c74f4571e3a0072af09dd0,2026-06-13,1781350619142,0,0.56,0.55,0.555,0.45,5.962478125182873e-06,0.2208938315801945,False,True
0x075626eccae2b1fda33480a0657c7eb84b65328d4af1914b07b07bd14321862d,2026-06-09,1780979222310,0,0.31,0.3,0.305,0.7,-0.0003479158078847479,-0.8236000689573806,True,True
0x07658fcceb30d57697309bd1ab4748ecfd6cfbae0a89386d932a200ca6d5cddf,2026-06-14,1781401618479,1,0.83,0.82,0.825,0.18,0.0003265558187125277,1.5505974124111666,True,False
