coin,split,n_avail,n_traded,trade_rate,n_yes,n_no,taker_mean,taker_lo,taker_hi,n_taker,fill_rate,n_fills,maker_mean,maker_lo,maker_hi,n_maker
BTC,nonlockbox,1799,672,0.3735408560311284,45,627,-0.006889880952380969,-0.030818275226757393,0.018617267219387747,672,0.9017857142857143,606,0.03835808580858084,0.0070585127819712545,0.06965765883519043,606
BTC,lockbox,1099,545,0.4959053685168335,199,346,-0.03033577981651377,-0.054140011783519904,-0.006531547849507633,545,0.9614678899082569,524,0.002208969465648837,-0.013388460754035327,0.017806399685333,524
ETH,nonlockbox,1608,559,0.347636815920398,364,195,-0.02899821109123436,-0.05222119104841577,-0.005775231134052948,559,0.889087656529517,497,0.03206237424547282,0.003306984765737264,0.060817763725208376,497
ETH,lockbox,1098,453,0.412568306010929,317,136,-0.02229580573951437,-0.04926733232947876,0.004675720850450021,453,0.9448123620309051,428,0.021799065420560735,-0.0017464407371822963,0.045344571578303766,428
SOL,nonlockbox,1644,679,0.41301703163017034,299,380,-0.029425625920471293,-0.04414158393722035,-0.014709667903722239,679,0.9263622974963182,629,0.014689984101748788,-0.010904304660032732,0.040284272863530306,629
SOL,lockbox,1101,514,0.46684831970935514,258,256,-0.01515564202334631,-0.06289323078320642,0.0325819467365138,514,0.9824902723735408,505,0.006415841584158406,-0.036649191255759245,0.04948087442407606,505
XRP,nonlockbox,1409,796,0.5649396735273243,73,723,-0.012964824120603029,-0.032616221812580504,0.006686573571374444,796,0.5201005025125628,414,0.22902173913043475,0.14748057130854858,0.31223797521529084,414
XRP,lockbox,1097,524,0.47766636280765723,3,521,-0.03291984732824429,-0.0724302196841676,4.406794475843995e-05,524,0.5648854961832062,296,0.18011824324324324,0.11500798940832724,0.24522849707815925,296
DOGE,nonlockbox,875,57,0.06514285714285714,35,22,-0.09017543859649124,-0.1199199753770391,-0.06043090181594338,57,0.7543859649122807,43,-0.017906976744186055,-0.07654948620876148,0.040735532720389364,43
DOGE,lockbox,1101,0,0.0,0,0,,,,0,0.0,0,,,,0
HYPE,nonlockbox,875,148,0.16914285714285715,72,76,0.010270270270270259,-0.02105551497443391,0.04159605551497443,148,0.6148648648648649,91,0.21923076923076923,0.12512256973795435,0.31333896872358413,91
HYPE,lockbox,1105,41,0.037104072398190045,31,10,-0.10341463414634147,-0.19309934562760261,-0.013729922665080316,41,0.5365853658536586,22,-0.0013636363636363549,-0.15252066115702478,0.1497933884297521,22
BNB,nonlockbox,983,226,0.2299084435401831,87,139,-0.06685840707964603,-0.08435468713290001,-0.04936212702639206,226,0.7743362831858407,175,0.028628571428571416,-0.004967836734693903,0.06222497959183673,175
BNB,lockbox,1105,22,0.019909502262443438,0,22,0.04999999999999998,-0.14181818181818182,0.2418181818181818,22,1.0,22,0.06068181818181818,-0.13041322314049583,0.2517768595041322,22
