slug,close_date,horizon,label,up_mid,logit_mid,hf_ret_60s,obi_l1,up_ask,down_ask,up_bid,up_ask_plus_down_ask,up_bid_plus_down_bid,maker_yes_fills,maker_no_fills
btc-updown-5m-1780892700,2026-06-08,240,1,0.625,0.5108256237659907,0.0005694398647242637,-0.44321726236130293,0.63,0.38,0.62,1.01,0.99,True,False
btc-updown-5m-1780893300,2026-06-08,240,0,0.365,-0.5537276453102001,-0.00032970472612644207,0.7766877681353849,0.37,0.64,0.36,1.01,0.99,False,True
btc-updown-5m-1780893600,2026-06-08,180,0,0.195,-1.4178427188548164,-3.826695346096369e-05,-0.2645351611643747,0.2,0.81,0.19,1.01,0.99,False,True
btc-updown-5m-1780893600,2026-06-08,120,0,0.065,-2.66615925939305,-0.0003524650661477987,-0.3710040602116984,0.07,0.94,0.06,1.01,0.99,False,True
btc-updown-5m-1780893900,2026-06-08,180,1,0.945,2.843851742261271,0.0005670975272968334,0.36434756775194477,0.95,0.06,0.94,1.01,0.99,True,False
btc-updown-5m-1780893900,2026-06-08,120,1,0.985,4.184591440069878,-0.00014492972924306312,-0.9495989298910908,0.99,0.02,0.98,1.01,0.99,True,False
btc-updown-5m-1780893900,2026-06-08,240,1,0.805,1.4178427188548168,0.0013968130701329947,-0.123800661443859,0.81,0.2,0.8,1.01,0.99,True,False
btc-updown-5m-1780894200,2026-06-08,180,0,0.225,-1.2367626271489267,-0.0003536490404700664,0.039703856270092035,0.23,0.78,0.22,1.01,0.99,True,True
btc-updown-5m-1780894200,2026-06-08,120,0,0.415,-0.34333332700115815,0.0009555205925038403,-0.21003443187407772,0.42,0.59,0.41,1.01,0.99,False,True
btc-updown-5m-1780894200,2026-06-08,240,0,0.295,-0.871222446472449,-0.0005843618878926933,-0.9987187700192185,0.3,0.71,0.29,1.01,0.99,True,True
btc-updown-5m-1780894500,2026-06-08,180,0,0.545,0.1804883757122938,0.00028508700522838695,-0.36133697211827925,0.55,0.46,0.54,1.01,0.99,True,True
btc-updown-5m-1780894500,2026-06-08,120,0,0.365,-0.5537276453102001,-0.0005240493363439212,0.9313684371067984,0.37,0.64,0.36,1.01,0.99,False,True
btc-updown-5m-1780894500,2026-06-08,240,0,0.635,0.5537276453102001,0.00022780948534729646,-0.8075419511504579,0.64,0.37,0.63,1.01,0.99,True,True
btc-updown-5m-1780894800,2026-06-08,180,1,0.865,1.8574547284934497,-2.709649140446146e-05,0.9477130808531344,0.87,0.14,0.86,1.01,0.99,True,False
btc-updown-5m-1780894800,2026-06-08,120,1,0.985,4.184591440069878,0.0007966490178810944,-0.7786975791684418,0.99,0.02,0.98,1.01,0.99,True,False
btc-updown-5m-1780894800,2026-06-08,240,1,0.785,1.2950456896547458,0.000562801394595519,0.7388064092255193,0.79,0.22,0.78,1.01,0.99,True,False
btc-updown-5m-1780895100,2026-06-08,180,0,0.045,-3.0550488507104103,-0.001666579253713218,0.22850884634962748,0.05,0.96,0.04,1.01,0.99,False,True
btc-updown-5m-1780895100,2026-06-08,120,0,0.005,-5.293304824724492,-0.0007256059287426373,,0.01,1.0,0.0,1.01,0.99,True,True
btc-updown-5m-1780895100,2026-06-08,240,0,0.255,-1.0721206732211332,-0.0005054906436394426,-0.5325476019511229,0.26,0.75,0.25,1.01,0.99,False,True
btc-updown-5m-1780895400,2026-06-08,180,0,0.325,-0.7308875085427924,-0.00033526991937096376,-0.49792193921381966,0.33,0.68,0.32,1.01,0.99,False,True
btc-updown-5m-1780895400,2026-06-08,120,0,0.025,-3.6635616461296463,-0.0011103860570815108,0.6790289952798382,0.03,0.98,0.02,1.01,0.99,True,True
btc-updown-5m-1780895400,2026-06-08,240,0,0.485,-0.06001800972625304,0.00024904691789485035,0.5955944224065394,0.49,0.52,0.48,1.01,0.99,True,True
btc-updown-5m-1780895700,2026-06-08,180,1,0.675,0.7308875085427926,9.748434465070361e-05,-0.6933571623891558,0.68,0.33,0.67,1.01,0.99,True,False
btc-updown-5m-1780895700,2026-06-08,120,1,0.745,1.0721206732211332,0.00036268615024375356,0.9481604116797249,0.75,0.26,0.74,1.01,0.99,True,False
btc-updown-5m-1780895700,2026-06-08,240,1,0.555,0.22089383158019443,0.0006346795840634223,-0.38029526610341197,0.56,0.45,0.55,1.01,0.99,True,False
btc-updown-5m-1780896000,2026-06-08,180,0,0.505,0.020000666706669435,0.0004201563266978116,0.40129140369570965,0.51,0.5,0.5,1.01,0.99,True,True
btc-updown-5m-1780896000,2026-06-08,120,0,0.625,0.5108256237659907,0.0002635060857205677,0.6960486322188449,0.63,0.38,0.62,1.01,0.99,True,True
btc-updown-5m-1780896000,2026-06-08,240,0,0.345,-0.6410908186038922,-0.0006389511196158639,0.7464302136279469,0.35,0.66,0.34,1.01,0.99,True,True
btc-updown-5m-1780896300,2026-06-08,180,1,0.4649999999999999,-0.14022934130865064,0.0005354102049225234,-0.337407271682827,0.47,0.54,0.46,1.01,0.99,True,True
btc-updown-5m-1780896300,2026-06-08,120,1,0.975,3.6635616461296454,0.001869289216917746,-0.27199701937406856,0.98,0.03,0.97,1.01,0.99,True,False
btc-updown-5m-1780896300,2026-06-08,240,1,0.365,-0.5537276453102001,-0.0005274211148239997,-0.38046216527229193,0.37,0.64,0.36,1.01,0.99,True,True
btc-updown-5m-1780896600,2026-06-08,180,0,0.155,-1.6959115104379272,-6.864760234986674e-05,-0.5613441264106828,0.16,0.85,0.15,1.01,0.99,True,True
btc-updown-5m-1780896600,2026-06-08,120,0,0.0849999999999999,-2.376272808785206,-0.000528584706826092,0.6583601286173634,0.09,0.92,0.08,1.01,0.99,True,True
btc-updown-5m-1780896600,2026-06-08,240,0,0.335,-0.6856565088307877,-0.0009860895172583975,0.13666260011669232,0.34,0.67,0.33,1.01,0.99,True,True
btc-updown-5m-1780896900,2026-06-08,180,0,0.335,-0.6856565088307877,0.0007629076907900155,-0.8510034263338229,0.34,0.67,0.33,1.01,0.99,False,True
btc-updown-5m-1780896900,2026-06-08,120,0,0.015,-4.1845914400698785,-0.0014367335827157178,0.8855003284663798,0.02,0.99,0.01,1.01,0.99,True,True
btc-updown-5m-1780896900,2026-06-08,240,0,0.155,-1.6959115104379272,-0.001312735883335628,0.37751462549635745,0.16,0.85,0.15,1.01,0.99,True,True
btc-updown-5m-1780897200,2026-06-08,180,0,0.0849999999999999,-2.376272808785206,-0.0005943879381271305,0.5126119120256826,0.09,0.92,0.08,1.01,0.99,True,True
btc-updown-5m-1780897200,2026-06-08,120,0,0.245,-1.1254595387042978,0.0004342103328563263,0.3350764598684732,0.25,0.76,0.24,1.01,0.99,True,True
btc-updown-5m-1780897200,2026-06-08,240,0,0.345,-0.6410908186038922,-0.0007684955637369301,0.5273629988208279,0.35,0.66,0.34,1.01,0.99,True,True
btc-updown-5m-1780897500,2026-06-08,180,1,0.635,0.5537276453102001,0.000414649127132981,0.15152456921855037,0.64,0.37,0.63,1.01,0.99,True,False
btc-updown-5m-1780897500,2026-06-08,120,1,0.805,1.4178427188548168,0.00018885650642790097,0.9768172546138305,0.81,0.2,0.8,1.01,0.99,True,False
btc-updown-5m-1780897500,2026-06-08,240,1,0.625,0.5108256237659907,-4.483522255837936e-05,0.7886063116115533,0.63,0.38,0.62,1.01,0.99,True,False
btc-updown-5m-1780897800,2026-06-08,180,1,0.965,3.3167800398495713,0.0012698962069037526,0.030841244772745902,0.97,0.04,0.96,1.01,0.99,True,False
btc-updown-5m-1780897800,2026-06-08,120,1,0.985,4.184591440069878,-0.0002171257981119249,-0.3949370014324077,0.99,0.02,0.98,1.01,0.99,True,False
btc-updown-5m-1780897800,2026-06-08,240,1,0.815,1.4828322881625375,0.0010186793392577848,-0.9460296728858474,0.82,0.19,0.81,1.01,0.99,True,False
btc-updown-5m-1780898100,2026-06-08,180,1,0.615,0.4683789335187336,0.0004927164962775726,-0.11956072059874387,0.62,0.39,0.61,1.01,0.99,True,True
