horizon,C,features,n_available,n_trade,trade_yes,trade_no,trade_rate,taker_mean_pnl,taker_ci_lo,taker_ci_hi,taker_n_trades,maker_fill_rate,maker_n_fills,maker_mean_pnl,maker_ci_lo,maker_ci_hi,maker_n_trades
180,0.1,"['logit_mid', 'hf_ret_60s']",747,56,1,55,0.0749665327978581,-0.03250000000000001,-0.049017857142857155,-0.015982142857142865,56,0.42857142857142855,24,0.3383333333333334,0.3298611111111111,0.34680555555555564,24
120,0.1,"['logit_mid', 'hf_ret_60s']",747,210,0,210,0.28112449799196787,-0.06985714285714287,-0.11446938775510204,-0.025244897959183686,210,0.3047619047619048,64,0.285859375,0.24032958984375002,0.33138916015625003,64
240,0.1,"['logit_mid', 'hf_ret_60s']",743,87,43,44,0.11709286675639301,0.011149425287356308,-0.037504293830096444,0.059803144404809064,87,0.9885057471264368,86,0.02895348837209301,-0.024556517036235806,0.08246349378042182,86
180,0.5,"['logit_mid', 'hf_ret_60s']",747,154,33,121,0.20615796519410978,-0.021753246753246764,-0.059407994602799816,0.015901501096306284,154,0.935064935064935,144,0.0077430555555555265,-0.01864728009259263,0.034133391203703685,144
120,0.5,"['logit_mid', 'hf_ret_60s']",747,105,0,105,0.14056224899598393,-0.06619047619047622,-0.06619047619047623,-0.0661904761904762,105,0.8952380952380953,94,-0.03303191489361705,-0.033031914893617065,-0.03303191489361704,94
240,0.5,"['logit_mid', 'hf_ret_60s']",743,364,128,236,0.4899057873485868,0.030054945054945038,0.003885702209878012,0.05622418790001206,364,0.9917582417582418,361,0.04612188365650967,0.01670206643595426,0.07554170087706508,361
180,1.0,"['logit_mid', 'hf_ret_60s']",747,197,41,156,0.2637215528781794,0.008832487309644657,-0.03099590301218791,0.04866087763147722,197,0.949238578680203,187,0.03526737967914436,0.005242214532871936,0.06529254482541678,187
120,1.0,"['logit_mid', 'hf_ret_60s']",747,107,0,107,0.14323962516733602,-0.07233644859813086,-0.07233644859813086,-0.07233644859813086,107,0.9532710280373832,102,-0.04191176470588237,-0.041911764705882384,-0.04191176470588236,102
240,1.0,"['logit_mid', 'hf_ret_60s']",743,387,141,246,0.5208613728129206,0.01834625322997414,-0.012661231630043627,0.04935373808999191,387,0.9896640826873385,383,0.035992167101827656,0.0030677487746183923,0.06891658542903692,383
180,0.1,"['logit_mid', 'hf_ret_60s', 'obi_l1']",747,460,180,280,0.6157965194109772,-0.03056521739130437,-0.0749678638941399,0.013837429111531165,460,0.782608695652174,360,0.0570972222222222,-0.0015465277777777994,0.11574097222222221,360
120,0.1,"['logit_mid', 'hf_ret_60s', 'obi_l1']",739,190,0,190,0.2571041948579161,-0.061105263157894746,-0.10046703601108034,-0.02174349030470915,190,0.38421052631578945,73,0.24636986301369862,0.21885250516044286,0.2738872208669544,73
240,0.1,"['logit_mid', 'hf_ret_60s', 'obi_l1']",743,138,44,94,0.1857335127860027,-0.040797101449275376,-0.11689245956731781,0.03529825666876706,138,0.927536231884058,128,-0.0037500000000000207,-0.05367187500000002,0.04617187499999999,128
180,0.5,"['logit_mid', 'hf_ret_60s', 'obi_l1']",747,481,210,271,0.643908969210174,-0.007422037422037441,-0.04108354476337846,0.02623946991930358,481,0.8461538461538461,407,0.06775184275184275,0.027735543226943722,0.10776814227674178,407
120,0.5,"['logit_mid', 'hf_ret_60s', 'obi_l1']",739,145,0,145,0.19621109607577808,-0.040482758620689695,-0.06861783590963141,-0.012347681331747969,145,0.8827586206896552,128,0.009765624999999981,-0.049108886718750015,0.06864013671874998,128
240,0.5,"['logit_mid', 'hf_ret_60s', 'obi_l1']",743,357,125,232,0.48048452220726784,0.012745098039215669,-0.01399516669412864,0.03948536277255998,357,0.988795518207283,353,0.030226628895184116,0.001269169963646257,0.05918408782672198,353
180,1.0,"['logit_mid', 'hf_ret_60s', 'obi_l1']",747,482,211,271,0.6452476572958501,-0.010414937759336121,-0.042976877119884314,0.022147001601212073,482,0.8506224066390041,410,0.06247560975609755,0.024203390838786427,0.10074782867340867,410
120,1.0,"['logit_mid', 'hf_ret_60s', 'obi_l1']",739,146,0,146,0.1975642760487145,-0.05013698630136989,-0.0796659786076187,-0.020607993995121067,146,0.9246575342465754,135,-0.004111111111111129,-0.05119259259259261,0.04297037037037035,135
240,1.0,"['logit_mid', 'hf_ret_60s', 'obi_l1']",743,380,141,239,0.5114401076716016,0.02307894736842103,-0.003618421052631611,0.04977631578947367,380,0.9894736842105263,376,0.04021276595744679,0.012393617021276584,0.068031914893617,376
