open_time_ts,open_time_utc,open,high,low,close,volume,close_time_ts,close_time_utc,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,binance_direction
1760028300,2025-10-09T16:45:00+00:00,120815.97,120877.14000000,119707.29000000,119819.77,1810.31782000,1760029199,2025-10-09T16:59:59+00:00,217822930.90890350,125252,767.81456000,92380621.34193560,Down
1760029200,2025-10-09T17:00:00+00:00,119819.76,120369.00000000,119651.47000000,120261.36,656.86097000,1760030099,2025-10-09T17:14:59+00:00,78830390.02337460,127889,310.15483000,37226710.69156460,Up
1760030100,2025-10-09T17:15:00+00:00,120261.37,120520.85000000,120128.23000000,120259.08,376.86712000,1760030999,2025-10-09T17:29:59+00:00,45352528.60028080,71096,174.58039000,21013948.86484120,Down
1760031000,2025-10-09T17:30:00+00:00,120259.08,120609.66000000,120246.67000000,120461.87,302.28638000,1760031899,2025-10-09T17:44:59+00:00,36411900.63581010,57083,140.89512000,16972764.23205400,Up
1760031900,2025-10-09T17:45:00+00:00,120461.86,121046.15000000,120417.96000000,120974.0,335.38350000,1760032799,2025-10-09T17:59:59+00:00,40487147.65792940,64039,185.96215000,22451081.35306560,Up
1760032800,2025-10-09T18:00:00+00:00,120971.22,121100.00000000,120678.77000000,120762.6,286.58316000,1760033699,2025-10-09T18:14:59+00:00,34631153.13159860,66245,90.21191000,10902025.39093400,Down
1760033700,2025-10-09T18:15:00+00:00,120762.6,120917.99000000,120557.95000000,120696.9,275.38907000,1760034599,2025-10-09T18:29:59+00:00,33242137.82229970,54265,96.81484000,11685193.16037410,Down
1760034600,2025-10-09T18:30:00+00:00,120696.9,120702.32000000,120396.00000000,120595.63,228.21302000,1760035499,2025-10-09T18:44:59+00:00,27505612.79537830,45471,71.35270000,8599194.81971850,Down
1760035500,2025-10-09T18:45:00+00:00,120595.63,120717.96000000,120496.09000000,120649.32,166.12479000,1760036399,2025-10-09T18:59:59+00:00,20034449.61447800,37659,45.73459000,5516278.36232610,Up
1760036400,2025-10-09T19:00:00+00:00,120649.33,120953.54000000,120649.32000000,120939.58,172.06140000,1760037299,2025-10-09T19:14:59+00:00,20790152.71173590,46731,65.54359000,7919564.27352790,Up
1760037300,2025-10-09T19:15:00+00:00,120939.58,121107.88000000,120826.53000000,121099.99,185.44852000,1760038199,2025-10-09T19:29:59+00:00,22435049.31131470,41932,76.26087000,9226205.22652590,Up
1760038200,2025-10-09T19:30:00+00:00,121100.0,121108.12000000,120810.34000000,120846.0,185.47838000,1760039099,2025-10-09T19:44:59+00:00,22431397.48434720,41200,48.94350000,5917148.99520130,Down
1760039100,2025-10-09T19:45:00+00:00,120846.0,121055.72000000,120838.76000000,120951.72,171.93480000,1760039999,2025-10-09T19:59:59+00:00,20791780.07623230,47173,64.42501000,7790715.80304820,Up
1760040000,2025-10-09T20:00:00+00:00,120951.72,121146.00000000,120854.00000000,120854.0,220.15408000,1760040899,2025-10-09T20:14:59+00:00,26643913.23855660,39960,104.73324000,12678573.20376170,Down
1760040900,2025-10-09T20:15:00+00:00,120854.0,120966.00000000,120838.00000000,120870.23,128.42942000,1760041799,2025-10-09T20:29:59+00:00,15527186.78973930,25124,34.35732000,4153598.23381190,Up
1760041800,2025-10-09T20:30:00+00:00,120870.23,121000.00000000,120870.23000000,121000.0,88.28105000,1760042699,2025-10-09T20:44:59+00:00,10675689.45458400,12479,48.39257000,5851859.18645650,Up
1760042700,2025-10-09T20:45:00+00:00,121000.0,121199.97000000,120913.18000000,121109.09,306.80641000,1760043599,2025-10-09T20:59:59+00:00,37145129.25814070,44981,167.77001000,20313652.68245320,Up
1760043600,2025-10-09T21:00:00+00:00,121109.08,121389.24000000,121065.77000000,121370.75,127.07952000,1760044499,2025-10-09T21:14:59+00:00,15398731.31800460,22192,98.20308000,11899791.64865560,Up
1760044500,2025-10-09T21:15:00+00:00,121370.76,121490.00000000,121301.22000000,121333.76,80.72766000,1760045399,2025-10-09T21:29:59+00:00,9798847.33111710,26327,32.47684000,3941891.40578010,Down
1760045400,2025-10-09T21:30:00+00:00,121333.76,121512.70000000,121251.69000000,121444.82,124.40052000,1760046299,2025-10-09T21:44:59+00:00,15102011.80873360,23863,58.79394000,7136466.10171310,Up
1760046300,2025-10-09T21:45:00+00:00,121444.82,121493.75000000,121324.67000000,121461.02,104.01536000,1760047199,2025-10-09T21:59:59+00:00,12631516.99384850,22439,67.58700000,8207771.48677380,Up
1760047200,2025-10-09T22:00:00+00:00,121461.03,121528.46000000,121411.55000000,121477.15,72.62193000,1760048099,2025-10-09T22:14:59+00:00,8821875.46573870,23675,50.44661000,6128003.04870580,Up
1760048100,2025-10-09T22:15:00+00:00,121477.15,121599.00000000,121465.02000000,121544.05,142.39635000,1760048999,2025-10-09T22:29:59+00:00,17308156.59872200,25469,109.03822000,13253333.18402630,Up
