coin,split,n_avail,n_traded,trade_rate,n_yes,n_no,taker_mean,taker_lo,taker_hi,n_taker,maker_mean,maker_lo,maker_hi,n_maker
BTC,nonlockbox,1799,672,0.3735408560311284,45,627,-0.006889880952380969,-0.030818275226757393,0.018617267219387747,672,0.003028273809523786,-0.022488241390306155,0.028544789009353727,672
BTC,lockbox,1099,545,0.4959053685168335,199,346,-0.03033577981651377,-0.054140011783519904,-0.006531547849507633,545,-0.0204633027522936,-0.04444936453160511,0.0035227590270179056,545
ETH,nonlockbox,1608,559,0.347636815920398,364,195,-0.02899821109123436,-0.05222119104841577,-0.005775231134052948,559,-0.019105545617173543,-0.04119677676402726,0.004155452651521185,559
ETH,lockbox,1098,453,0.412568306010929,317,136,-0.02229580573951437,-0.04926733232947876,0.004675720850450021,453,-0.012682119205298036,-0.039701548177711536,0.014337309767115463,453
SOL,nonlockbox,1644,679,0.41301703163017034,299,380,-0.029425625920471293,-0.04414158393722035,-0.014709667903722239,679,-0.018873343151693686,-0.034036983695593256,-0.003709702607794114,679
SOL,lockbox,1101,514,0.46684831970935514,258,256,-0.01515564202334631,-0.06289323078320642,0.0325819467365138,514,-0.0055252918287937896,-0.05336144377659012,0.042310860119002536,514
XRP,nonlockbox,1409,796,0.5649396735273243,73,723,-0.012964824120603029,-0.032616221812580504,0.006686573571374444,796,-0.001319095477386952,-0.020503491073457763,0.01786530011868386,796
XRP,lockbox,1097,524,0.47766636280765723,3,521,-0.03291984732824429,-0.0724302196841676,4.406794475843995e-05,524,-0.02213740458015269,-0.06186716974535285,0.01759236058504747,524
DOGE,nonlockbox,875,57,0.06514285714285714,35,22,-0.09017543859649124,-0.1199199753770391,-0.06043090181594338,57,-0.06894736842105263,-0.09925207756232687,-0.038642659279778384,57
DOGE,lockbox,1101,0,0.0,0,0,,,,0,,,,0
HYPE,nonlockbox,875,148,0.16914285714285715,72,76,0.010270270270270259,-0.02105551497443391,0.04159605551497443,148,0.050506756756756734,0.019862125639152652,0.08115138787436081,148
HYPE,lockbox,1105,41,0.037104072398190045,31,10,-0.10341463414634147,-0.19309934562760261,-0.013729922665080316,41,-0.0852439024390244,-0.17405413444378343,0.0035663295657346467,41
BNB,nonlockbox,983,226,0.2299084435401831,87,139,-0.06685840707964603,-0.08435468713290001,-0.04936212702639206,226,-0.03765486725663718,-0.06037395254131098,-0.014935781971963377,226
BNB,lockbox,1105,22,0.019909502262443438,0,22,0.04999999999999998,-0.14181818181818182,0.2418181818181818,22,0.06068181818181818,-0.13041322314049583,0.2517768595041322,22
