timestamp_utc,ticker,title,event_ticker,close_time,status,yes_bid,yes_ask,no_bid,no_ask,yes_mid,last_price,volume,open_interest,best_yes_bid_qty,best_no_bid_qty,yes_levels_json,no_levels_json
2026-05-16T13:30:03.741Z,KXBTC15M-26MAY160945-45,BTC price up in next 15 mins?,KXBTC15M-26MAY160945,2026-05-16T13:45:00Z,active,0.51,0.52,0.48,0.49,0.515,0.51,0.21,0.21,424.0,25.0,"[[""0.4500"",""17.00""],[""0.4600"",""9.00""],[""0.4700"",""8.00""],[""0.4800"",""159.00""],[""0.4900"",""8.00""],[""0.5000"",""166.00""],[""0.5100"",""50.79""],[""0.5200"",""27.00""],[""0.5300"",""513.12""],[""0.5400"",""424.00""]]","[[""0.3500"",""675.85""],[""0.3600"",""141.77""],[""0.3700"",""139.00""],[""0.3800"",""132.00""],[""0.3900"",""282.00""],[""0.4000"",""583.00""],[""0.4100"",""304.00""],[""0.4200"",""3.00""],[""0.4300"",""203.00""],[""0.4400"",""25.00""]]"
2026-05-16T13:30:05.733Z,KXBTC15M-26MAY160945-45,BTC price up in next 15 mins?,KXBTC15M-26MAY160945,2026-05-16T13:45:00Z,active,0.51,0.52,0.48,0.49,0.515,0.51,0.21,0.21,939.97,11.55,"[[""0.4500"",""17.00""],[""0.4600"",""9.00""],[""0.4700"",""8.00""],[""0.4800"",""9.00""],[""0.4900"",""11.00""],[""0.5000"",""329.00""],[""0.5100"",""48.79""],[""0.5200"",""29.00""],[""0.5300"",""811.00""],[""0.5400"",""939.97""]]","[[""0.3600"",""141.77""],[""0.3700"",""289.00""],[""0.3800"",""132.00""],[""0.3900"",""134.00""],[""0.4000"",""183.00""],[""0.4100"",""144.00""],[""0.4200"",""401.00""],[""0.4300"",""218.00""],[""0.4400"",""1.00""],[""0.4500"",""11.55""]]"
2026-05-16T13:30:07.719Z,KXBTC15M-26MAY160945-45,BTC price up in next 15 mins?,KXBTC15M-26MAY160945,2026-05-16T13:45:00Z,active,0.51,0.52,0.48,0.49,0.515,0.51,0.21,0.21,153.44,662.78,"[[""0.4600"",""9.00""],[""0.4700"",""8.00""],[""0.4800"",""34.00""],[""0.4900"",""161.00""],[""0.5000"",""179.00""],[""0.5100"",""73.79""],[""0.5200"",""431.00""],[""0.5300"",""250.00""],[""0.5400"",""762.45""],[""0.5500"",""153.44""]]","[[""0.3400"",""42.94""],[""0.3500"",""175.85""],[""0.3600"",""139.00""],[""0.3700"",""164.00""],[""0.3800"",""282.00""],[""0.3900"",""132.00""],[""0.4000"",""218.00""],[""0.4100"",""146.00""],[""0.4200"",""102.00""],[""0.4300"",""662.78""]]"
2026-05-16T13:30:09.750Z,KXBTC15M-26MAY160945-45,BTC price up in next 15 mins?,KXBTC15M-26MAY160945,2026-05-16T13:45:00Z,active,0.51,0.52,0.48,0.49,0.515,0.51,0.21,0.21,12.0,107.97,"[[""0.4600"",""134.00""],[""0.4700"",""133.00""],[""0.4800"",""159.00""],[""0.4900"",""301.00""],[""0.5000"",""289.00""],[""0.5100"",""200.79""],[""0.5200"",""554.00""],[""0.5300"",""205.00""],[""0.5400"",""251.00""],[""0.5500"",""12.00""]]","[[""0.3500"",""298.00""],[""0.3600"",""264.00""],[""0.3700"",""289.00""],[""0.3800"",""407.00""],[""0.3900"",""657.00""],[""0.4000"",""345.00""],[""0.4100"",""271.00""],[""0.4200"",""227.00""],[""0.4300"",""205.63""],[""0.4400"",""107.97""]]"
2026-05-16T13:30:11.724Z,KXBTC15M-26MAY160945-45,BTC price up in next 15 mins?,KXBTC15M-26MAY160945,2026-05-16T13:45:00Z,active,0.51,0.52,0.48,0.49,0.515,0.51,0.21,0.21,70.06,251.23,"[[""0.4500"",""167.00""],[""0.4600"",""134.00""],[""0.4700"",""133.00""],[""0.4800"",""159.00""],[""0.4900"",""286.00""],[""0.5000"",""289.00""],[""0.5100"",""217.79""],[""0.5200"",""554.00""],[""0.5300"",""213.00""],[""0.5400"",""70.06""]]","[[""0.3600"",""266.77""],[""0.3700"",""304.00""],[""0.3800"",""407.00""],[""0.3900"",""657.00""],[""0.4000"",""345.00""],[""0.4100"",""271.00""],[""0.4200"",""126.00""],[""0.4300"",""271.00""],[""0.4400"",""40.79""],[""0.4500"",""251.23""]]"
2026-05-16T13:30:13.727Z,KXBTC15M-26MAY160945-45,BTC price up in next 15 mins?,KXBTC15M-26MAY160945,2026-05-16T13:45:00Z,active,0.51,0.52,0.48,0.49,0.515,0.51,0.21,0.21,605.81,115.63,"[[""0.4300"",""327.00""],[""0.4400"",""526.00""],[""0.4500"",""167.00""],[""0.4600"",""149.00""],[""0.4700"",""133.00""],[""0.4800"",""309.00""],[""0.4900"",""1676.00""],[""0.5000"",""313.00""],[""0.5100"",""200.79""],[""0.5200"",""605.81""]]","[[""0.3800"",""259.63""],[""0.3900"",""407.00""],[""0.4000"",""743.00""],[""0.4100"",""293.00""],[""0.4200"",""143.00""],[""0.4300"",""152.00""],[""0.4400"",""32.79""],[""0.4500"",""346.34""],[""0.4600"",""1550.00""],[""0.4700"",""115.63""]]"
2026-05-16T13:30:15.741Z,KXBTC15M-26MAY160945-45,BTC price up in next 15 mins?,KXBTC15M-26MAY160945,2026-05-16T13:45:00Z,active,0.51,0.52,0.48,0.49,0.515,0.51,0.21,0.21,226.42,1483.88,"[[""0.4400"",""126.00""],[""0.4500"",""167.00""],[""0.4600"",""149.00""],[""0.4700"",""133.00""],[""0.4800"",""159.00""],[""0.4900"",""1826.00""],[""0.5000"",""1393.00""],[""0.5100"",""202.79""],[""0.5200"",""623.81""],[""0.5300"",""226.42""]]","[[""0.3700"",""295.70""],[""0.3800"",""407.00""],[""0.3900"",""657.00""],[""0.4000"",""343.00""],[""0.4100"",""295.00""],[""0.4200"",""143.00""],[""0.4300"",""226.00""],[""0.4400"",""32.79""],[""0.4500"",""1355.34""],[""0.4600"",""1483.88""]]"
2026-05-16T13:30:17.731Z,KXBTC15M-26MAY160945-45,BTC price up in next 15 mins?,KXBTC15M-26MAY160945,2026-05-16T13:45:00Z,active,0.51,0.52,0.48,0.49,0.515,0.51,0.21,0.21,704.99,1325.83,"[[""0.4400"",""126.00""],[""0.4500"",""167.00""],[""0.4600"",""149.00""],[""0.4700"",""133.00""],[""0.4800"",""159.00""],[""0.4900"",""1826.00""],[""0.5000"",""1395.00""],[""0.5100"",""1202.79""],[""0.5200"",""244.81""],[""0.5300"",""704.99""]]","[[""0.3700"",""291.70""],[""0.3800"",""488.00""],[""0.3900"",""657.00""],[""0.4000"",""343.00""],[""0.4100"",""295.00""],[""0.4200"",""143.00""],[""0.4300"",""226.00""],[""0.4400"",""32.79""],[""0.4500"",""1355.34""],[""0.4600"",""1325.83""]]"
2026-05-16T13:30:19.726Z,KXBTC15M-26MAY160945-45,BTC price up in next 15 mins?,KXBTC15M-26MAY160945,2026-05-16T13:45:00Z,active,0.51,0.52,0.48,0.49,0.515,0.51,0.21,0.21,637.0,2687.17,"[[""0.4400"",""126.00""],[""0.4500"",""167.00""],[""0.4600"",""149.00""],[""0.4700"",""133.00""],[""0.4800"",""309.00""],[""0.4900"",""1676.00""],[""0.5000"",""1315.00""],[""0.5100"",""282.79""],[""0.5200"",""1269.81""],[""0.5300"",""637.00""]]","[[""0.3700"",""291.70""],[""0.3800"",""261.00""],[""0.3900"",""807.00""],[""0.4000"",""343.00""],[""0.4100"",""295.00""],[""0.4200"",""143.00""],[""0.4300"",""125.00""],[""0.4400"",""133.79""],[""0.4500"",""369.34""],[""0.4600"",""2687.17""]]"
2026-05-16T13:30:21.727Z,KXBTC15M-26MAY160945-45,BTC price up in next 15 mins?,KXBTC15M-26MAY160945,2026-05-16T13:45:00Z,active,0.51,0.52,0.48,0.49,0.515,0.51,0.21,0.21,511.44,4326.93,"[[""0.4400"",""1376.00""],[""0.4500"",""167.00""],[""0.4600"",""949.00""],[""0.4700"",""133.00""],[""0.4800"",""309.00""],[""0.4900"",""1676.00""],[""0.5000"",""1315.00""],[""0.5100"",""1200.79""],[""0.5200"",""729.81""],[""0.5300"",""511.44""]]","[[""0.3700"",""335.76""],[""0.3800"",""257.00""],[""0.3900"",""407.00""],[""0.4000"",""1993.00""],[""0.4100"",""295.00""],[""0.4200"",""143.00""],[""0.4300"",""125.00""],[""0.4400"",""32.79""],[""0.4500"",""632.34""],[""0.4600"",""4326.93""]]"
