timestamp_utc,ticker,title,event_ticker,close_time,status,yes_bid,yes_ask,no_bid,no_ask,yes_mid,last_price,volume,open_interest,best_yes_bid_qty,best_no_bid_qty,yes_levels_json,no_levels_json
2026-05-16T07:15:16.706Z,btc-updown-15m-1778915700,"Bitcoin Up or Down - May 16, 3:15AM-3:30AM ET",btc-updown-15m-1778915700,2026-05-16T07:30:00Z,,0.57,0.58,0.46,0.55,0.575,0.58,987.842188,,25.0,12.76,"[[0.01,""4667.25""],[0.02,""40480""],[0.03,""24994.34""],[0.04,""16607""],[0.05,""12135""],[0.06,""9024.34""],[0.07,""7197.29""],[0.08,""5279.5""],[0.09,""31.12""],[0.1,""4215""],[0.11,""34.1""],[0.12,""8.34""],[0.13,""27.7""],[0.14,""7.15""],[0.15,""31.67""],[0.16,""11.25""],[0.17,""25.89""],[0.18,""5.56""],[0.19,""25.27""],[0.2,""10""],[0.21,""25""],[0.22,""5""],[0.23,""25""],[0.24,""5""],[0.25,""31""],[0.26,""5""],[0.27,""25""],[0.28,""17""],[0.29,""31.89""],[0.3,""29.22""],[0.31,""39.7""],[0.32,""17""],[0.33,""30""],[0.34,""5""],[0.35,""58.58""],[0.36,""28""],[0.37,""45""],[0.38,""20""],[0.39,""50""],[0.4,""65""],[0.41,""130""],[0.42,""65""],[0.43,""20""],[0.44,""12""],[0.45,""25""]]","[[0.01,""4641.88""],[0.02,""40478""],[0.03,""25097.34""],[0.04,""16607""],[0.05,""12135.01""],[0.06,""9024.34""],[0.07,""7197.29""],[0.08,""5279.51""],[0.09,""31.12""],[0.1,""4220.01""],[0.11,""34.1""],[0.12,""13.34""],[0.13,""27.7""],[0.14,""12.15""],[0.15,""31.67""],[0.16,""16.25""],[0.17,""25.89""],[0.18,""25.56""],[0.19,""25.27""],[0.2,""5.01""],[0.21,""35""],[0.22,""20""],[0.23,""25""],[0.24,""20""],[0.25,""25""],[0.26,""540""],[0.27,""525""],[0.28,""20""],[0.29,""35""],[0.3,""20""],[0.31,""55""],[0.32,""65""],[0.33,""25""],[0.34,""20""],[0.35,""55""],[0.36,""20""],[0.37,""50""],[0.38,""74.99""],[0.39,""27.79""],[0.4,""32.5""],[0.41,""75""],[0.42,""23.15""],[0.43,""20""],[0.44,""5""],[0.45,""13.71""],[0.46,""12.76""]]"
2026-05-16T07:15:18.717Z,btc-updown-15m-1778915700,"Bitcoin Up or Down - May 16, 3:15AM-3:30AM ET",btc-updown-15m-1778915700,2026-05-16T07:30:00Z,,0.57,0.58,0.56,0.58,0.575,0.58,987.842188,,64.0,12.0,"[[0.01,""4662.25""],[0.02,""40480""],[0.03,""24994.34""],[0.04,""16607""],[0.05,""12135""],[0.06,""9024.34""],[0.07,""7197.29""],[0.08,""5279.5""],[0.09,""31.12""],[0.1,""4215""],[0.11,""44.1""],[0.12,""8.34""],[0.13,""27.7""],[0.14,""7.15""],[0.15,""31.67""],[0.16,""16.25""],[0.17,""25.89""],[0.18,""5.56""],[0.19,""25.27""],[0.2,""10""],[0.21,""25""],[0.22,""5""],[0.23,""40""],[0.24,""5""],[0.25,""46""],[0.26,""5""],[0.27,""40""],[0.28,""17""],[0.29,""46.89""],[0.3,""19.22""],[0.31,""60.7""],[0.32,""27""],[0.33,""45""],[0.34,""50""],[0.35,""58.58""],[0.36,""28""],[0.37,""25""],[0.38,""15""],[0.39,""36""],[0.4,""71""],[0.41,""5""],[0.42,""64""]]","[[0.01,""4646.88""],[0.02,""40478""],[0.03,""25097.34""],[0.04,""16607""],[0.05,""12135.01""],[0.06,""9024.34""],[0.07,""7197.29""],[0.08,""5279.51""],[0.09,""31.12""],[0.1,""4220.01""],[0.11,""34.1""],[0.12,""13.34""],[0.13,""27.7""],[0.14,""12.15""],[0.15,""31.67""],[0.16,""21.25""],[0.17,""25.89""],[0.18,""10.56""],[0.19,""25.27""],[0.2,""5.01""],[0.21,""35""],[0.22,""5""],[0.23,""25""],[0.24,""5""],[0.25,""25""],[0.26,""525""],[0.27,""525""],[0.28,""30""],[0.29,""35""],[0.3,""20""],[0.31,""56""],[0.32,""65""],[0.33,""25""],[0.34,""20""],[0.35,""50""],[0.36,""20""],[0.37,""50""],[0.38,""84.99""],[0.39,""27.79""],[0.4,""5""],[0.41,""61""],[0.42,""114.93""],[0.43,""35""],[0.44,""18""],[0.45,""48""],[0.46,""25""],[0.47,""170.97""],[0.48,""25""],[0.49,""50.21""],[0.5,""20""],[0.51,""52.8""],[0.52,""20""],[0.53,""25""],[0.54,""40""],[0.55,""63.04""],[0.56,""12""]]"
2026-05-16T07:15:20.711Z,btc-updown-15m-1778915700,"Bitcoin Up or Down - May 16, 3:15AM-3:30AM ET",btc-updown-15m-1778915700,2026-05-16T07:30:00Z,,0.57,0.58,0.48,0.57,0.575,0.58,987.842188,,20.0,20.0,"[[0.01,""4662.25""],[0.02,""40480""],[0.03,""24994.34""],[0.04,""16607""],[0.05,""12135""],[0.06,""9024.34""],[0.07,""7197.29""],[0.08,""5279.5""],[0.09,""31.12""],[0.1,""4215""],[0.11,""44.1""],[0.12,""8.34""],[0.13,""27.7""],[0.14,""7.15""],[0.15,""31.67""],[0.16,""16.25""],[0.17,""25.89""],[0.18,""5.56""],[0.19,""25.27""],[0.2,""10""],[0.21,""40""],[0.22,""5""],[0.23,""40""],[0.24,""5""],[0.25,""46""],[0.26,""5""],[0.27,""40""],[0.28,""22""],[0.29,""46.89""],[0.3,""19.22""],[0.31,""60.7""],[0.32,""32""],[0.33,""74.09""],[0.34,""5""],[0.35,""58.58""],[0.36,""33""],[0.37,""65""],[0.38,""15""],[0.39,""30""],[0.4,""65""],[0.41,""70.57""],[0.43,""20""]]","[[0.01,""4641.88""],[0.02,""40478""],[0.03,""25097.34""],[0.04,""16607""],[0.05,""12135.01""],[0.06,""9024.34""],[0.07,""7197.29""],[0.08,""5279.51""],[0.09,""31.12""],[0.1,""4220.01""],[0.11,""34.1""],[0.12,""13.34""],[0.13,""27.7""],[0.14,""12.15""],[0.15,""31.67""],[0.16,""21.25""],[0.17,""25.89""],[0.18,""10.56""],[0.19,""25.27""],[0.2,""5.01""],[0.21,""35""],[0.22,""5""],[0.23,""25""],[0.24,""5""],[0.25,""25""],[0.26,""525""],[0.27,""525""],[0.28,""30""],[0.29,""35""],[0.3,""20""],[0.31,""56""],[0.32,""65""],[0.33,""25""],[0.34,""20""],[0.35,""50""],[0.36,""20""],[0.37,""50""],[0.38,""84.99""],[0.39,""22.79""],[0.4,""5""],[0.41,""45""],[0.42,""80.78""],[0.43,""25""],[0.44,""13""],[0.45,""33""],[0.46,""15""],[0.47,""170.97""],[0.48,""20""]]"
2026-05-16T07:15:22.715Z,btc-updown-15m-1778915700,"Bitcoin Up or Down - May 16, 3:15AM-3:30AM ET",btc-updown-15m-1778915700,2026-05-16T07:30:00Z,,0.57,0.58,0.54,0.57,0.575,0.58,987.842188,,23.24,26.11,"[[0.01,""4667.25""],[0.02,""40475""],[0.03,""24994.34""],[0.04,""16607""],[0.05,""12135""],[0.06,""9024.34""],[0.07,""7197.29""],[0.08,""5279.5""],[0.09,""31.12""],[0.1,""15""],[0.11,""49.1""],[0.12,""8.34""],[0.13,""27.7""],[0.14,""7.15""],[0.15,""31.67""],[0.16,""16.25""],[0.17,""25.89""],[0.18,""5.56""],[0.19,""25.27""],[0.2,""10""],[0.21,""25""],[0.22,""5""],[0.23,""25""],[0.24,""5""],[0.25,""46""],[0.26,""5""],[0.27,""40""],[0.28,""617""],[0.29,""46.89""],[0.3,""19.22""],[0.31,""60.7""],[0.32,""27""],[0.33,""59.09""],[0.34,""5""],[0.35,""58.58""],[0.36,""28""],[0.37,""25""],[0.38,""15""],[0.39,""61.2""],[0.4,""136.3""],[0.41,""13""],[0.43,""23.24""]]","[[0.01,""4636.88""],[0.02,""40478""],[0.03,""25097.34""],[0.04,""16607""],[0.05,""12135.01""],[0.06,""9024.34""],[0.07,""7197.29""],[0.08,""5284.51""],[0.09,""31.12""],[0.1,""20.01""],[0.11,""34.1""],[0.12,""13.34""],[0.13,""27.7""],[0.14,""12.15""],[0.15,""31.67""],[0.16,""21.25""],[0.17,""25.89""],[0.18,""10.56""],[0.19,""25.27""],[0.2,""5.01""],[0.21,""35""],[0.22,""5""],[0.23,""25""],[0.24,""5""],[0.25,""25""],[0.26,""525""],[0.27,""525""],[0.28,""15""],[0.29,""35""],[0.3,""5""],[0.31,""56""],[0.32,""25""],[0.33,""25""],[0.34,""20""],[0.35,""50""],[0.36,""20""],[0.37,""50""],[0.38,""84.99""],[0.39,""22.79""],[0.4,""5""],[0.41,""245""],[0.42,""15""],[0.43,""30""],[0.44,""418""],[0.45,""33""],[0.46,""335""],[0.47,""165.97""],[0.48,""20""],[0.49,""25""],[0.51,""20""],[0.53,""55.01""],[0.54,""26.11""]]"
2026-05-16T07:15:24.701Z,btc-updown-15m-1778915700,"Bitcoin Up or Down - May 16, 3:15AM-3:30AM ET",btc-updown-15m-1778915700,2026-05-16T07:30:00Z,,0.57,0.58,0.53,0.54,0.575,0.58,987.842188,,14.38,2.38,"[[0.01,""4965.25""],[0.02,""40623.1""],[0.03,""25097.44""],[0.04,""16685.09""],[0.05,""12135""],[0.06,""9024.34""],[0.07,""7197.29""],[0.08,""5279.5""],[0.09,""31.12""],[0.1,""15""],[0.11,""49.1""],[0.12,""8.34""],[0.13,""27.7""],[0.14,""7.15""],[0.15,""31.67""],[0.16,""16.25""],[0.17,""25.89""],[0.18,""5.56""],[0.19,""25.27""],[0.2,""10""],[0.21,""25""],[0.22,""5""],[0.23,""25""],[0.24,""5""],[0.25,""46""],[0.26,""10""],[0.27,""60""],[0.28,""17""],[0.29,""66.89""],[0.3,""219.22""],[0.31,""60.7""],[0.32,""27""],[0.33,""69.09""],[0.34,""105""],[0.35,""73.58""],[0.36,""28""],[0.37,""25""],[0.38,""15""],[0.39,""25""],[0.4,""65""],[0.41,""120""],[0.42,""10""],[0.43,""24.59""],[0.44,""22.8""],[0.45,""14.38""]]","[[0.01,""4988.88""],[0.02,""40636.1""],[0.03,""25097.34""],[0.04,""16607""],[0.05,""12135.01""],[0.06,""9024.34""],[0.07,""7197.29""],[0.08,""5284.51""],[0.09,""31.12""],[0.1,""20.01""],[0.11,""34.1""],[0.12,""13.34""],[0.13,""27.7""],[0.14,""12.15""],[0.15,""31.67""],[0.16,""21.25""],[0.17,""25.89""],[0.18,""10.56""],[0.19,""25.27""],[0.2,""5.01""],[0.21,""35""],[0.22,""5""],[0.23,""25""],[0.24,""5""],[0.25,""25""],[0.26,""525""],[0.27,""525""],[0.28,""15""],[0.29,""35""],[0.3,""5""],[0.31,""56""],[0.32,""25""],[0.33,""25""],[0.34,""20""],[0.35,""50""],[0.36,""20""],[0.37,""50""],[0.38,""84.99""],[0.39,""22.79""],[0.4,""20""],[0.41,""50""],[0.42,""30""],[0.43,""25""],[0.44,""28""],[0.45,""553""],[0.46,""50""],[0.47,""185.97""],[0.48,""25""],[0.49,""87.8""],[0.5,""37.8""],[0.51,""50.88""],[0.52,""25""],[0.53,""2.38""]]"
2026-05-16T07:15:26.709Z,btc-updown-15m-1778915700,"Bitcoin Up or Down - May 16, 3:15AM-3:30AM ET",btc-updown-15m-1778915700,2026-05-16T07:30:00Z,,0.57,0.58,0.58,0.59,0.575,0.58,987.842188,,63.28,12.0,"[[0.01,""4980.25""],[0.02,""40623.1""],[0.03,""25097.44""],[0.04,""16685.09""],[0.05,""12198.2""],[0.06,""9077.54""],[0.07,""7197.29""],[0.08,""5279.5""],[0.09,""31.12""],[0.1,""15""],[0.11,""49.1""],[0.12,""13.34""],[0.13,""27.7""],[0.14,""7.15""],[0.15,""31.67""],[0.16,""16.25""],[0.17,""25.89""],[0.18,""5.56""],[0.19,""25.27""],[0.2,""10""],[0.21,""25""],[0.22,""5""],[0.23,""25""],[0.24,""5""],[0.25,""46""],[0.26,""30""],[0.27,""60""],[0.28,""37""],[0.29,""51.89""],[0.3,""39.22""],[0.31,""70.7""],[0.32,""47""],[0.33,""54.09""],[0.34,""85""],[0.35,""58.58""],[0.36,""28""],[0.37,""25""],[0.38,""15""],[0.39,""25""],[0.4,""60""],[0.41,""63.28""]]","[[0.01,""5024.88""],[0.02,""40636.1""],[0.03,""25200.44""],[0.04,""16685.09""],[0.05,""12198.21""],[0.06,""9024.34""],[0.07,""7197.29""],[0.08,""5284.51""],[0.09,""31.12""],[0.1,""20.01""],[0.11,""34.1""],[0.12,""13.34""],[0.13,""32.7""],[0.14,""12.15""],[0.15,""31.67""],[0.16,""21.25""],[0.17,""25.89""],[0.18,""10.56""],[0.19,""25.27""],[0.2,""5.01""],[0.21,""35""],[0.22,""5""],[0.23,""25""],[0.24,""5""],[0.25,""25""],[0.26,""505""],[0.27,""525""],[0.28,""15""],[0.29,""35""],[0.3,""5""],[0.31,""36""],[0.32,""20""],[0.33,""25""],[0.34,""20""],[0.35,""50""],[0.36,""20""],[0.37,""50""],[0.38,""84.99""],[0.39,""22.79""],[0.4,""25""],[0.41,""50""],[0.42,""50""],[0.43,""65""],[0.44,""48""],[0.45,""53""],[0.46,""50""],[0.47,""191.97""],[0.48,""140""],[0.49,""56""],[0.5,""45""],[0.51,""72.8""],[0.52,""58.8""],[0.53,""50.3""],[0.54,""38.97""],[0.55,""52.8""],[0.56,""17.8""],[0.57,""12""],[0.58,""12""]]"
2026-05-16T07:15:28.702Z,btc-updown-15m-1778915700,"Bitcoin Up or Down - May 16, 3:15AM-3:30AM ET",btc-updown-15m-1778915700,2026-05-16T07:30:00Z,,0.57,0.58,0.62,0.64,0.575,0.58,987.842188,,23.0,7.0,"[[0.01,""4975.25""],[0.02,""40623.1""],[0.03,""25097.44""],[0.04,""16685.09""],[0.05,""12198.2""],[0.06,""9077.54""],[0.07,""7197.29""],[0.08,""5279.5""],[0.09,""31.12""],[0.1,""15""],[0.11,""49.1""],[0.12,""13.34""],[0.13,""27.7""],[0.14,""7.15""],[0.15,""31.67""],[0.16,""16.25""],[0.17,""25.89""],[0.18,""5.56""],[0.19,""25.27""],[0.2,""10""],[0.21,""25""],[0.22,""5""],[0.23,""25""],[0.24,""10""],[0.25,""31""],[0.26,""30""],[0.27,""45""],[0.28,""37""],[0.29,""51.89""],[0.3,""19.22""],[0.31,""55.7""],[0.32,""72""],[0.33,""34.09""],[0.35,""53.58""],[0.36,""23""]]","[[0.01,""5029.88""],[0.02,""40636.1""],[0.03,""25200.44""],[0.04,""16685.09""],[0.05,""12198.21""],[0.06,""9077.54""],[0.07,""7243.39""],[0.08,""5284.51""],[0.09,""31.12""],[0.1,""20.01""],[0.11,""34.1""],[0.12,""13.34""],[0.13,""32.7""],[0.14,""12.15""],[0.15,""31.67""],[0.16,""21.25""],[0.17,""25.89""],[0.18,""10.56""],[0.19,""25.27""],[0.2,""5.01""],[0.21,""35""],[0.22,""5""],[0.23,""25""],[0.24,""5""],[0.25,""25""],[0.26,""505""],[0.27,""525""],[0.28,""15""],[0.29,""35""],[0.3,""5""],[0.31,""36""],[0.32,""5""],[0.33,""25""],[0.34,""5""],[0.35,""50""],[0.36,""5""],[0.37,""50""],[0.38,""84.99""],[0.39,""22.79""],[0.4,""25""],[0.41,""50""],[0.42,""50""],[0.43,""65""],[0.44,""48""],[0.45,""58""],[0.46,""70""],[0.47,""191.97""],[0.48,""40""],[0.49,""351""],[0.5,""45""],[0.51,""60""],[0.52,""40""],[0.53,""37.8""],[0.54,""38.27""],[0.55,""70.3""],[0.56,""37.8""],[0.57,""25""],[0.58,""10""],[0.59,""12""],[0.62,""7""]]"
2026-05-16T07:15:30.705Z,btc-updown-15m-1778915700,"Bitcoin Up or Down - May 16, 3:15AM-3:30AM ET",btc-updown-15m-1778915700,2026-05-16T07:30:00Z,,0.57,0.58,0.7,0.72,0.575,0.58,987.842188,,3.39,131.27,"[[0.01,""4981.15""],[0.02,""40623.1""],[0.03,""25097.44""],[0.04,""16685.09""],[0.05,""12198.2""],[0.06,""9077.54""],[0.07,""7243.39""],[0.08,""5320.29""],[0.09,""31.12""],[0.1,""15""],[0.11,""49.1""],[0.12,""13.34""],[0.13,""27.7""],[0.14,""7.15""],[0.15,""38.34""],[0.16,""16.25""],[0.17,""25.89""],[0.18,""10.56""],[0.19,""130.27""],[0.2,""10""],[0.21,""25""],[0.22,""5""],[0.23,""25""],[0.24,""50""],[0.25,""31""],[0.26,""10""],[0.27,""20""],[0.28,""3.39""]]","[[0.01,""5029.88""],[0.02,""40641.1""],[0.03,""25200.44""],[0.04,""16685.09""],[0.05,""12198.21""],[0.06,""9077.54""],[0.07,""7243.39""],[0.08,""5284.51""],[0.09,""31.12""],[0.1,""20.01""],[0.11,""34.1""],[0.12,""13.34""],[0.13,""27.7""],[0.14,""12.15""],[0.15,""31.67""],[0.16,""21.25""],[0.17,""25.89""],[0.18,""10.56""],[0.19,""25.27""],[0.2,""5.01""],[0.21,""35""],[0.22,""5""],[0.23,""25""],[0.24,""5""],[0.25,""25""],[0.26,""505""],[0.27,""525""],[0.28,""15""],[0.29,""35""],[0.3,""5""],[0.31,""36""],[0.32,""5""],[0.33,""25""],[0.34,""5""],[0.35,""50""],[0.36,""5""],[0.37,""50""],[0.38,""84.99""],[0.39,""42.79""],[0.4,""25""],[0.41,""50""],[0.42,""80""],[0.43,""85""],[0.44,""48""],[0.45,""58""],[0.46,""50""],[0.47,""191.97""],[0.48,""40""],[0.49,""351""],[0.5,""40""],[0.51,""60""],[0.52,""40""],[0.53,""25""],[0.54,""30""],[0.55,""45""],[0.56,""35""],[0.57,""30""],[0.58,""142.8""],[0.59,""30""],[0.6,""42""],[0.61,""32.5""],[0.62,""17""],[0.63,""65.61""],[0.69,""5""],[0.7,""131.27""]]"
2026-05-16T07:15:32.722Z,btc-updown-15m-1778915700,"Bitcoin Up or Down - May 16, 3:15AM-3:30AM ET",btc-updown-15m-1778915700,2026-05-16T07:30:00Z,,0.57,0.58,0.72,0.73,0.575,0.58,987.842188,,10.56,5.0,"[[0.01,""4976.15""],[0.02,""40623.1""],[0.03,""25097.44""],[0.04,""16685.09""],[0.05,""12198.2""],[0.06,""9077.54""],[0.07,""7243.39""],[0.08,""5325.66""],[0.09,""79.72""],[0.1,""15""],[0.11,""49.1""],[0.12,""13.34""],[0.13,""27.7""],[0.14,""7.15""],[0.15,""15""],[0.25,""40""],[0.27,""10.56""]]","[[0.01,""5029.88""],[0.02,""40641.1""],[0.03,""25200.44""],[0.04,""16685.09""],[0.05,""12198.21""],[0.06,""9077.54""],[0.07,""7243.39""],[0.08,""5325.3""],[0.09,""31.12""],[0.1,""20.01""],[0.11,""34.1""],[0.12,""13.34""],[0.13,""27.7""],[0.14,""12.15""],[0.15,""31.67""],[0.16,""21.25""],[0.17,""25.89""],[0.18,""10.56""],[0.19,""25.27""],[0.2,""5.01""],[0.21,""35""],[0.22,""5""],[0.23,""25""],[0.24,""5""],[0.25,""25""],[0.26,""505""],[0.27,""525""],[0.28,""15""],[0.29,""35""],[0.3,""5""],[0.31,""25""],[0.32,""5""],[0.33,""25""],[0.34,""5""],[0.35,""30""],[0.36,""5""],[0.37,""50""],[0.38,""69.99""],[0.39,""42.79""],[0.4,""10""],[0.41,""50""],[0.42,""65""],[0.43,""65""],[0.44,""33""],[0.45,""53""],[0.46,""35""],[0.47,""191.97""],[0.48,""25""],[0.49,""351""],[0.5,""40""],[0.51,""45""],[0.52,""51""],[0.53,""25""],[0.54,""20""],[0.55,""25""],[0.56,""31""],[0.57,""25""],[0.58,""35""],[0.59,""42""],[0.6,""35""],[0.61,""37.5""],[0.62,""49.3""],[0.63,""80""],[0.64,""30""],[0.65,""35""],[0.68,""15""],[0.69,""5""],[0.7,""40""],[0.71,""35.62""],[0.72,""5""]]"
2026-05-16T07:15:34.708Z,btc-updown-15m-1778915700,"Bitcoin Up or Down - May 16, 3:15AM-3:30AM ET",btc-updown-15m-1778915700,2026-05-16T07:30:00Z,,0.57,0.58,0.74,0.76,0.575,0.58,987.842188,,6.0,5.11,"[[0.01,""4977.19""],[0.02,""40632.45""],[0.03,""25097.44""],[0.04,""16693.15""],[0.05,""12238.2""],[0.06,""9094.54""],[0.07,""7243.39""],[0.08,""5325.66""],[0.09,""64.72""],[0.1,""48.29""],[0.11,""44.1""],[0.12,""50.74""],[0.13,""34.2""],[0.14,""57.15""],[0.15,""12.8""],[0.21,""39.66""],[0.22,""31.3""],[0.24,""6""]]","[[0.01,""5035.91""],[0.02,""40646.7""],[0.03,""25200.44""],[0.04,""16685.09""],[0.05,""12198.21""],[0.06,""9077.54""],[0.07,""7243.39""],[0.08,""5325.3""],[0.09,""31.12""],[0.1,""30.52""],[0.11,""64.7""],[0.12,""41.74""],[0.13,""54.2""],[0.14,""12.15""],[0.15,""26.67""],[0.16,""21.25""],[0.17,""30.89""],[0.18,""10.56""],[0.19,""25.27""],[0.2,""5.01""],[0.21,""35""],[0.22,""5""],[0.23,""25""],[0.24,""5""],[0.25,""25""],[0.26,""505""],[0.27,""525""],[0.28,""15""],[0.29,""35""],[0.3,""5""],[0.31,""25""],[0.32,""5""],[0.33,""25""],[0.34,""5""],[0.35,""30""],[0.36,""5""],[0.37,""30""],[0.38,""69.99""],[0.39,""22.79""],[0.4,""10""],[0.41,""74.39""],[0.42,""65""],[0.43,""565""],[0.44,""33""],[0.45,""58""],[0.46,""35""],[0.47,""191.97""],[0.48,""25""],[0.49,""51""],[0.5,""40""],[0.51,""45""],[0.52,""51""],[0.53,""25""],[0.54,""45""],[0.55,""30""],[0.56,""40""],[0.57,""45""],[0.58,""10""],[0.59,""102""],[0.6,""57""],[0.61,""37.8""],[0.62,""146.8""],[0.63,""222.8""],[0.64,""50""],[0.65,""35""],[0.66,""32""],[0.67,""5.63""],[0.68,""15""],[0.69,""30""],[0.7,""115.07""],[0.71,""59.43""],[0.72,""8.14""],[0.74,""5.11""]]"
