price_col,low,high,spot_mode,min_favorable_distance,max_abs_distance,rule,opportunities,known_quantity_rows,missing_quantity_rows,successes,failures,total_floor_contract_capacity,median_floor_contract_capacity,max_floor_contract_capacity,scaled_gross_profit_before_fees,scaled_fees,scaled_net_profit,scaled_turnover_cost,max_single_trade_cost,min_cumulative_pnl,max_drawdown
ask_p,0.575,0.775,agrees,50.0,150.0,0.57 < ask p < 0.78; spot agrees with selected side; favored spot distance >= $50; |spot-target| <= $150,27,27,0,24,3,29796,549.0,5236,8959.32,440.721792,8518.598208,20500.679999999997,3508.1200000000003,-145.98815399999998,-181.88303399999998
ask_p,0.5,0.775,agrees,50.0,150.0,0.50 < ask p < 0.78; spot agrees with selected side; favored spot distance >= $50; |spot-target| <= $150,31,29,2,27,4,30453,549.0,5236,8633.310000000001,451.998309,8181.311691000001,20874.69,3508.1200000000003,-145.98815399999998,-357.5786129999997
ask_p,0.525,0.775,agrees,50.0,150.0,0.53 < ask p < 0.78; spot agrees with selected side; favored spot distance >= $50; |spot-target| <= $150,31,29,2,27,4,30453,549.0,5236,8633.310000000001,451.998309,8181.311691000001,20874.69,3508.1200000000003,-145.98815399999998,-357.5786129999997
ask_p,0.55,0.775,agrees,50.0,150.0,0.55 < ask p < 0.78; spot agrees with selected side; favored spot distance >= $50; |spot-target| <= $150,29,29,0,25,4,30453,549.0,5236,8633.310000000001,451.998309,8181.311691000001,20874.69,3508.1200000000003,-145.98815399999998,-357.5786129999997
mid_p,0.625,0.85,agrees,25.0,,0.62 < mid p < 0.85; spot agrees with selected side; favored spot distance >= $25,47,38,9,42,5,38033,625.5,5236,8465.71,520.666629,7945.043371000001,27700.289999999997,3508.1200000000003,-145.98815399999998,-984.4312500000001
mid_p,0.625,0.8,agrees,25.0,,0.62 < mid p < 0.80; spot agrees with selected side; favored spot distance >= $25,38,38,0,34,4,38033,625.5,5236,8465.710000000001,520.666629,7945.043371000001,27700.289999999997,3508.1200000000003,-145.98815399999998,-984.4312500000001
mid_p,0.625,0.95,agrees,25.0,,0.62 < mid p < 0.95; spot agrees with selected side; favored spot distance >= $25,60,38,22,54,6,38033,625.5,5236,8465.710000000001,520.666629,7945.043371,27700.289999999997,3508.1200000000003,-145.98815399999998,-984.4312500000001
mid_p,0.625,0.925,agrees,25.0,,0.62 < mid p < 0.93; spot agrees with selected side; favored spot distance >= $25,56,38,18,50,6,38033,625.5,5236,8465.71,520.6666290000001,7945.043371,27700.29,3508.1200000000003,-145.98815399999998,-984.4312500000001
mid_p,0.625,0.9,agrees,25.0,,0.62 < mid p < 0.90; spot agrees with selected side; favored spot distance >= $25,52,38,14,47,5,38033,625.5,5236,8465.710000000001,520.666629,7945.043371,27700.289999999997,3508.1200000000003,-145.98815399999998,-984.4312500000001
mid_p,0.625,0.825,agrees,25.0,,0.62 < mid p < 0.82; spot agrees with selected side; favored spot distance >= $25,41,38,3,36,5,38033,625.5,5236,8465.71,520.6666290000001,7945.043371,27700.29,3508.1200000000003,-145.98815399999998,-984.4312500000001
