timestamp_utc,event,contract_id,close_time,remaining_seconds,entry_seconds,band_low,band_high,yes_bid,yes_ask,no_bid,no_ask,yes_mid,selected_side,selected_probability,selected_ask,selected_ask_qty,contracts,dry_run,order_status,order_id,fill_price,filled_size,actual_side,actual_label,correct,kalshi_price,kalshi_target,kalshi_target_source,successful_count,unsuccessful_count,skipped_count,valid_orderbook,invalid_orderbook_reasons,reason
2026-06-04T19:42:02.826Z,decision,KXBTC15M-26JUN041545-45,2026-06-04T19:45:00Z,180.786,600,0.6,0.8,0.005,0.007,0.993,0.995,0.006,,0.994,,,2,1,skip,,,,,,,,,,0,0,1,1,,more likely side 0.9940 outside band 0.60-0.80
2026-06-04T19:45:07.469Z,outcome,KXBTC15M-26JUN041545-45,2026-06-04T19:45:00Z,-6.661,600,0.6,0.8,,,,,,,0.994,,,2,1,skip,,,0.0,NO,0,,63730.79,64047.6,observed_source_snapshot,0,0,1,1,,skipped
2026-06-04T19:50:06.095Z,decision,KXBTC15M-26JUN041600-00,2026-06-04T20:00:00Z,597.774,600,0.6,0.8,0.3,0.31,0.69,0.7,0.28500000000000003,NO,0.715,0.72,195.28,2,1,dry_run,,,2.0,,,,,,,0,0,1,1,,would buy 2 NO at best ask 72.0c
2026-06-04T19:52:32.901Z,decision,KXBTC15M-26JUN041600-00,2026-06-04T20:00:00Z,449.429,600,0.6,0.8,0.16,0.17,0.83,0.84,0.165,,0.835,,,2,0,skip,,,,,,,,,,0,0,1,1,,more likely side 0.8350 outside band 0.60-0.80
2026-06-04T20:00:05.635Z,outcome,KXBTC15M-26JUN041600-00,2026-06-04T20:00:00Z,-2.011,600,0.6,0.8,,,,,,,0.835,,,2,0,skip,,,0.0,NO,0,,63621.54,63719.04,observed_source_snapshot,0,0,1,1,,skipped
2026-06-04T20:05:04.822Z,decision,KXBTC15M-26JUN041615-15,2026-06-04T20:15:00Z,598.849,600,0.6,0.8,0.04,0.042,0.958,0.96,0.041,,0.959,,,2,0,skip,,,,,,,,,,0,0,2,1,,more likely side 0.9590 outside band 0.60-0.80
2026-06-04T20:15:06.588Z,outcome,KXBTC15M-26JUN041615-15,2026-06-04T20:15:00Z,-5.770,600,0.6,0.8,,,,,,,0.959,,,2,0,skip,,,0.0,NO,0,,63461.95,63598.59,observed_source_snapshot,0,0,2,1,,skipped
2026-06-04T20:20:05.219Z,decision,KXBTC15M-26JUN041630-30,2026-06-04T20:30:00Z,598.459,600,0.6,0.8,0.19,0.2,0.8,0.81,0.195,,0.8049999999999999,,,2,0,skip,,,,,,,,,,0,0,3,1,,more likely side 0.8050 outside band 0.60-0.80
2026-06-04T20:30:07.460Z,outcome,KXBTC15M-26JUN041630-30,2026-06-04T20:30:00Z,-6.331,600,0.6,0.8,,,,,,,0.8049999999999999,,,2,0,skip,,,0.0,NO,0,,63254.22,63441.31,observed_source_snapshot,0,0,3,1,,skipped
2026-06-04T20:35:07.386Z,decision,KXBTC15M-26JUN041645-45,2026-06-04T20:45:00Z,595.958,600,0.6,0.8,0.948,0.949,0.051,0.052,0.9484999999999999,,0.9484999999999999,,,2,0,skip,,,,,,,,,,0,0,4,1,,more likely side 0.9485 outside band 0.60-0.80
2026-06-04T20:45:07.529Z,outcome,KXBTC15M-26JUN041645-45,2026-06-04T20:45:00Z,-5.054,600,0.6,0.8,,,,,,,0.9484999999999999,,,2,0,skip,,,0.0,YES,1,,63548.49,63188.73,observed_source_snapshot,0,0,4,1,,skipped
