horizon_seconds,price_range,band_low,band_high,n,total_available_contracts,coverage,wins,losses,p_success,avg_cost,ev_p_minus_c,gross_pnl,profit_per_available_contract,p_value_break_even,neighbor_count,neighbor_positive_count,neighbor_positive_share,neighbor_profit_per_available_mean,positive_component_size,positive_component_profit_per_available_mean,stable
60,0.50-0.60,0.50,0.60,12,534,0.022472,8,4,0.666667,0.578333,0.088333,1.060000,0.001985,0.3777813718,4,2,0.500000,0.000499,0,0.000000,0
60,0.50-0.70,0.50,0.70,29,534,0.054307,23,6,0.793103,0.640345,0.152759,4.430000,0.008296,0.05858714022,7,3,0.428571,0.001200,15,0.003672,0
60,0.50-0.80,0.50,0.80,52,534,0.097378,42,10,0.807692,0.699231,0.108462,5.640000,0.010562,0.05287541731,10,4,0.400000,0.001107,15,0.003672,0
60,0.50-0.90,0.50,0.90,69,534,0.129213,55,14,0.797101,0.742304,0.054797,3.781000,0.007081,0.1765280449,11,5,0.454545,0.000921,15,0.003672,0
60,0.50-1.00,0.50,1.00,534,534,1.000000,515,19,0.964419,0.960672,0.003747,2.001000,0.003747,0.3589268069,7,3,0.428571,-0.000177,15,0.003672,0
60,0.60-0.70,0.60,0.70,17,534,0.031835,15,2,0.882353,0.684118,0.198235,3.370000,0.006311,0.05909473461,10,6,0.600000,0.002019,0,0.000000,0
60,0.60-0.80,0.60,0.80,40,534,0.074906,34,6,0.850000,0.735500,0.114500,4.580000,0.008577,0.06459929615,14,7,0.500000,0.001104,15,0.003672,0
60,0.60-0.90,0.60,0.90,57,534,0.106742,47,10,0.824561,0.776825,0.047737,2.721000,0.005096,0.2399056738,17,8,0.470588,0.000538,15,0.003672,0
60,0.60-1.00,0.60,1.00,522,534,0.977528,507,15,0.971264,0.969462,0.001803,0.941000,0.001762,0.4620220877,11,4,0.363636,-0.000520,15,0.003672,0
60,0.70-0.80,0.70,0.80,23,534,0.043071,19,4,0.826087,0.773478,0.052609,1.210000,0.002266,0.3773563254,9,4,0.444444,0.000314,15,0.003672,0
60,0.70-0.90,0.70,0.90,40,534,0.074906,32,8,0.800000,0.816225,-0.016225,-0.649000,-0.001215,0.6937870646,14,6,0.428571,-0.000498,0,0.000000,0
60,0.70-1.00,0.70,1.00,505,534,0.945693,492,13,0.974257,0.979067,-0.004810,-2.429000,-0.004549,0.8369988395,10,3,0.300000,-0.001320,0,0.000000,0
60,0.80-0.90,0.80,0.90,17,534,0.031835,13,4,0.764706,0.874059,-0.109353,-1.859000,-0.003481,0.9479073169,11,3,0.272727,-0.001564,0,0.000000,0
60,0.80-1.00,0.80,1.00,482,534,0.902622,473,9,0.981328,0.988878,-0.007550,-3.639000,-0.006815,0.9594735055,8,1,0.125000,-0.001736,0,0.000000,0
60,0.90-1.00,0.90,1.00,465,534,0.870787,460,5,0.989247,0.993075,-0.003828,-1.780000,-0.003333,0.8955479249,4,0,0.000000,-0.002725,0,0.000000,0
120,0.50-0.60,0.50,0.60,22,560,0.039286,13,9,0.590909,0.576000,0.014909,0.328000,0.000586,0.5338959738,6,2,0.333333,-0.001243,4,0.002179,0
120,0.50-0.70,0.50,0.70,43,560,0.076786,25,18,0.581395,0.622419,-0.041023,-1.764000,-0.003150,0.7651197584,12,5,0.416667,0.000054,0,0.000000,0
120,0.50-0.80,0.50,0.80,77,560,0.137500,52,25,0.675325,0.689325,-0.014000,-1.078000,-0.001925,0.6583932899,16,5,0.312500,-0.000999,0,0.000000,0
120,0.50-0.90,0.50,0.90,123,560,0.219643,91,32,0.739837,0.753650,-0.013813,-1.699000,-0.003034,0.6873276712,17,6,0.352941,-0.001910,0,0.000000,0
120,0.50-1.00,0.50,1.00,560,560,1.000000,521,39,0.930357,0.934325,-0.003968,-2.222000,-0.003968,0.7025155618,11,4,0.363636,-0.003264,0,0.000000,0
120,0.60-0.70,0.60,0.70,21,560,0.037500,12,9,0.571429,0.671048,-0.099619,-2.092000,-0.003736,0.8846662903,15,8,0.533333,0.000319,0,0.000000,0
120,0.60-0.80,0.60,0.80,55,560,0.098214,39,16,0.709091,0.734655,-0.025564,-1.406000,-0.002511,0.726462379,22,9,0.409091,-0.000776,0,0.000000,0
