scope,horizon_seconds,price_range,band_low,band_high,band_width,n,total_available_contracts,coverage,wins,losses,p_success,avg_cost,ev_p_minus_c,gross_pnl,profit_per_available_contract,p_value_break_even,minus_log10_p_value,neighbor_count,neighbor_positive_count,neighbor_positive_share,neighbor_profit_per_available_mean,positive_component_size,positive_component_profit_per_available_mean,stable
0.50-1.00,60,0.50-0.55,0.50,0.55,0.05,3,150,0.020000,1,2,0.333333,0.526667,-0.193333,-0.580000,-0.003867,0.894062,0.048632,0,0,0.000000,0.000000,0,0.000000,0
0.50-1.00,60,0.50-0.60,0.50,0.60,0.10,5,150,0.033333,3,2,0.600000,0.548000,0.052000,0.260000,0.001733,0.5895904536,0.229450,0,0,0.000000,0.000000,0,0.000000,0
0.50-1.00,60,0.50-0.65,0.50,0.65,0.15,7,150,0.046667,3,4,0.428571,0.570000,-0.141429,-0.990000,-0.006600,0.872807125174,0.059082,0,0,0.000000,0.000000,0,0.000000,0
0.50-1.00,60,0.50-0.70,0.50,0.70,0.20,7,150,0.046667,3,4,0.428571,0.570000,-0.141429,-0.990000,-0.006600,0.872807125174,0.059082,0,0,0.000000,0.000000,0,0.000000,0
0.50-1.00,60,0.50-0.75,0.50,0.75,0.25,9,150,0.060000,5,4,0.555556,0.603333,-0.047778,-0.430000,-0.002867,0.742715690988,0.129177,0,0,0.000000,0.000000,0,0.000000,0
0.50-1.00,60,0.50-0.80,0.50,0.80,0.30,9,150,0.060000,5,4,0.555556,0.603333,-0.047778,-0.430000,-0.002867,0.742715690988,0.129177,0,0,0.000000,0.000000,0,0.000000,0
0.50-1.00,60,0.50-0.85,0.50,0.85,0.35,11,150,0.073333,7,4,0.636364,0.641818,-0.005455,-0.060000,-0.000400,0.6492076907,0.187616,0,0,0.000000,0.000000,0,0.000000,0
0.50-1.00,60,0.50-0.90,0.50,0.90,0.40,16,150,0.106667,11,5,0.687500,0.716875,-0.029375,-0.470000,-0.003133,0.72234399646,0.141256,3,0,0.000000,-0.010817,0,0.000000,0
0.50-1.00,60,0.50-0.95,0.50,0.95,0.45,21,150,0.140000,15,6,0.714286,0.769143,-0.054857,-1.152000,-0.007680,0.823752125703,0.084203,6,0,0.000000,-0.011210,0,0.000000,0
0.50-1.00,60,0.50-1.00,0.50,1.00,0.50,150,150,1.000000,143,7,0.953333,0.963213,-0.009880,-1.482000,-0.009880,0.844309175632,0.073498,6,0,0.000000,-0.010843,0,0.000000,0
