scope,horizon_seconds,price_range,band_low,band_high,band_width,n,total_available_contracts,coverage,wins,losses,p_success,avg_cost,ev_p_minus_c,gross_pnl,profit_per_available_contract,p_value_break_even,minus_log10_p_value,neighbor_count,neighbor_positive_count,neighbor_positive_share,neighbor_profit_per_available_mean,positive_component_size,positive_component_profit_per_available_mean,stable
0.50-0.80,60,0.50-0.55,0.50,0.55,0.05,3,150,0.020000,1,2,0.333333,0.526667,-0.193333,-0.580000,-0.003867,0.894062,0.048632,0,0,0.000000,0.000000,0,0.000000,0
0.50-0.80,60,0.50-0.60,0.50,0.60,0.10,5,150,0.033333,3,2,0.600000,0.548000,0.052000,0.260000,0.001733,0.5895904536,0.229450,0,0,0.000000,0.000000,0,0.000000,0
0.50-0.80,60,0.50-0.65,0.50,0.65,0.15,7,150,0.046667,3,4,0.428571,0.570000,-0.141429,-0.990000,-0.006600,0.872807125174,0.059082,0,0,0.000000,0.000000,0,0.000000,0
0.50-0.80,60,0.50-0.70,0.50,0.70,0.20,7,150,0.046667,3,4,0.428571,0.570000,-0.141429,-0.990000,-0.006600,0.872807125174,0.059082,0,0,0.000000,0.000000,0,0.000000,0
0.50-0.80,60,0.50-0.75,0.50,0.75,0.25,9,150,0.060000,5,4,0.555556,0.603333,-0.047778,-0.430000,-0.002867,0.742715690988,0.129177,0,0,0.000000,0.000000,0,0.000000,0
0.50-0.80,60,0.50-0.80,0.50,0.80,0.30,9,150,0.060000,5,4,0.555556,0.603333,-0.047778,-0.430000,-0.002867,0.742715690988,0.129177,0,0,0.000000,0.000000,0,0.000000,0
0.50-0.80,60,0.55-0.60,0.55,0.60,0.05,2,150,0.013333,2,0,1.000000,0.580000,0.420000,0.840000,0.005600,0.3363,0.473273,0,0,0.000000,0.000000,0,0.000000,0
0.50-0.80,60,0.55-0.65,0.55,0.65,0.10,4,150,0.026667,2,2,0.500000,0.602500,-0.102500,-0.410000,-0.002733,0.82409656,0.084022,0,0,0.000000,0.000000,0,0.000000,0
0.50-0.80,60,0.55-0.70,0.55,0.70,0.15,4,150,0.026667,2,2,0.500000,0.602500,-0.102500,-0.410000,-0.002733,0.82409656,0.084022,0,0,0.000000,0.000000,0,0.000000,0
0.50-0.80,60,0.55-0.75,0.55,0.75,0.20,6,150,0.040000,4,2,0.666667,0.641667,0.025000,0.150000,0.001000,0.63078498816,0.200119,0,0,0.000000,0.000000,0,0.000000,0
0.50-0.80,60,0.55-0.80,0.55,0.80,0.25,6,150,0.040000,4,2,0.666667,0.641667,0.025000,0.150000,0.001000,0.63078498816,0.200119,0,0,0.000000,0.000000,0,0.000000,0
0.50-0.80,60,0.60-0.65,0.60,0.65,0.05,2,150,0.013333,0,2,0.000000,0.625000,-0.625000,-1.250000,-0.008333,1,-0.000000,0,0,0.000000,0.000000,0,0.000000,0
0.50-0.80,60,0.60-0.70,0.60,0.70,0.10,2,150,0.013333,0,2,0.000000,0.625000,-0.625000,-1.250000,-0.008333,1,-0.000000,0,0,0.000000,0.000000,0,0.000000,0
0.50-0.80,60,0.60-0.75,0.60,0.75,0.15,4,150,0.026667,2,2,0.500000,0.672500,-0.172500,-0.690000,-0.004600,0.89563096,0.047871,0,0,0.000000,0.000000,0,0.000000,0
0.50-0.80,60,0.60-0.80,0.60,0.80,0.20,4,150,0.026667,2,2,0.500000,0.672500,-0.172500,-0.690000,-0.004600,0.89563096,0.047871,0,0,0.000000,0.000000,0,0.000000,0
0.50-0.80,60,0.65-0.70,0.65,0.70,0.05,0,150,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,-0.000000,0,0,0.000000,0.000000,0,0.000000,0
0.50-0.80,60,0.65-0.75,0.65,0.75,0.10,2,150,0.013333,2,0,1.000000,0.720000,0.280000,0.560000,0.003733,0.5183,0.285419,0,0,0.000000,0.000000,0,0.000000,0
0.50-0.80,60,0.65-0.80,0.65,0.80,0.15,2,150,0.013333,2,0,1.000000,0.720000,0.280000,0.560000,0.003733,0.5183,0.285419,0,0,0.000000,0.000000,0,0.000000,0
