ticker,close_time_utc,close_date_utc,close_time_et,close_date_et,close_hour_et,close_hour_bucket_et,horizon_seconds,selected_timestamp_utc,selected_remaining_seconds,horizon_abs_error_seconds,yes_mid,more_likely_side,more_likely_mid,cost,price_bin,official_outcome,official_raw_result,official_status,official_settlement_ts,official_settlement_value_dollars,official_expiration_value,official_floor_strike,resolved,success,gross_pnl
KXBTC15M-26JUN011930-30,2026-06-01T23:30:00Z,2026-06-01,2026-06-01T19:30:00-04:00,2026-06-01,19,16-19,60,2026-06-01T23:28:47.771000Z,72.229,12.229,0.001500,NO,0.998500,0.999000,0.90-1.00,NO,no,finalized,2026-06-01T23:30:01.818842Z,0.0000,71167.90,71266.4,1,1,0.001000
KXBTC15M-26JUN011930-30,2026-06-01T23:30:00Z,2026-06-01,2026-06-01T19:30:00-04:00,2026-06-01,19,16-19,120,2026-06-01T23:27:57.207000Z,122.793,2.793,0.026000,NO,0.974000,0.975000,0.90-1.00,NO,no,finalized,2026-06-01T23:30:01.818842Z,0.0000,71167.90,71266.4,1,1,0.025000
KXBTC15M-26JUN011930-30,2026-06-01T23:30:00Z,2026-06-01,2026-06-01T19:30:00-04:00,2026-06-01,19,16-19,180,2026-06-01T23:26:57.850000Z,182.150,2.150,0.099500,NO,0.900500,0.901000,0.90-1.00,NO,no,finalized,2026-06-01T23:30:01.818842Z,0.0000,71167.90,71266.4,1,1,0.099000
KXBTC15M-26JUN011930-30,2026-06-01T23:30:00Z,2026-06-01,2026-06-01T19:30:00-04:00,2026-06-01,19,16-19,240,2026-06-01T23:25:57.456000Z,242.544,2.544,0.295000,NO,0.705000,0.710000,0.70-0.80,NO,no,finalized,2026-06-01T23:30:01.818842Z,0.0000,71167.90,71266.4,1,1,0.290000
KXBTC15M-26JUN011930-30,2026-06-01T23:30:00Z,2026-06-01,2026-06-01T19:30:00-04:00,2026-06-01,19,16-19,300,2026-06-01T23:25:16.180000Z,283.820,16.180,0.555000,YES,0.555000,0.560000,0.50-0.60,NO,no,finalized,2026-06-01T23:30:01.818842Z,0.0000,71167.90,71266.4,1,0,-0.560000
KXBTC15M-26JUN011945-45,2026-06-01T23:45:00Z,2026-06-01,2026-06-01T19:45:00-04:00,2026-06-01,19,16-19,180,2026-06-01T23:41:54.092000Z,185.908,5.908,0.998500,YES,0.998500,0.999000,0.90-1.00,YES,yes,finalized,2026-06-01T23:45:11.820132Z,1.0000,71426.05,71167.9,1,1,0.001000
KXBTC15M-26JUN011945-45,2026-06-01T23:45:00Z,2026-06-01,2026-06-01T19:45:00-04:00,2026-06-01,19,16-19,240,2026-06-01T23:41:01.215000Z,238.785,1.215,0.997000,YES,0.997000,0.998000,0.90-1.00,YES,yes,finalized,2026-06-01T23:45:11.820132Z,1.0000,71426.05,71167.9,1,1,0.002000
KXBTC15M-26JUN011945-45,2026-06-01T23:45:00Z,2026-06-01,2026-06-01T19:45:00-04:00,2026-06-01,19,16-19,300,2026-06-01T23:39:58.101000Z,301.899,1.899,0.989500,YES,0.989500,0.990000,0.90-1.00,YES,yes,finalized,2026-06-01T23:45:11.820132Z,1.0000,71426.05,71167.9,1,1,0.010000
KXBTC15M-26JUN011945-45,2026-06-01T23:45:00Z,2026-06-01,2026-06-01T19:45:00-04:00,2026-06-01,19,16-19,360,2026-06-01T23:39:01.618000Z,358.382,1.618,0.992000,YES,0.992000,0.993000,0.90-1.00,YES,yes,finalized,2026-06-01T23:45:11.820132Z,1.0000,71426.05,71167.9,1,1,0.007000
KXBTC15M-26JUN011945-45,2026-06-01T23:45:00Z,2026-06-01,2026-06-01T19:45:00-04:00,2026-06-01,19,16-19,420,2026-06-01T23:37:58.575000Z,421.425,1.425,0.986500,YES,0.986500,0.988000,0.90-1.00,YES,yes,finalized,2026-06-01T23:45:11.820132Z,1.0000,71426.05,71167.9,1,1,0.012000
KXBTC15M-26JUN011945-45,2026-06-01T23:45:00Z,2026-06-01,2026-06-01T19:45:00-04:00,2026-06-01,19,16-19,480,2026-06-01T23:36:59.937000Z,480.063,0.063,0.895000,YES,0.895000,0.900000,0.80-0.90,YES,yes,finalized,2026-06-01T23:45:11.820132Z,1.0000,71426.05,71167.9,1,1,0.100000
