horizon_seconds,price_bin,band_low,band_high,band_type,n,wins,losses,p_success,p_wrong,avg_more_likely_mid,avg_cost,ev_p_minus_c,gross_pnl,wilson_p_success_low,wilson_p_success_high,wilson_ev_low,wilson_ev_high
60,0.50-0.60,0.50,0.60,single_decile,5,3,2,0.600000,0.400000,0.541000,0.548000,0.052000,0.260000,0.230720,0.882382,-0.317280,0.334382
60,0.60-0.70,0.60,0.70,single_decile,2,0,2,0.000000,1.000000,0.620000,0.625000,-0.625000,-1.250000,0.000000,0.657628,-0.625000,0.032628
60,0.70-0.80,0.70,0.80,single_decile,2,2,0,1.000000,0.000000,0.715000,0.720000,0.280000,0.560000,0.342372,1.000000,-0.377628,0.280000
60,0.80-0.90,0.80,0.90,single_decile,7,6,1,0.857143,0.142857,0.857857,0.862857,-0.005714,-0.040000,0.486865,0.974321,-0.375992,0.111464
60,0.90-1.00,0.90,1.00,single_decile,134,132,2,0.985075,0.014925,0.991485,0.992627,-0.007552,-1.012000,0.947214,0.995897,-0.045413,0.003271
60,0.50-1.00,0.50,1.00,aggregate,150,143,7,0.953333,0.046667,0.961593,0.963213,-0.009880,-1.482000,0.906812,0.977214,-0.056401,0.014000
60,0.50-0.80,0.50,0.80,aggregate,9,5,4,0.555556,0.444444,0.597222,0.603333,-0.047778,-0.430000,0.266647,0.811225,-0.336686,0.207891
60,0.60-0.80,0.60,0.80,aggregate,4,2,2,0.500000,0.500000,0.667500,0.672500,-0.172500,-0.690000,0.150036,0.849964,-0.522464,0.177464
60,0.70-0.90,0.70,0.90,aggregate,9,8,1,0.888889,0.111111,0.826111,0.831111,0.057778,0.520000,0.564994,0.980110,-0.266117,0.148999
120,0.50-0.60,0.50,0.60,single_decile,8,3,5,0.375000,0.625000,0.530000,0.536250,-0.161250,-1.290000,0.136842,0.694262,-0.399408,0.158012
120,0.60-0.70,0.60,0.70,single_decile,3,2,1,0.666667,0.333333,0.653333,0.660000,0.006667,0.020000,0.207655,0.938510,-0.452345,0.278510
120,0.70-0.80,0.70,0.80,single_decile,10,5,5,0.500000,0.500000,0.758500,0.764000,-0.264000,-2.640000,0.236590,0.763410,-0.527410,-0.000590
120,0.80-0.90,0.80,0.90,single_decile,11,10,1,0.909091,0.090909,0.833182,0.839091,0.070000,0.770000,0.622635,0.983768,-0.216456,0.144677
120,0.90-1.00,0.90,1.00,single_decile,146,145,1,0.993151,0.006849,0.983158,0.984322,0.008829,1.289000,0.962225,0.998790,-0.022097,0.014468
120,0.50-1.00,0.50,1.00,aggregate,178,165,13,0.926966,0.073034,0.935343,0.937365,-0.010399,-1.851000,0.879067,0.956825,-0.058298,0.019460
120,0.50-0.80,0.50,0.80,aggregate,21,10,11,0.476190,0.523810,0.656429,0.662381,-0.186190,-3.910000,0.283437,0.676308,-0.378944,0.013927
120,0.60-0.80,0.60,0.80,aggregate,13,7,6,0.538462,0.461538,0.734231,0.740000,-0.201538,-2.620000,0.291434,0.767942,-0.448566,0.027942
120,0.70-0.90,0.70,0.90,aggregate,21,15,6,0.714286,0.285714,0.797619,0.803333,-0.089048,-1.870000,0.500432,0.861863,-0.302901,0.058530
180,0.50-0.60,0.50,0.60,single_decile,7,3,4,0.428571,0.571429,0.553571,0.558571,-0.130000,-0.910000,0.158217,0.749546,-0.400355,0.190974
180,0.60-0.70,0.60,0.70,single_decile,10,8,2,0.800000,0.200000,0.650000,0.655000,0.145000,1.450000,0.490157,0.943319,-0.164843,0.288319
180,0.70-0.80,0.70,0.80,single_decile,9,7,2,0.777778,0.222222,0.733889,0.738889,0.038889,0.350000,0.452583,0.936776,-0.286306,0.197887
180,0.80-0.90,0.80,0.90,single_decile,16,12,4,0.750000,0.250000,0.847969,0.853437,-0.103437,-1.655000,0.505012,0.898181,-0.348425,0.044743
180,0.90-1.00,0.90,1.00,single_decile,141,139,2,0.985816,0.014184,0.974411,0.975816,0.010000,1.410000,0.949759,0.996102,-0.026056,0.020286
180,0.50-1.00,0.50,1.00,aggregate,183,169,14,0.923497,0.076503,0.917702,0.919973,0.003525,0.645000,0.875695,0.953885,-0.044278,0.033912
180,0.50-0.80,0.50,0.80,aggregate,26,18,8,0.692308,0.307692,0.653077,0.658077,0.034231,0.890000,0.500114,0.834989,-0.157963,0.176912
180,0.60-0.80,0.60,0.80,aggregate,19,15,4,0.789474,0.210526,0.689737,0.694737,0.094737,1.800000,0.566653,0.914925,-0.128084,0.220188
180,0.70-0.90,0.70,0.90,aggregate,25,19,6,0.760000,0.240000,0.806900,0.812200,-0.052200,-1.305000,0.565699,0.885038,-0.246501,0.072838
240,0.50-0.60,0.50,0.60,single_decile,7,2,5,0.285714,0.714286,0.527857,0.532857,-0.247143,-1.730000,0.082217,0.641071,-0.450640,0.108214
240,0.60-0.70,0.60,0.70,single_decile,7,5,2,0.714286,0.285714,0.636429,0.641429,0.072857,0.510000,0.358929,0.917783,-0.282499,0.276354
240,0.70-0.80,0.70,0.80,single_decile,13,7,6,0.538462,0.461538,0.750000,0.755385,-0.216923,-2.820000,0.291434,0.767942,-0.463950,0.012558
240,0.80-0.90,0.80,0.90,single_decile,39,33,6,0.846154,0.153846,0.854949,0.860410,-0.014256,-0.556000,0.702702,0.927526,-0.157708,0.067116
240,0.90-1.00,0.90,1.00,single_decile,119,116,3,0.974790,0.025210,0.968513,0.969840,0.004950,0.589000,0.928494,0.991390,-0.041346,0.021550
