horizon_seconds,price_range,band_low,band_high,n,total_available_contracts,coverage,wins,losses,p_success,avg_cost,ev_p_minus_c,gross_pnl,profit_per_available_contract,p_value_break_even,neighbor_count,neighbor_positive_count,neighbor_positive_share,neighbor_profit_per_available_mean,positive_component_size,positive_component_profit_per_available_mean,stable
60,0.50-0.60,0.50,0.60,5,150,0.033333,3,2,0.600000,0.548000,0.052000,0.260000,0.001733,0.5895904536,0,0,0.000000,0.000000,0,0.000000,0
60,0.50-0.70,0.50,0.70,7,150,0.046667,3,4,0.428571,0.570000,-0.141429,-0.990000,-0.006600,0.8728071252,1,0,0.000000,-0.021966,0,0.000000,0
60,0.50-0.80,0.50,0.80,9,150,0.060000,5,4,0.555556,0.603333,-0.047778,-0.430000,-0.002867,0.742715691,3,0,0.000000,-0.016666,0,0.000000,0
60,0.50-0.90,0.50,0.90,16,150,0.106667,11,5,0.687500,0.716875,-0.029375,-0.470000,-0.003133,0.7223439965,7,0,0.000000,-0.012149,0,0.000000,0
60,0.50-1.00,0.50,1.00,150,150,1.000000,143,7,0.953333,0.963213,-0.009880,-1.482000,-0.009880,0.8443091756,5,0,0.000000,-0.010639,0,0.000000,0
60,0.60-0.70,0.60,0.70,2,150,0.013333,0,2,0.000000,0.625000,-0.625000,-1.250000,-0.008333,1,1,0,0.000000,-0.021966,0,0.000000,0
60,0.60-0.80,0.60,0.80,4,150,0.026667,2,2,0.500000,0.672500,-0.172500,-0.690000,-0.004600,0.89563096,4,0,0.000000,-0.015126,0,0.000000,0
60,0.60-0.90,0.60,0.90,11,150,0.073333,8,3,0.727273,0.793636,-0.066364,-0.730000,-0.004867,0.8314654225,10,0,0.000000,-0.010209,0,0.000000,0
60,0.60-1.00,0.60,1.00,145,150,0.966667,140,5,0.965517,0.977531,-0.012014,-1.742000,-0.011613,0.9102567151,8,0,0.000000,-0.008564,0,0.000000,0
60,0.70-0.80,0.70,0.80,2,150,0.013333,2,0,1.000000,0.720000,0.280000,0.560000,0.003733,0.5183,2,0,0.000000,-0.010450,0,0.000000,0
60,0.70-0.90,0.70,0.90,9,150,0.060000,8,1,0.888889,0.831111,0.057778,0.520000,0.003467,0.5330626653,8,1,0.125000,-0.004707,0,0.000000,0
60,0.70-1.00,0.70,1.00,143,150,0.953333,140,3,0.979021,0.982462,-0.003441,-0.492000,-0.003280,0.7649653738,7,1,0.142857,-0.004911,0,0.000000,0
60,0.80-0.90,0.80,0.90,7,150,0.046667,6,1,0.857143,0.862857,-0.005714,-0.040000,-0.000267,0.7526746098,7,2,0.285714,-0.001714,0,0.000000,0
60,0.80-1.00,0.80,1.00,141,150,0.940000,138,3,0.978723,0.986184,-0.007461,-1.052000,-0.007013,0.875651477,6,2,0.333333,-0.000831,0,0.000000,0
60,0.90-1.00,0.90,1.00,134,150,0.893333,132,2,0.985075,0.992627,-0.007552,-1.012000,-0.006747,0.9254678434,3,2,0.666667,0.003932,0,0.000000,0
120,0.50-0.60,0.50,0.60,8,178,0.044944,3,5,0.375000,0.536250,-0.161250,-1.290000,-0.007247,0.8984388534,0,0,0.000000,0.000000,0,0.000000,0
120,0.50-0.70,0.50,0.70,11,178,0.061798,5,6,0.454545,0.570000,-0.115455,-1.270000,-0.007135,0.8612756211,2,1,0.500000,-0.008552,0,0.000000,0
120,0.50-0.80,0.50,0.80,21,178,0.117978,10,11,0.476190,0.662381,-0.186190,-3.910000,-0.021966,0.9795636541,5,2,0.400000,-0.005312,0,0.000000,0
120,0.50-0.90,0.50,0.90,32,178,0.179775,20,12,0.625000,0.723125,-0.098125,-3.140000,-0.017640,0.9294375077,11,4,0.363636,-0.004901,0,0.000000,0
120,0.50-1.00,0.50,1.00,178,178,1.000000,165,13,0.926966,0.937365,-0.010399,-1.851000,-0.010399,0.7987555998,9,3,0.333333,-0.004894,0,0.000000,0
120,0.60-0.70,0.60,0.70,3,178,0.016854,2,1,0.666667,0.660000,0.006667,0.020000,0.000112,0.732248,2,1,0.500000,-0.008552,0,0.000000,0
120,0.60-0.80,0.60,0.80,13,178,0.073034,7,6,0.538462,0.740000,-0.201538,-2.620000,-0.014719,0.971017786,8,2,0.250000,-0.008270,0,0.000000,0
120,0.60-0.90,0.60,0.90,24,178,0.134831,17,7,0.708333,0.785417,-0.077083,-1.850000,-0.010393,0.8793547325,16,5,0.312500,-0.005298,0,0.000000,0
120,0.60-1.00,0.60,1.00,170,178,0.955056,162,8,0.952941,0.956241,-0.003300,-0.561000,-0.003152,0.6792938161,14,4,0.285714,-0.005350,0,0.000000,0
120,0.70-0.80,0.70,0.80,10,178,0.056180,5,5,0.500000,0.764000,-0.264000,-2.640000,-0.014831,0.9853521404,4,1,0.250000,-0.006809,0,0.000000,0
120,0.70-0.90,0.70,0.90,21,178,0.117978,15,6,0.714286,0.803333,-0.089048,-1.870000,-0.010506,0.9003706245,12,4,0.333333,-0.002146,0,0.000000,0
120,0.70-1.00,0.70,1.00,167,178,0.938202,160,7,0.958084,0.961563,-0.003479,-0.581000,-0.003264,0.6925382066,12,4,0.333333,-0.002750,0,0.000000,0
120,0.80-0.90,0.80,0.90,11,178,0.061798,10,1,0.909091,0.839091,0.070000,0.770000,0.004326,0.4510191553,11,4,0.363636,-0.001108,0,0.000000,0
120,0.80-1.00,0.80,1.00,157,178,0.882022,155,2,0.987261,0.974146,0.013115,2.059000,0.011567,0.2143417893,10,3,0.300000,-0.002376,5,0.005975,0
120,0.90-1.00,0.90,1.00,146,178,0.820225,145,1,0.993151,0.984322,0.008829,1.289000,0.007242,0.3258890612,5,2,0.400000,0.000835,5,0.005975,0
180,0.50-0.60,0.50,0.60,7,183,0.038251,3,4,0.428571,0.558571,-0.130000,-0.910000,-0.004973,0.8585608152,0,0,0.000000,0.000000,0,0.000000,0
180,0.50-0.70,0.50,0.70,17,183,0.092896,11,6,0.647059,0.615294,0.031765,0.540000,0.002951,0.4996963788,4,1,0.250000,-0.012857,0,0.000000,0
180,0.50-0.80,0.50,0.80,26,183,0.142077,18,8,0.692308,0.658077,0.034231,0.890000,0.004863,0.4434733175,9,1,0.111111,-0.014227,1,0.004863,0
180,0.50-0.90,0.50,0.90,42,183,0.229508,30,12,0.714286,0.732500,-0.018214,-0.765000,-0.004180,0.6827464308,15,4,0.266667,-0.010300,0,0.000000,0
180,0.50-1.00,0.50,1.00,183,183,1.000000,169,14,0.923497,0.919973,0.003525,0.645000,0.003525,0.4935702786,11,2,0.181818,-0.010071,4,0.003347,0
180,0.60-0.70,0.60,0.70,10,183,0.054645,8,2,0.800000,0.655000,0.145000,1.450000,0.007923,0.2717527797,4,1,0.250000,-0.012857,0,0.000000,0
180,0.60-0.80,0.60,0.80,19,183,0.103825,15,4,0.789474,0.694737,0.094737,1.800000,0.009836,0.2639886321,13,2,0.153846,-0.012236,0,0.000000,0
180,0.60-0.90,0.60,0.90,35,183,0.191257,27,8,0.771429,0.767286,0.004143,0.145000,0.000792,0.5705991464,21,4,0.190476,-0.010148,4,0.003347,0
180,0.60-1.00,0.60,1.00,176,183,0.961749,166,10,0.943182,0.934347,0.008835,1.555000,0.008497,0.3756060718,17,3,0.176471,-0.009964,4,0.003347,0
180,0.70-0.80,0.70,0.80,9,183,0.049180,7,2,0.777778,0.738889,0.038889,0.350000,0.001913,0.569481,8,1,0.125000,-0.009559,0,0.000000,0
180,0.70-0.90,0.70,0.90,25,183,0.136612,19,6,0.760000,0.812200,-0.052200,-1.305000,-0.007131,0.8278860914,16,5,0.312500,-0.005228,0,0.000000,0
180,0.70-1.00,0.70,1.00,166,183,0.907104,158,8,0.951807,0.951175,0.000633,0.105000,0.000574,0.5774875271,15,4,0.266667,-0.005258,4,0.003347,0
180,0.80-0.90,0.80,0.90,16,183,0.087432,12,4,0.750000,0.853437,-0.103437,-1.655000,-0.009044,0.9279143572,13,6,0.461538,-0.002162,0,0.000000,0
180,0.80-1.00,0.80,1.00,157,183,0.857923,151,6,0.961783,0.963344,-0.001561,-0.245000,-0.001339,0.6479282027,12,6,0.500000,-0.002231,0,0.000000,0
180,0.90-1.00,0.90,1.00,141,183,0.770492,139,2,0.985816,0.975816,0.010000,1.410000,0.007705,0.3301612313,6,4,0.666667,0.002971,5,0.005975,0
240,0.50-0.60,0.50,0.60,7,185,0.037838,2,5,0.285714,0.532857,-0.247143,-1.730000,-0.009351,0.9565929669,1,0,0.000000,-0.011676,0,0.000000,0
240,0.50-0.70,0.50,0.70,14,185,0.075676,7,7,0.500000,0.587143,-0.087143,-1.220000,-0.006595,0.8270375852,6,1,0.166667,-0.012928,0,0.000000,0
240,0.50-0.80,0.50,0.80,27,185,0.145946,14,13,0.518519,0.668148,-0.149630,-4.040000,-0.021838,0.9684914175,11,2,0.181818,-0.012684,0,0.000000,0
240,0.50-0.90,0.50,0.90,66,185,0.356757,47,19,0.712121,0.781758,-0.069636,-4.596000,-0.024843,0.9395992735,16,4,0.250000,-0.012420,0,0.000000,0
240,0.50-1.00,0.50,1.00,185,185,1.000000,163,22,0.881081,0.902741,-0.021659,-4.007000,-0.021659,0.8859077119,11,3,0.272727,-0.012364,0,0.000000,0
240,0.60-0.70,0.60,0.70,7,185,0.037838,5,2,0.714286,0.641429,0.072857,0.510000,0.002757,0.5125239694,7,1,0.142857,-0.012780,0,0.000000,0
240,0.60-0.80,0.60,0.80,20,185,0.108108,12,8,0.600000,0.715500,-0.115500,-2.310000,-0.012486,0.9166015655,15,2,0.133333,-0.013323,0,0.000000,0
240,0.60-0.90,0.60,0.90,59,185,0.318919,45,14,0.762712,0.811288,-0.048576,-2.866000,-0.015492,0.8724645044,23,5,0.217391,-0.012747,0,0.000000,0
240,0.60-1.00,0.60,1.00,178,185,0.962162,161,17,0.904494,0.917287,-0.012792,-2.277000,-0.012308,0.7917950835,17,4,0.235294,-0.012858,0,0.000000,0
240,0.70-0.80,0.70,0.80,13,185,0.070270,7,6,0.538462,0.755385,-0.216923,-2.820000,-0.015243,0.9786818978,11,1,0.090909,-0.010048,0,0.000000,0
