horizon_seconds,price_range,band_low,band_high,n,total_available_contracts,coverage,wins,losses,p_success,avg_cost,ev_p_minus_c,gross_pnl,profit_per_available_contract,p_value_break_even,neighbor_count,neighbor_positive_count,neighbor_positive_share,neighbor_profit_per_available_mean,positive_component_size,positive_component_profit_per_available_mean,stable
60,0.50-0.60,0.50,0.60,10,490,0.020408,5,5,0.500000,0.556100,-0.056100,-0.561000,-0.001145,0.7516783401,4,2,0.500000,0.000262,0,0.000000,0
60,0.50-0.70,0.50,0.70,28,490,0.057143,17,11,0.607143,0.628286,-0.021143,-0.592000,-0.001208,0.671200198,7,4,0.571429,0.000656,0,0.000000,0
60,0.50-0.80,0.50,0.80,44,490,0.089796,29,15,0.659091,0.684159,-0.025068,-1.103000,-0.002251,0.7066195202,10,4,0.400000,0.000191,0,0.000000,0
60,0.50-0.90,0.50,0.90,67,490,0.136735,50,17,0.746269,0.754985,-0.008716,-0.584000,-0.001192,0.6332077342,11,7,0.636364,0.001198,0,0.000000,0
60,0.50-1.00,0.50,1.00,490,490,1.000000,470,20,0.959184,0.959167,0.000016,0.008000,0.000016,0.5599744874,7,4,0.571429,0.001376,82,0.003325,0
60,0.60-0.70,0.60,0.70,18,490,0.036735,12,6,0.666667,0.668389,-0.001722,-0.031000,-0.000063,0.6147680141,9,5,0.555556,0.000695,0,0.000000,0
60,0.60-0.80,0.60,0.80,34,490,0.069388,24,10,0.705882,0.721824,-0.015941,-0.542000,-0.001106,0.664837905,13,6,0.461538,0.000277,0,0.000000,0
60,0.60-0.90,0.60,0.90,57,490,0.116327,45,12,0.789474,0.789877,-0.000404,-0.023000,-0.000047,0.5803876056,16,11,0.687500,0.001316,0,0.000000,0
60,0.60-1.00,0.60,1.00,480,490,0.979592,465,15,0.968750,0.967565,0.001185,0.569000,0.001161,0.5040621071,11,7,0.636364,0.001331,82,0.003325,0
60,0.70-0.80,0.70,0.80,16,490,0.032653,12,4,0.750000,0.781938,-0.031938,-0.511000,-0.001043,0.7419426527,10,4,0.400000,-0.000093,0,0.000000,0
60,0.70-0.90,0.70,0.90,39,490,0.079592,33,6,0.846154,0.845949,0.000205,0.008000,0.000016,0.6057200855,14,9,0.642857,0.001124,82,0.003325,0
60,0.70-1.00,0.70,1.00,462,490,0.942857,453,9,0.980519,0.979221,0.001299,0.600000,0.001224,0.5039479749,11,7,0.636364,0.001007,82,0.003325,0
60,0.80-0.90,0.80,0.90,23,490,0.046939,21,2,0.913043,0.890478,0.022565,0.519000,0.001059,0.5306144866,10,8,0.800000,0.001669,82,0.003325,1
60,0.80-1.00,0.80,1.00,446,490,0.910204,441,5,0.988789,0.986298,0.002491,1.111000,0.002267,0.4215433732,9,7,0.777778,0.001401,82,0.003325,1
60,0.90-1.00,0.90,1.00,423,490,0.863265,420,3,0.992908,0.991508,0.001400,0.592000,0.001208,0.5145013304,5,4,0.800000,0.001503,82,0.003325,1
120,0.50-0.60,0.50,0.60,33,530,0.062264,20,13,0.606061,0.568848,0.037212,1.228000,0.002317,0.4020336111,6,3,0.500000,0.000429,82,0.003325,0
120,0.50-0.70,0.50,0.70,58,530,0.109434,36,22,0.620690,0.610379,0.010310,0.598000,0.001128,0.4933171763,12,7,0.583333,0.001114,82,0.003325,0
120,0.50-0.80,0.50,0.80,95,530,0.179245,66,29,0.694737,0.672400,0.022337,2.122000,0.004004,0.3628587208,16,6,0.375000,-0.000190,82,0.003325,0
120,0.50-0.90,0.50,0.90,145,530,0.273585,108,37,0.744828,0.740903,0.003924,0.569000,0.001074,0.4999396645,17,10,0.588235,0.001136,82,0.003325,0
120,0.50-1.00,0.50,1.00,530,530,1.000000,490,40,0.924528,0.918430,0.006098,3.232000,0.006098,0.3162636262,11,6,0.545455,0.000425,82,0.003325,0
120,0.60-0.70,0.60,0.70,25,530,0.047170,16,9,0.640000,0.665200,-0.025200,-0.630000,-0.001189,0.6902750337,14,10,0.714286,0.001537,0,0.000000,0
120,0.60-0.80,0.60,0.80,62,530,0.116981,46,16,0.741935,0.727516,0.014419,0.894000,0.001687,0.4632716639,21,9,0.428571,0.000034,82,0.003325,0
120,0.60-0.90,0.60,0.90,112,530,0.211321,88,24,0.785714,0.791598,-0.005884,-0.659000,-0.001243,0.6160861478,25,17,0.680000,0.001313,0,0.000000,0
120,0.60-1.00,0.60,1.00,497,530,0.937736,470,27,0.945674,0.941642,0.004032,2.004000,0.003781,0.3846415549,17,10,0.588235,0.000727,82,0.003325,0
120,0.70-0.80,0.70,0.80,37,530,0.069811,30,7,0.810811,0.769622,0.041189,1.524000,0.002875,0.3557800369,15,5,0.333333,-0.001038,82,0.003325,0
120,0.70-0.90,0.70,0.90,87,530,0.164151,72,15,0.827586,0.827920,-0.000333,-0.029000,-0.000055,0.571935084,22,15,0.681818,0.000533,0,0.000000,0
120,0.70-1.00,0.70,1.00,472,530,0.890566,454,18,0.961864,0.956284,0.005581,2.634000,0.004970,0.3127362039,17,10,0.588235,-0.000123,82,0.003325,0
120,0.80-0.90,0.80,0.90,50,530,0.094340,42,8,0.840000,0.871060,-0.031060,-1.553000,-0.002930,0.8116718247,16,13,0.812500,0.001502,0,0.000000,0
120,0.80-1.00,0.80,1.00,435,530,0.820755,424,11,0.974713,0.972161,0.002552,1.110000,0.002094,0.443118062,14,10,0.714286,0.000941,82,0.003325,1
120,0.90-1.00,0.90,1.00,385,530,0.726415,382,3,0.992208,0.985291,0.006917,2.663000,0.005025,0.1780083826,8,6,0.750000,0.000610,82,0.003325,1
180,0.50-0.60,0.50,0.60,41,574,0.071429,25,16,0.609756,0.574951,0.034805,1.427000,0.002486,0.3876343143,8,6,0.750000,0.001430,82,0.003325,1
180,0.50-0.70,0.50,0.70,85,574,0.148084,54,31,0.635294,0.622318,0.012976,1.103000,0.001922,0.4495544634,14,10,0.714286,0.000690,82,0.003325,1
180,0.50-0.80,0.50,0.80,126,574,0.219512,87,39,0.690476,0.668254,0.022222,2.800000,0.004878,0.3323211861,17,8,0.470588,-0.001284,82,0.003325,0
180,0.50-0.90,0.50,0.90,194,574,0.337979,142,52,0.731959,0.739119,-0.007160,-1.389000,-0.002420,0.6296439756,17,9,0.529412,-0.000539,0,0.000000,0
180,0.50-1.00,0.50,1.00,574,574,1.000000,519,55,0.904181,0.898711,0.005470,3.140000,0.005470,0.3455861292,11,4,0.363636,-0.001337,82,0.003325,0
180,0.60-0.70,0.60,0.70,44,574,0.076655,29,15,0.659091,0.666455,-0.007364,-0.324000,-0.000564,0.6102807054,17,13,0.764706,0.000398,0,0.000000,0
180,0.60-0.80,0.60,0.80,85,574,0.148084,62,23,0.729412,0.713259,0.016153,1.373000,0.002392,0.4227488785,23,10,0.434783,-0.001757,82,0.003325,0
180,0.60-0.90,0.60,0.90,153,574,0.266551,117,36,0.764706,0.783111,-0.018405,-2.816000,-0.004906,0.7506368649,26,13,0.500000,-0.000965,0,0.000000,0
180,0.60-1.00,0.60,1.00,533,574,0.928571,494,39,0.926829,0.923615,0.003214,1.713000,0.002984,0.4216269912,17,6,0.352941,-0.001485,82,0.003325,0
180,0.70-0.80,0.70,0.80,41,574,0.071429,33,8,0.804878,0.763488,0.041390,1.697000,0.002956,0.3394886071,17,4,0.235294,-0.003007,82,0.003325,0
180,0.70-0.90,0.70,0.90,109,574,0.189895,88,21,0.807339,0.830202,-0.022862,-2.492000,-0.004341,0.7835942206,23,11,0.478261,-0.001322,0,0.000000,0
180,0.70-1.00,0.70,1.00,489,574,0.851916,465,24,0.950920,0.946755,0.004166,2.037000,0.003549,0.3807804246,17,6,0.352941,-0.001705,82,0.003325,0
180,0.80-0.90,0.80,0.90,68,574,0.118467,55,13,0.808824,0.870426,-0.061603,-4.189000,-0.007298,0.949068109,17,10,0.588235,0.000294,0,0.000000,0
180,0.80-1.00,0.80,1.00,448,574,0.780488,432,16,0.964286,0.963527,0.000759,0.340000,0.000592,0.5307443053,14,7,0.500000,0.000178,82,0.003325,0
180,0.90-1.00,0.90,1.00,380,574,0.662021,377,3,0.992105,0.980187,0.011918,4.529000,0.007890,0.05407992315,8,5,0.625000,0.001027,82,0.003325,0
240,0.50-0.60,0.50,0.60,45,575,0.078261,26,19,0.577778,0.568533,0.009244,0.416000,0.000723,0.5128343042,8,5,0.625000,-0.000834,82,0.003325,0
240,0.50-0.70,0.50,0.70,87,575,0.151304,56,31,0.643678,0.617805,0.025874,2.251000,0.003915,0.3513650911,14,7,0.500000,-0.002286,82,0.003325,0
