ticker,close_time_utc,close_date_utc,close_time_et,close_date_et,close_hour_et,close_hour_bucket_et,horizon_seconds,selected_timestamp_utc,selected_remaining_seconds,horizon_abs_error_seconds,yes_mid,more_likely_side,more_likely_mid,cost,price_bin,official_outcome,official_raw_result,official_status,official_settlement_ts,official_settlement_value_dollars,official_expiration_value,official_floor_strike,resolved,success,gross_pnl
KXETH15M-26JUN010000-00,2026-06-01T04:00:00Z,2026-06-01,2026-06-01T00:00:00-04:00,2026-06-01,0,00-03,600,2026-06-01T03:49:46.515000Z,613.485,13.485,0.640500,YES,0.640500,0.641000,0.60-0.70,NO,no,finalized,2026-06-01T04:00:10.616016Z,0.0000,2006.88,2009.5,1,0,-0.641000
KXETH15M-26JUN010000-00,2026-06-01T04:00:00Z,2026-06-01,2026-06-01T00:00:00-04:00,2026-06-01,0,00-03,660,2026-06-01T03:49:00.196000Z,659.804,0.196,0.745000,YES,0.745000,0.750000,0.70-0.80,NO,no,finalized,2026-06-01T04:00:10.616016Z,0.0000,2006.88,2009.5,1,0,-0.750000
KXETH15M-26JUN010000-00,2026-06-01T04:00:00Z,2026-06-01,2026-06-01T00:00:00-04:00,2026-06-01,0,00-03,720,2026-06-01T03:47:55.474000Z,724.526,4.526,0.785000,YES,0.785000,0.790000,0.70-0.80,NO,no,finalized,2026-06-01T04:00:10.616016Z,0.0000,2006.88,2009.5,1,0,-0.790000
KXETH15M-26JUN010000-00,2026-06-01T04:00:00Z,2026-06-01,2026-06-01T00:00:00-04:00,2026-06-01,0,00-03,780,2026-06-01T03:46:54.184000Z,785.816,5.816,0.505000,YES,0.505000,0.510000,0.50-0.60,NO,no,finalized,2026-06-01T04:00:10.616016Z,0.0000,2006.88,2009.5,1,0,-0.510000
KXETH15M-26JUN010000-00,2026-06-01T04:00:00Z,2026-06-01,2026-06-01T00:00:00-04:00,2026-06-01,0,00-03,840,2026-06-01T03:45:58.029000Z,841.971,1.971,0.555000,YES,0.555000,0.570000,0.50-0.60,NO,no,finalized,2026-06-01T04:00:10.616016Z,0.0000,2006.88,2009.5,1,0,-0.570000
KXETH15M-26JUN010000-00,2026-06-01T04:00:00Z,2026-06-01,2026-06-01T00:00:00-04:00,2026-06-01,0,00-03,900,2026-06-01T03:45:07.777000Z,892.223,7.777,0.570000,YES,0.570000,0.640000,0.50-0.60,NO,no,finalized,2026-06-01T04:00:10.616016Z,0.0000,2006.88,2009.5,1,0,-0.640000
KXETH15M-26JUN010130-30,2026-06-01T05:30:00Z,2026-06-01,2026-06-01T01:30:00-04:00,2026-06-01,1,00-03,60,2026-06-01T05:29:00.583000Z,59.417,0.583,0.003000,NO,0.997000,0.999000,0.90-1.00,NO,no,finalized,2026-06-01T05:30:10.612487Z,0.0000,1991.63,1997.05,1,1,0.001000
KXETH15M-26JUN010130-30,2026-06-01T05:30:00Z,2026-06-01,2026-06-01T01:30:00-04:00,2026-06-01,1,00-03,120,2026-06-01T05:27:59.258000Z,120.742,0.742,0.003500,NO,0.996500,0.998000,0.90-1.00,NO,no,finalized,2026-06-01T05:30:10.612487Z,0.0000,1991.63,1997.05,1,1,0.002000
KXETH15M-26JUN010130-30,2026-06-01T05:30:00Z,2026-06-01,2026-06-01T01:30:00-04:00,2026-06-01,1,00-03,180,2026-06-01T05:27:00.288000Z,179.712,0.288,0.028500,NO,0.971500,0.974000,0.90-1.00,NO,no,finalized,2026-06-01T05:30:10.612487Z,0.0000,1991.63,1997.05,1,1,0.026000
KXETH15M-26JUN010130-30,2026-06-01T05:30:00Z,2026-06-01,2026-06-01T01:30:00-04:00,2026-06-01,1,00-03,240,2026-06-01T05:25:57.235000Z,242.765,2.765,0.028500,NO,0.971500,0.972000,0.90-1.00,NO,no,finalized,2026-06-01T05:30:10.612487Z,0.0000,1991.63,1997.05,1,1,0.028000
KXETH15M-26JUN010130-30,2026-06-01T05:30:00Z,2026-06-01,2026-06-01T01:30:00-04:00,2026-06-01,1,00-03,300,2026-06-01T05:24:59.231000Z,300.769,0.769,0.365000,NO,0.635000,0.640000,0.60-0.70,NO,no,finalized,2026-06-01T05:30:10.612487Z,0.0000,1991.63,1997.05,1,1,0.360000
KXETH15M-26JUN010130-30,2026-06-01T05:30:00Z,2026-06-01,2026-06-01T01:30:00-04:00,2026-06-01,1,00-03,360,2026-06-01T05:23:59.226000Z,360.774,0.774,0.625000,YES,0.625000,0.640000,0.60-0.70,NO,no,finalized,2026-06-01T05:30:10.612487Z,0.0000,1991.63,1997.05,1,0,-0.640000
