horizon_seconds,price_range,band_low,band_high,n,total_available_contracts,coverage,wins,losses,p_success,avg_cost,ev_p_minus_c,gross_pnl,profit_per_available_contract,p_value_break_even,neighbor_count,neighbor_positive_count,neighbor_positive_share,neighbor_profit_per_available_mean,positive_component_size,positive_component_profit_per_available_mean,stable
60,0.50-0.60,0.50,0.60,9,526,0.017110,2,7,0.222222,0.604556,-0.382333,-3.441000,-0.006542,0.9974094008,3,0,0.000000,-0.001295,0,0.000000,0
60,0.50-0.70,0.50,0.70,18,526,0.034221,8,10,0.444444,0.665278,-0.220833,-3.975000,-0.007557,0.9881037457,7,0,0.000000,-0.005061,0,0.000000,0
60,0.50-0.80,0.50,0.80,40,526,0.076046,25,15,0.625000,0.718625,-0.093625,-3.745000,-0.007120,0.9336850651,9,0,0.000000,-0.008637,0,0.000000,0
60,0.50-0.90,0.50,0.90,72,526,0.136882,52,20,0.722222,0.789833,-0.067611,-4.868000,-0.009255,0.9429892658,11,1,0.090909,-0.009200,0,0.000000,0
60,0.50-1.00,0.50,1.00,526,526,1.000000,504,22,0.958175,0.960222,-0.002048,-1.077000,-0.002048,0.6586305551,7,1,0.142857,-0.010981,0,0.000000,0
60,0.60-0.70,0.60,0.70,9,526,0.017110,6,3,0.666667,0.726000,-0.059333,-0.534000,-0.001015,0.7908992148,9,1,0.111111,-0.005033,0,0.000000,0
60,0.60-0.80,0.60,0.80,31,526,0.058935,23,8,0.741935,0.751742,-0.009806,-0.304000,-0.000578,0.6431663268,13,1,0.076923,-0.008714,0,0.000000,0
60,0.60-0.90,0.60,0.90,63,526,0.119772,50,13,0.793651,0.816302,-0.022651,-1.427000,-0.002713,0.7453865342,17,3,0.176471,-0.008545,0,0.000000,0
60,0.60-1.00,0.60,1.00,517,526,0.982890,502,15,0.970986,0.966414,0.004573,2.364000,0.004494,0.3214120013,11,1,0.090909,-0.010096,18,0.005776,0
60,0.70-0.80,0.70,0.80,22,526,0.041825,17,5,0.772727,0.762273,0.010455,0.230000,0.000437,0.5708606483,10,0,0.000000,-0.007361,1,0.000437,0
60,0.70-0.90,0.70,0.90,54,526,0.102662,44,10,0.814815,0.831352,-0.016537,-0.893000,-0.001698,0.7062412054,15,4,0.266667,-0.005878,0,0.000000,0
60,0.70-1.00,0.70,1.00,508,526,0.965779,496,12,0.976378,0.970673,0.005705,2.898000,0.005510,0.258460706,11,2,0.181818,-0.006667,18,0.005776,0
60,0.80-0.90,0.80,0.90,32,526,0.060837,27,5,0.843750,0.878844,-0.035094,-1.123000,-0.002135,0.8168325293,11,5,0.454545,-0.002970,0,0.000000,0
60,0.80-1.00,0.80,1.00,486,526,0.923954,479,7,0.985597,0.980107,0.005490,2.668000,0.005072,0.2412430938,9,3,0.333333,-0.003335,18,0.005776,0
60,0.90-1.00,0.90,1.00,454,526,0.863118,452,2,0.995595,0.987244,0.008350,3.791000,0.007207,0.06830728903,5,2,0.400000,-0.000901,18,0.005776,0
120,0.50-0.60,0.50,0.60,22,572,0.038462,12,10,0.545455,0.562273,-0.016818,-0.370000,-0.000647,0.6484058355,5,2,0.400000,0.000591,0,0.000000,0
120,0.50-0.70,0.50,0.70,49,572,0.085664,29,20,0.591837,0.614510,-0.022673,-1.111000,-0.001942,0.6858029475,11,2,0.181818,-0.004105,0,0.000000,0
120,0.50-0.80,0.50,0.80,83,572,0.145105,49,34,0.590361,0.674759,-0.084398,-7.005000,-0.012247,0.9613302583,15,1,0.066667,-0.007378,0,0.000000,0
120,0.50-0.90,0.50,0.90,153,572,0.267483,106,47,0.692810,0.765248,-0.072438,-11.083000,-0.019376,0.987749464,17,1,0.058824,-0.008598,0,0.000000,0
120,0.50-1.00,0.50,1.00,572,572,1.000000,517,55,0.903846,0.919813,-0.015967,-9.133000,-0.015967,0.9462884458,11,1,0.090909,-0.009106,0,0.000000,0
120,0.60-0.70,0.60,0.70,27,572,0.047203,17,10,0.629630,0.657074,-0.027444,-0.741000,-0.001295,0.6981236823,14,3,0.214286,-0.004720,0,0.000000,0
120,0.60-0.80,0.60,0.80,61,572,0.106643,37,24,0.606557,0.715328,-0.108770,-6.635000,-0.011600,0.9769212151,21,2,0.095238,-0.007801,0,0.000000,0
120,0.60-0.90,0.60,0.90,131,572,0.229021,94,37,0.717557,0.799336,-0.081779,-10.713000,-0.018729,0.9923747084,26,3,0.115385,-0.008320,0,0.000000,0
120,0.60-1.00,0.60,1.00,550,572,0.961538,505,45,0.918182,0.934115,-0.015933,-8.763000,-0.015320,0.9530763581,17,2,0.117647,-0.008827,0,0.000000,0
120,0.70-0.80,0.70,0.80,34,572,0.059441,20,14,0.588235,0.761588,-0.173353,-5.894000,-0.010304,0.992749152,16,1,0.062500,-0.007056,0,0.000000,0
120,0.70-0.90,0.70,0.90,104,572,0.181818,77,27,0.740385,0.836269,-0.095885,-9.972000,-0.017434,0.9961182371,23,5,0.217391,-0.005981,0,0.000000,0
120,0.70-1.00,0.70,1.00,523,572,0.914336,488,35,0.933078,0.948417,-0.015338,-8.022000,-0.014024,0.9571535457,17,4,0.235294,-0.005763,0,0.000000,0
120,0.80-0.90,0.80,0.90,70,572,0.122378,57,13,0.814286,0.872543,-0.058257,-4.078000,-0.007129,0.9441992028,17,7,0.411765,-0.003286,0,0.000000,0
120,0.80-1.00,0.80,1.00,489,572,0.854895,468,21,0.957055,0.961407,-0.004352,-2.128000,-0.003720,0.7434570315,14,6,0.428571,-0.002785,0,0.000000,0
120,0.90-1.00,0.90,1.00,419,572,0.732517,411,8,0.980907,0.976253,0.004654,1.950000,0.003409,0.3329935836,8,4,0.500000,0.000391,18,0.005776,0
180,0.50-0.60,0.50,0.60,31,576,0.053819,19,12,0.612903,0.553355,0.059548,1.846000,0.003205,0.3151898937,8,1,0.125000,-0.002207,2,0.003150,0
180,0.50-0.70,0.50,0.70,72,576,0.125000,46,26,0.638889,0.614125,0.024764,1.783000,0.003095,0.380305636,14,1,0.071429,-0.004845,2,0.003150,0
180,0.50-0.80,0.50,0.80,115,576,0.199653,73,42,0.634783,0.671470,-0.036687,-4.219000,-0.007325,0.8304933652,17,1,0.058824,-0.007440,0,0.000000,0
180,0.50-0.90,0.50,0.90,220,576,0.381944,163,57,0.740909,0.767077,-0.026168,-5.757000,-0.009995,0.8512216494,17,1,0.058824,-0.008989,0,0.000000,0
180,0.50-1.00,0.50,1.00,576,576,1.000000,510,66,0.885417,0.890826,-0.005410,-3.116000,-0.005410,0.7042726991,11,1,0.090909,-0.009737,0,0.000000,0
180,0.60-0.70,0.60,0.70,41,576,0.071181,27,14,0.658537,0.660073,-0.001537,-0.063000,-0.000109,0.5803279207,17,3,0.176471,-0.004997,0,0.000000,0
180,0.60-0.80,0.60,0.80,84,576,0.145833,54,30,0.642857,0.715060,-0.072202,-6.065000,-0.010530,0.9429898905,23,2,0.086957,-0.007639,0,0.000000,0
180,0.60-0.90,0.60,0.90,189,576,0.328125,144,45,0.761905,0.802132,-0.040228,-7.603000,-0.013200,0.9333144829,26,3,0.115385,-0.008327,0,0.000000,0
180,0.60-1.00,0.60,1.00,545,576,0.946181,491,54,0.900917,0.910022,-0.009105,-4.962000,-0.008615,0.8089522561,17,2,0.117647,-0.008853,0,0.000000,0
180,0.70-0.80,0.70,0.80,43,576,0.074653,27,16,0.627907,0.767488,-0.139581,-6.002000,-0.010420,0.9876746812,17,1,0.058824,-0.006676,0,0.000000,0
180,0.70-0.90,0.70,0.90,148,576,0.256944,117,31,0.790541,0.841486,-0.050946,-7.540000,-0.013090,0.9627321411,23,5,0.217391,-0.005826,0,0.000000,0
180,0.70-1.00,0.70,1.00,504,576,0.875000,464,40,0.920635,0.930355,-0.009720,-4.899000,-0.008505,0.8370493733,17,4,0.235294,-0.005619,0,0.000000,0
180,0.80-0.90,0.80,0.90,105,576,0.182292,90,15,0.857143,0.871790,-0.014648,-1.538000,-0.002670,0.7325956805,17,7,0.411765,-0.003094,0,0.000000,0
180,0.80-1.00,0.80,1.00,461,576,0.800347,437,24,0.947939,0.945547,0.002393,1.103000,0.001915,0.4608021115,14,5,0.357143,-0.002634,18,0.005776,0
180,0.90-1.00,0.90,1.00,356,576,0.618056,347,9,0.974719,0.967301,0.007419,2.641000,0.004585,0.2685832807,8,4,0.500000,0.000881,18,0.005776,0
240,0.50-0.60,0.50,0.60,50,576,0.086806,24,26,0.480000,0.564680,-0.084680,-4.234000,-0.007351,0.9114030389,8,2,0.250000,-0.002407,0,0.000000,0
240,0.50-0.70,0.50,0.70,106,576,0.184028,61,45,0.575472,0.621009,-0.045538,-4.827000,-0.008380,0.8586228817,14,2,0.142857,-0.007568,0,0.000000,0
240,0.50-0.80,0.50,0.80,180,576,0.312500,118,62,0.655556,0.681050,-0.025494,-4.589000,-0.007967,0.797177045,17,1,0.058824,-0.011777,0,0.000000,0
240,0.50-0.90,0.50,0.90,300,576,0.520833,221,79,0.736667,0.755787,-0.019120,-5.736000,-0.009958,0.8086960027,17,1,0.058824,-0.013732,0,0.000000,0
240,0.50-1.00,0.50,1.00,576,576,1.000000,491,85,0.852431,0.852774,-0.000344,-0.198000,-0.000344,0.5395668789,11,1,0.090909,-0.014121,0,0.000000,0
240,0.60-0.70,0.60,0.70,56,576,0.097222,37,19,0.660714,0.671304,-0.010589,-0.593000,-0.001030,0.6277325744,17,3,0.176471,-0.008673,0,0.000000,0
240,0.60-0.80,0.60,0.80,130,576,0.225694,94,36,0.723077,0.725808,-0.002731,-0.355000,-0.000616,0.5727611542,23,2,0.086957,-0.012283,0,0.000000,0
240,0.60-0.90,0.60,0.90,250,576,0.434028,197,53,0.788000,0.794008,-0.006008,-1.502000,-0.002608,0.630442103,26,3,0.115385,-0.012821,0,0.000000,0
240,0.60-1.00,0.60,1.00,526,576,0.913194,467,59,0.887833,0.880160,0.007673,4.036000,0.007007,0.3123210695,17,1,0.058824,-0.013006,18,0.005776,0
240,0.70-0.80,0.70,0.80,74,576,0.128472,57,17,0.770270,0.767054,0.003216,0.238000,0.000413,0.5384312512,17,0,0.000000,-0.010314,1,0.000413,0
240,0.70-0.90,0.70,0.90,194,576,0.336806,160,34,0.824742,0.829428,-0.004686,-0.909000,-0.001578,0.6144332239,23,6,0.260870,-0.008349,0,0.000000,0
240,0.70-1.00,0.70,1.00,470,576,0.815972,430,40,0.914894,0.905045,0.009849,4.629000,0.008036,0.2539021007,17,4,0.235294,-0.007484,18,0.005776,0
