contract_id,close_time,row_count,has_outcome_row,trader_actual_side,trader_actual_label,trader_kalshi_price,trader_kalshi_target,trader_kalshi_target_source,official_result,official_raw_result,official_status,official_settlement_ts,official_settlement_value_dollars,official_expiration_value,official_floor_strike,official_title,discrepancy,note
KXBTC15M-26JUN041545-45,2026-06-04T19:45:00Z,2,1,NO,0,63730.79,64047.6,observed_source_snapshot,NO,no,finalized,2026-06-04T19:45:08.15424Z,0.0000,63719.04,64047.6,BTC price up in next 15 mins?,NO,
KXBTC15M-26JUN041600-00,2026-06-04T20:00:00Z,3,1,NO,0,63621.54,63719.04,observed_source_snapshot,NO,no,finalized,2026-06-04T20:00:08.154638Z,0.0000,63598.59,63719.04,BTC price up in next 15 mins?,NO,
KXBTC15M-26JUN041615-15,2026-06-04T20:15:00Z,2,1,NO,0,63461.95,63598.59,observed_source_snapshot,NO,no,finalized,2026-06-04T20:15:04.456776Z,0.0000,63441.31,63598.59,BTC price up in next 15 mins?,NO,
KXBTC15M-26JUN041630-30,2026-06-04T20:30:00Z,2,1,NO,0,63254.22,63441.31,observed_source_snapshot,NO,no,finalized,2026-06-04T20:30:04.455917Z,0.0000,63188.73,63441.31,BTC price up in next 15 mins?,NO,
KXBTC15M-26JUN041645-45,2026-06-04T20:45:00Z,2,1,YES,1,63548.49,63188.73,observed_source_snapshot,YES,yes,finalized,2026-06-04T20:45:04.455469Z,1.0000,63532.07,63188.73,BTC price up in next 15 mins?,NO,
KXBTC15M-26JUN041700-00,2026-06-04T21:00:00Z,2,1,YES,1,63586.36,63532.07,observed_source_snapshot,YES,yes,finalized,2026-06-04T21:00:04.460217Z,1.0000,63578.90,63532.07,BTC price up in next 15 mins?,NO,
KXBTC15M-26JUN041715-15,2026-06-04T21:15:00Z,2,1,YES,1,63746.88,63578.9,observed_source_snapshot,YES,yes,finalized,2026-06-04T21:15:04.454885Z,1.0000,63740.94,63578.9,BTC price up in next 15 mins?,NO,
KXBTC15M-26JUN041730-30,2026-06-04T21:30:00Z,2,1,NO,0,63501.29,63740.94,observed_source_snapshot,NO,no,finalized,2026-06-04T21:30:04.451352Z,0.0000,63432.13,63740.94,BTC price up in next 15 mins?,NO,
KXBTC15M-26JUN041745-45,2026-06-04T21:45:00Z,2,1,NO,0,63344.32,63432.13,observed_source_snapshot,NO,no,finalized,2026-06-04T21:45:04.455123Z,0.0000,63397.86,63432.13,BTC price up in next 15 mins?,NO,
KXBTC15M-26JUN041800-00,2026-06-04T22:00:00Z,2,1,NO,0,63208.99,63397.86,observed_source_snapshot,NO,no,finalized,2026-06-04T22:00:04.456493Z,0.0000,63232.72,63397.86,BTC price up in next 15 mins?,NO,
KXBTC15M-26JUN041815-15,2026-06-04T22:15:00Z,2,1,NO,0,63200.64,63232.72,observed_source_snapshot,NO,no,finalized,2026-06-04T22:15:04.475693Z,0.0000,63220.92,63232.72,BTC price up in next 15 mins?,NO,
KXBTC15M-26JUN041830-30,2026-06-04T22:30:00Z,2,1,YES,1,63302.54,63220.92,observed_source_snapshot,YES,yes,finalized,2026-06-04T22:30:04.415811Z,1.0000,63298.02,63220.92,BTC price up in next 15 mins?,NO,
KXBTC15M-26JUN041845-45,2026-06-04T22:45:00Z,2,1,YES,1,63433.82,63298.02,observed_source_snapshot,YES,yes,finalized,2026-06-04T22:45:04.458609Z,1.0000,63439.89,63298.02,BTC price up in next 15 mins?,NO,
KXBTC15M-26JUN041900-00,2026-06-04T23:00:00Z,2,1,YES,1,63708.46,63439.89,observed_source_snapshot,YES,yes,finalized,2026-06-04T23:00:04.459957Z,1.0000,63692.33,63439.89,BTC price up in next 15 mins?,NO,
KXBTC15M-26JUN041915-15,2026-06-04T23:15:00Z,1,0,,,,,,NO,no,finalized,2026-06-04T23:15:04.459537Z,0.0000,63563.94,63692.33,BTC price up in next 15 mins?,UNKNOWN,no trader outcome row
KXBTC15M-26JUN041930-30,2026-06-04T23:30:00Z,2,1,NO,0,63467.9,63563.94,observed_source_snapshot,NO,no,finalized,2026-06-04T23:30:04.462252Z,0.0000,63437.03,63563.94,BTC price up in next 15 mins?,NO,
KXBTC15M-26JUN041945-45,2026-06-04T23:45:00Z,2,1,YES,1,63695.03,63437.03,observed_source_snapshot,YES,yes,finalized,2026-06-04T23:45:04.460338Z,1.0000,63701.19,63437.03,BTC price up in next 15 mins?,NO,
KXBTC15M-26JUN042000-00,2026-06-05T00:00:00Z,2,1,YES,1,63792.82,63701.19,observed_source_snapshot,YES,yes,finalized,2026-06-05T00:00:04.415405Z,1.0000,63815.34,63701.19,BTC price up in next 15 mins?,NO,
KXBTC15M-26JUN042015-15,2026-06-05T00:15:00Z,2,1,NO,0,63639.42,63815.34,observed_source_snapshot,NO,no,finalized,2026-06-05T00:15:04.409984Z,0.0000,63599.08,63815.34,BTC price up in next 15 mins?,NO,
KXBTC15M-26JUN042030-30,2026-06-05T00:30:00Z,2,1,YES,1,63829.31,63599.08,observed_source_snapshot,YES,yes,finalized,2026-06-05T00:30:04.456631Z,1.0000,63799.39,63599.08,BTC price up in next 15 mins?,NO,
KXBTC15M-26JUN042045-45,2026-06-05T00:45:00Z,2,1,NO,0,63672.64,63799.39,observed_source_snapshot,NO,no,finalized,2026-06-05T00:45:04.456793Z,0.0000,63656.79,63799.39,BTC price up in next 15 mins?,NO,
KXBTC15M-26JUN042100-00,2026-06-05T01:00:00Z,2,1,NO,0,63363.35,63656.79,observed_source_snapshot,NO,no,finalized,2026-06-05T01:00:04.458753Z,0.0000,63352.53,63656.79,BTC price up in next 15 mins?,NO,
KXBTC15M-26JUN042115-15,2026-06-05T01:15:00Z,2,1,NO,0,63217.62,63352.53,observed_source_snapshot,NO,no,finalized,2026-06-05T01:15:04.456003Z,0.0000,63243.21,63352.53,BTC price up in next 15 mins?,NO,
KXBTC15M-26JUN042130-30,2026-06-05T01:30:00Z,2,1,NO,0,63240.64,63243.21,observed_source_snapshot,YES,yes,finalized,2026-06-05T01:30:04.462661Z,1.0000,63253.92,63243.21,BTC price up in next 15 mins?,YES,trader outcome differs from official Kalshi result
KXBTC15M-26JUN042145-45,2026-06-05T01:45:00Z,2,1,YES,1,63284.74,63253.92,observed_source_snapshot,YES,yes,finalized,2026-06-05T01:45:04.460531Z,1.0000,63331.21,63253.92,BTC price up in next 15 mins?,NO,
KXBTC15M-26JUN042200-00,2026-06-05T02:00:00Z,2,1,NO,0,63312.96,63331.21,observed_source_snapshot,NO,no,finalized,2026-06-05T02:00:04.459052Z,0.0000,63312.88,63331.21,BTC price up in next 15 mins?,NO,
KXBTC15M-26JUN042215-15,2026-06-05T02:15:00Z,1,0,,,,,,NO,no,finalized,2026-06-05T02:15:04.459553Z,0.0000,63121.74,63312.88,BTC price up in next 15 mins?,UNKNOWN,no trader outcome row
KXBTC15M-26JUN042230-30,2026-06-05T02:30:00Z,2,1,NO,0,62696.59,63121.74,observed_source_snapshot,NO,no,finalized,2026-06-05T02:30:04.457432Z,0.0000,62668.25,63121.74,BTC price up in next 15 mins?,NO,
KXBTC15M-26JUN042245-45,2026-06-05T02:45:00Z,2,1,YES,1,62685.23,62668.25,observed_source_snapshot,YES,yes,finalized,2026-06-05T02:45:04.509024Z,1.0000,62707.00,62668.25,BTC price up in next 15 mins?,NO,
KXBTC15M-26JUN042300-00,2026-06-05T03:00:00Z,2,1,NO,0,62538.6,62707.0,observed_source_snapshot,NO,no,finalized,2026-06-05T03:00:04.457956Z,0.0000,62547.94,62707,BTC price up in next 15 mins?,NO,
