horizon_seconds,price_range,band_low,band_high,n,total_available_contracts,coverage,wins,losses,p_success,avg_cost,ev_p_minus_c,gross_pnl,profit_per_available_contract,p_value_break_even,neighbor_count,neighbor_positive_count,neighbor_positive_share,neighbor_profit_per_available_mean,positive_component_size,positive_component_profit_per_available_mean,stable
60,0.50-0.60,0.50,0.60,12,480,0.025000,4,8,0.333333,0.573333,-0.240000,-2.880000,-0.006000,0.9757436455,4,0,0.000000,-0.009872,0,0.000000,0
60,0.50-0.70,0.50,0.70,25,480,0.052083,10,15,0.400000,0.618040,-0.218040,-5.451000,-0.011356,0.9923374217,7,0,0.000000,-0.011872,0,0.000000,0
60,0.50-0.80,0.50,0.80,43,480,0.089583,21,22,0.488372,0.687535,-0.199163,-8.564000,-0.017842,0.9983957073,10,0,0.000000,-0.014980,0,0.000000,0
60,0.50-0.90,0.50,0.90,64,480,0.133333,37,27,0.578125,0.750000,-0.171875,-11.000000,-0.022917,0.999510005,11,0,0.000000,-0.017167,0,0.000000,0
60,0.50-1.00,0.50,1.00,480,480,1.000000,451,29,0.939583,0.958554,-0.018971,-9.106000,-0.018971,0.9917138985,7,0,0.000000,-0.019688,0,0.000000,0
60,0.60-0.70,0.60,0.70,13,480,0.027083,6,7,0.461538,0.659308,-0.197769,-2.571000,-0.005356,0.960816217,9,0,0.000000,-0.010760,0,0.000000,0
60,0.60-0.80,0.60,0.80,31,480,0.064583,17,14,0.548387,0.731742,-0.183355,-5.684000,-0.011842,0.9925100295,13,0,0.000000,-0.013843,0,0.000000,0
60,0.60-0.90,0.60,0.90,52,480,0.108333,33,19,0.634615,0.790769,-0.156154,-8.120000,-0.016917,0.997799599,16,0,0.000000,-0.014898,0,0.000000,0
60,0.60-1.00,0.60,1.00,468,480,0.975000,447,21,0.955128,0.968432,-0.013303,-6.226000,-0.012971,0.9699844099,11,0,0.000000,-0.016815,0,0.000000,0
60,0.70-0.80,0.70,0.80,18,480,0.037500,11,7,0.611111,0.784056,-0.172944,-3.113000,-0.006485,0.9754989779,10,0,0.000000,-0.009780,0,0.000000,0
60,0.70-0.90,0.70,0.90,39,480,0.081250,27,12,0.692308,0.834590,-0.142282,-5.549000,-0.011560,0.992972802,14,0,0.000000,-0.010062,0,0.000000,0
60,0.70-1.00,0.70,1.00,455,480,0.947917,441,14,0.969231,0.977264,-0.008033,-3.655000,-0.007615,0.9126715734,11,0,0.000000,-0.011068,0,0.000000,0
60,0.80-0.90,0.80,0.90,21,480,0.043750,16,5,0.761905,0.877905,-0.116000,-2.436000,-0.005075,0.965558849,10,1,0.100000,-0.005948,0,0.000000,0
60,0.80-1.00,0.80,1.00,437,480,0.910417,430,7,0.983982,0.985222,-0.001240,-0.542000,-0.001129,0.6823056053,9,1,0.111111,-0.006783,0,0.000000,0
60,0.90-1.00,0.90,1.00,416,480,0.866667,414,2,0.995192,0.990639,0.004553,1.894000,0.003946,0.2483495414,5,0,0.000000,-0.004994,1,0.003946,0
120,0.50-0.60,0.50,0.60,21,534,0.039326,8,13,0.380952,0.574286,-0.193333,-4.060000,-0.007603,0.9776645316,6,1,0.166667,-0.006171,0,0.000000,0
120,0.50-0.70,0.50,0.70,44,534,0.082397,20,24,0.454545,0.625250,-0.170705,-7.511000,-0.014066,0.9932940756,12,1,0.083333,-0.008565,0,0.000000,0
120,0.50-0.80,0.50,0.80,81,534,0.151685,47,34,0.580247,0.688667,-0.108420,-8.782000,-0.016446,0.9867425424,16,0,0.000000,-0.012398,0,0.000000,0
120,0.50-0.90,0.50,0.90,146,534,0.273408,99,47,0.678082,0.766884,-0.088801,-12.965000,-0.024279,0.9959245053,17,0,0.000000,-0.015145,0,0.000000,0
120,0.50-1.00,0.50,1.00,534,534,1.000000,481,53,0.900749,0.926577,-0.025828,-13.792000,-0.025828,0.9946947844,11,0,0.000000,-0.016700,0,0.000000,0
120,0.60-0.70,0.60,0.70,23,534,0.043071,12,11,0.521739,0.671783,-0.150043,-3.451000,-0.006463,0.957549395,14,1,0.071429,-0.008415,0,0.000000,0
120,0.60-0.80,0.60,0.80,60,534,0.112360,39,21,0.650000,0.728700,-0.078700,-4.722000,-0.008843,0.9337829312,21,0,0.000000,-0.011572,0,0.000000,0
120,0.60-0.90,0.60,0.90,125,534,0.234082,91,34,0.728000,0.799240,-0.071240,-8.905000,-0.016676,0.9813250188,25,0,0.000000,-0.013315,0,0.000000,0
120,0.60-1.00,0.60,1.00,513,534,0.960674,473,40,0.922027,0.940998,-0.018971,-9.732000,-0.018225,0.9782971844,17,0,0.000000,-0.014806,0,0.000000,0
120,0.70-0.80,0.70,0.80,37,534,0.069288,27,10,0.729730,0.764081,-0.034351,-1.271000,-0.002380,0.7596364286,15,0,0.000000,-0.009177,0,0.000000,0
120,0.70-0.90,0.70,0.90,102,534,0.191011,79,23,0.774510,0.827980,-0.053471,-5.454000,-0.010213,0.9389925762,22,0,0.000000,-0.009709,0,0.000000,0
120,0.70-1.00,0.70,1.00,490,534,0.917603,461,29,0.940816,0.953635,-0.012818,-6.281000,-0.011762,0.9354614392,17,0,0.000000,-0.010255,0,0.000000,0
120,0.80-0.90,0.80,0.90,65,534,0.121723,52,13,0.800000,0.864354,-0.064354,-4.183000,-0.007833,0.9495264917,16,1,0.062500,-0.005857,0,0.000000,0
120,0.80-1.00,0.80,1.00,453,534,0.848315,434,19,0.958057,0.969117,-0.011060,-5.010000,-0.009382,0.9349873304,14,1,0.071429,-0.006052,0,0.000000,0
120,0.90-1.00,0.90,1.00,388,534,0.726592,382,6,0.984536,0.986668,-0.002131,-0.827000,-0.001549,0.7390842513,8,1,0.125000,-0.004022,0,0.000000,0
180,0.50-0.60,0.50,0.60,30,573,0.052356,18,12,0.600000,0.562067,0.037933,1.138000,0.001986,0.4101100472,8,1,0.125000,-0.005160,1,0.001986,0
180,0.50-0.70,0.50,0.70,70,573,0.122164,42,28,0.600000,0.621057,-0.021057,-1.474000,-0.002572,0.6904039613,14,3,0.214286,-0.005542,0,0.000000,0
180,0.50-0.80,0.50,0.80,121,573,0.211169,78,43,0.644628,0.680736,-0.036107,-4.369000,-0.007625,0.8331670306,17,2,0.117647,-0.008193,0,0.000000,0
180,0.50-0.90,0.50,0.90,196,573,0.342059,142,54,0.724490,0.754923,-0.030434,-5.965000,-0.010410,0.8672248753,17,1,0.058824,-0.011700,0,0.000000,0
180,0.50-1.00,0.50,1.00,573,573,1.000000,510,63,0.890052,0.904028,-0.013976,-8.008000,-0.013976,0.9085994399,11,0,0.000000,-0.014042,0,0.000000,0
180,0.60-0.70,0.60,0.70,40,573,0.069808,24,16,0.600000,0.665300,-0.065300,-2.612000,-0.004558,0.8517208141,17,4,0.235294,-0.004823,0,0.000000,0
180,0.60-0.80,0.60,0.80,91,573,0.158813,60,31,0.659341,0.719857,-0.060516,-5.507000,-0.009611,0.9191742742,23,3,0.130435,-0.007332,0,0.000000,0
180,0.60-0.90,0.60,0.90,166,573,0.289703,124,42,0.746988,0.789777,-0.042789,-7.103000,-0.012396,0.9288456201,26,2,0.076923,-0.009979,0,0.000000,0
180,0.60-1.00,0.60,1.00,543,573,0.947644,492,51,0.906077,0.922921,-0.016843,-9.146000,-0.015962,0.9510111753,17,0,0.000000,-0.012272,0,0.000000,0
180,0.70-0.80,0.70,0.80,51,573,0.089005,36,15,0.705882,0.762647,-0.056765,-2.895000,-0.005052,0.8676032833,17,3,0.176471,-0.005969,0,0.000000,0
180,0.70-0.90,0.70,0.90,126,573,0.219895,100,26,0.793651,0.829294,-0.035643,-4.491000,-0.007838,0.8829568977,23,2,0.086957,-0.008082,0,0.000000,0
180,0.70-1.00,0.70,1.00,503,573,0.877836,468,35,0.930417,0.943408,-0.012990,-6.534000,-0.011403,0.9214135803,17,0,0.000000,-0.009476,0,0.000000,0
180,0.80-0.90,0.80,0.90,75,573,0.130890,64,11,0.853333,0.874613,-0.021280,-1.596000,-0.002785,0.7746709539,17,1,0.058824,-0.006433,0,0.000000,0
180,0.80-1.00,0.80,1.00,452,573,0.788831,432,20,0.955752,0.963803,-0.008051,-3.639000,-0.006351,0.8583505218,14,0,0.000000,-0.007100,0,0.000000,0
180,0.90-1.00,0.90,1.00,377,573,0.657941,368,9,0.976127,0.981546,-0.005419,-2.043000,-0.003565,0.8396178157,8,0,0.000000,-0.005756,0,0.000000,0
240,0.50-0.60,0.50,0.60,34,576,0.059028,16,18,0.470588,0.565294,-0.094706,-3.220000,-0.005590,0.9008318128,8,2,0.250000,-0.003837,0,0.000000,0
240,0.50-0.70,0.50,0.70,83,576,0.144097,50,33,0.602410,0.623277,-0.020867,-1.732000,-0.003007,0.6969163566,14,3,0.214286,-0.005973,0,0.000000,0
240,0.50-0.80,0.50,0.80,149,576,0.258681,101,48,0.677852,0.685463,-0.007611,-1.134000,-0.001969,0.6188669737,17,2,0.117647,-0.008195,0,0.000000,0
240,0.50-0.90,0.50,0.90,236,576,0.409722,172,64,0.728814,0.752962,-0.024148,-5.699000,-0.009894,0.8339366542,17,1,0.058824,-0.011431,0,0.000000,0
240,0.50-1.00,0.50,1.00,576,576,1.000000,503,73,0.873264,0.884306,-0.011042,-6.360000,-0.011042,0.8369538041,11,0,0.000000,-0.012985,0,0.000000,0
240,0.60-0.70,0.60,0.70,49,576,0.085069,34,15,0.693878,0.663510,0.030367,1.488000,0.002583,0.3883104537,17,3,0.176471,-0.006040,3,0.002414,0
240,0.60-0.80,0.60,0.80,115,576,0.199653,85,30,0.739130,0.720991,0.018139,2.086000,0.003622,0.3749005291,23,2,0.086957,-0.007845,3,0.002414,0
240,0.60-0.90,0.60,0.90,202,576,0.350694,156,46,0.772277,0.784550,-0.012272,-2.479000,-0.004304,0.7028334504,26,2,0.076923,-0.010265,0,0.000000,0
240,0.60-1.00,0.60,1.00,542,576,0.940972,487,55,0.898524,0.904317,-0.005793,-3.140000,-0.005451,0.7197318689,17,0,0.000000,-0.011879,0,0.000000,0
240,0.70-0.80,0.70,0.80,66,576,0.114583,51,15,0.772727,0.763667,0.009061,0.598000,0.001038,0.4988436521,17,3,0.176471,-0.005676,3,0.002414,0
240,0.70-0.90,0.70,0.90,153,576,0.265625,122,31,0.797386,0.823314,-0.025928,-3.967000,-0.006887,0.8317185611,23,3,0.130435,-0.007369,0,0.000000,0
240,0.70-1.00,0.70,1.00,493,576,0.855903,453,40,0.918864,0.928252,-0.009387,-4.628000,-0.008035,0.8275661529,17,1,0.058824,-0.008009,0,0.000000,0
240,0.80-0.90,0.80,0.90,87,576,0.151042,71,16,0.816092,0.868563,-0.052471,-4.565000,-0.007925,0.9410941448,17,2,0.117647,-0.005592,0,0.000000,0
240,0.80-1.00,0.80,1.00,427,576,0.741319,402,25,0.941452,0.953691,-0.012239,-5.226000,-0.009073,0.9090715984,14,1,0.071429,-0.005746,0,0.000000,0
240,0.90-1.00,0.90,1.00,340,576,0.590278,331,9,0.973529,0.975474,-0.001944,-0.661000,-0.001148,0.6759209057,8,1,0.125000,-0.004357,0,0.000000,0
300,0.50-0.60,0.50,0.60,55,577,0.095321,26,29,0.472727,0.569873,-0.097145,-5.343000,-0.009260,0.9439059247,8,3,0.375000,-0.001351,0,0.000000,0
300,0.50-0.70,0.50,0.70,107,577,0.185442,59,48,0.551402,0.619150,-0.067748,-7.249000,-0.012563,0.9388776314,14,4,0.285714,-0.004759,0,0.000000,0
300,0.50-0.80,0.50,0.80,173,577,0.299827,104,69,0.601156,0.674572,-0.073416,-12.701000,-0.022012,0.9842935524,17,3,0.176471,-0.007266,0,0.000000,0
300,0.50-0.90,0.50,0.90,277,577,0.480069,195,82,0.703971,0.745401,-0.041430,-11.476000,-0.019889,0.9550669365,17,1,0.058824,-0.011245,0,0.000000,0
300,0.50-1.00,0.50,1.00,577,577,1.000000,483,94,0.837088,0.861679,-0.024591,-14.189000,-0.024591,0.9717656913,11,0,0.000000,-0.011575,0,0.000000,0
300,0.60-0.70,0.60,0.70,52,577,0.090121,33,19,0.634615,0.671269,-0.036654,-1.906000,-0.003303,0.7641459021,17,5,0.294118,-0.005792,0,0.000000,0
300,0.60-0.80,0.60,0.80,118,577,0.204506,78,40,0.661017,0.723373,-0.062356,-7.358000,-0.012752,0.9461907801,23,4,0.173913,-0.008026,0,0.000000,0
