horizon_seconds,price_range,band_low,band_high,n,total_available_contracts,coverage,wins,losses,p_success,avg_cost,ev_p_minus_c,gross_pnl,profit_per_available_contract,p_value_break_even,neighbor_count,neighbor_positive_count,neighbor_positive_share,neighbor_profit_per_available_mean,positive_component_size,positive_component_profit_per_available_mean,stable
60,0.50-0.60,0.50,0.60,8,514,0.015564,5,3,0.625000,0.625125,-0.000125,-0.001000,-0.000002,0.6531857163,4,2,0.500000,0.000576,0,0.000000,0
60,0.50-0.70,0.50,0.70,22,514,0.042802,14,8,0.636364,0.656091,-0.019727,-0.434000,-0.000844,0.670385425,7,6,0.857143,0.001795,0,0.000000,0
60,0.50-0.80,0.50,0.80,37,514,0.071984,28,9,0.756757,0.715730,0.041027,1.518000,0.002953,0.3602459169,10,8,0.800000,0.001700,22,0.002446,1
60,0.50-0.90,0.50,0.90,60,514,0.116732,48,12,0.800000,0.773683,0.026317,1.579000,0.003072,0.374077206,11,9,0.818182,0.002027,22,0.002446,1
60,0.50-1.00,0.50,1.00,514,514,1.000000,496,18,0.964981,0.966160,-0.001179,-0.606000,-0.001179,0.6277071627,7,6,0.857143,0.002448,0,0.000000,0
60,0.60-0.70,0.60,0.70,14,514,0.027237,9,5,0.642857,0.673786,-0.030929,-0.433000,-0.000842,0.7106440647,9,7,0.777778,0.001410,0,0.000000,0
60,0.60-0.80,0.60,0.80,29,514,0.056420,23,6,0.793103,0.740724,0.052379,1.519000,0.002955,0.3403948025,13,11,0.846154,0.001766,22,0.002446,1
60,0.60-0.90,0.60,0.90,52,514,0.101167,43,9,0.826923,0.796538,0.030385,1.580000,0.003074,0.361945612,16,13,0.812500,0.001961,22,0.002446,1
60,0.60-1.00,0.60,1.00,506,514,0.984436,491,15,0.970356,0.971551,-0.001196,-0.605000,-0.001177,0.6375346562,11,9,0.818182,0.002295,0,0.000000,0
60,0.70-0.80,0.70,0.80,15,514,0.029183,14,1,0.933333,0.803200,0.130133,1.952000,0.003798,0.1719056047,10,9,0.900000,0.001417,0,0.000000,0
60,0.70-0.90,0.70,0.90,38,514,0.073930,34,4,0.894737,0.841763,0.052974,2.013000,0.003916,0.2575660623,14,11,0.785714,0.001002,22,0.002446,1
60,0.70-1.00,0.70,1.00,492,514,0.957198,482,10,0.979675,0.980024,-0.000350,-0.172000,-0.000335,0.6064844135,11,9,0.818182,0.001217,0,0.000000,0
60,0.80-0.90,0.80,0.90,23,514,0.044747,20,3,0.869565,0.866913,0.002652,0.061000,0.000119,0.6329901089,10,7,0.700000,0.000568,22,0.002446,1
60,0.80-1.00,0.80,1.00,477,514,0.928016,468,9,0.981132,0.985585,-0.004453,-2.124000,-0.004132,0.8519840955,9,7,0.777778,0.000995,0,0.000000,0
60,0.90-1.00,0.90,1.00,454,514,0.883268,448,6,0.986784,0.991597,-0.004813,-2.185000,-0.004251,0.9115790614,5,4,0.800000,0.000193,0,0.000000,0
120,0.50-0.60,0.50,0.60,25,545,0.045872,15,10,0.600000,0.565240,0.034760,0.869000,0.001594,0.4443631052,6,1,0.166667,-0.003734,22,0.002446,0
120,0.50-0.70,0.50,0.70,60,545,0.110092,39,21,0.650000,0.635700,0.014300,0.858000,0.001574,0.4659738243,12,5,0.416667,-0.004213,22,0.002446,0
120,0.50-0.80,0.50,0.80,96,545,0.176147,68,28,0.708333,0.693854,0.014479,1.390000,0.002550,0.4250666757,16,8,0.500000,-0.004626,22,0.002446,0
120,0.50-0.90,0.50,0.90,145,545,0.266055,111,34,0.765517,0.755600,0.009917,1.438000,0.002639,0.4306846595,17,9,0.529412,-0.004940,22,0.002446,0
120,0.50-1.00,0.50,1.00,545,545,1.000000,507,38,0.930275,0.925237,0.005039,2.746000,0.005039,0.3452337017,11,5,0.454545,-0.005292,22,0.002446,0
120,0.60-0.70,0.60,0.70,35,545,0.064220,24,11,0.685714,0.686029,-0.000314,-0.011000,-0.000020,0.5824745845,14,7,0.500000,-0.004245,0,0.000000,0
120,0.60-0.80,0.60,0.80,71,545,0.130275,53,18,0.746479,0.739141,0.007338,0.521000,0.000956,0.5059569362,21,11,0.523810,-0.004293,22,0.002446,0
120,0.60-0.90,0.60,0.90,120,545,0.220183,96,24,0.800000,0.795258,0.004742,0.569000,0.001044,0.5018562761,25,13,0.520000,-0.004185,22,0.002446,0
120,0.60-1.00,0.60,1.00,520,545,0.954128,492,28,0.946154,0.942544,0.003610,1.877000,0.003444,0.3961489392,17,8,0.470588,-0.004023,22,0.002446,0
120,0.70-0.80,0.70,0.80,36,545,0.066055,29,7,0.805556,0.790778,0.014778,0.532000,0.000976,0.510411579,15,8,0.533333,-0.002956,22,0.002446,0
120,0.70-0.90,0.70,0.90,85,545,0.155963,72,13,0.847059,0.840235,0.006824,0.580000,0.001064,0.5034195866,22,12,0.545455,-0.002370,22,0.002446,0
120,0.70-1.00,0.70,1.00,485,545,0.889908,468,17,0.964948,0.961056,0.003893,1.888000,0.003464,0.3754831896,17,9,0.529412,-0.001965,22,0.002446,0
120,0.80-0.90,0.80,0.90,49,545,0.089908,43,6,0.877551,0.876571,0.000980,0.048000,0.000088,0.5983607858,16,9,0.562500,-0.001126,22,0.002446,0
120,0.80-1.00,0.80,1.00,449,545,0.823853,439,10,0.977728,0.974708,0.003020,1.356000,0.002488,0.4109869059,14,8,0.571429,-0.000710,22,0.002446,0
120,0.90-1.00,0.90,1.00,400,545,0.733945,396,4,0.990000,0.986730,0.003270,1.308000,0.002400,0.3840207526,8,5,0.625000,0.000240,22,0.002446,0
180,0.50-0.60,0.50,0.60,43,575,0.074783,20,23,0.465116,0.577953,-0.112837,-4.852000,-0.008438,0.9502703761,8,3,0.375000,-0.001490,0,0.000000,0
180,0.50-0.70,0.50,0.70,84,575,0.146087,46,38,0.547619,0.626738,-0.079119,-6.646000,-0.011558,0.9465963866,14,7,0.500000,-0.002440,0,0.000000,0
180,0.50-0.80,0.50,0.80,137,575,0.238261,81,56,0.591241,0.687810,-0.096569,-13.230000,-0.023009,0.9943817197,17,8,0.470588,-0.003200,0,0.000000,0
180,0.50-0.90,0.50,0.90,197,575,0.342609,133,64,0.675127,0.744594,-0.069467,-13.685000,-0.023800,0.9908102004,17,8,0.470588,-0.004641,0,0.000000,0
180,0.50-1.00,0.50,1.00,575,575,1.000000,507,68,0.881739,0.900943,-0.019203,-11.042000,-0.019203,0.9619904424,11,4,0.363636,-0.005285,0,0.000000,0
180,0.60-0.70,0.60,0.70,41,575,0.071304,26,15,0.634146,0.677902,-0.043756,-1.794000,-0.003120,0.7813727901,17,9,0.529412,-0.002889,0,0.000000,0
180,0.60-0.80,0.60,0.80,94,575,0.163478,61,33,0.648936,0.738064,-0.089128,-8.378000,-0.014570,0.9800934566,23,11,0.478261,-0.003611,0,0.000000,0
180,0.60-0.90,0.60,0.90,154,575,0.267826,113,41,0.733766,0.791123,-0.057357,-8.833000,-0.015362,0.9680832121,26,12,0.461538,-0.004623,0,0.000000,0
180,0.60-1.00,0.60,1.00,532,575,0.925217,487,45,0.915414,0.927049,-0.011635,-6.190000,-0.010765,0.8850949617,17,6,0.352941,-0.005465,0,0.000000,0
180,0.70-0.80,0.70,0.80,53,575,0.092174,35,18,0.660377,0.784604,-0.124226,-6.584000,-0.011450,0.9883621598,17,8,0.470588,-0.002506,0,0.000000,0
180,0.70-0.90,0.70,0.90,113,575,0.196522,87,26,0.769912,0.832204,-0.062292,-7.039000,-0.012242,0.9686054985,23,11,0.478261,-0.003184,0,0.000000,0
180,0.70-1.00,0.70,1.00,491,575,0.853913,461,30,0.938900,0.947853,-0.008953,-4.396000,-0.007645,0.8526416564,17,7,0.411765,-0.003685,0,0.000000,0
180,0.80-0.90,0.80,0.90,60,575,0.104348,52,8,0.866667,0.874250,-0.007583,-0.455000,-0.000791,0.6607218213,17,9,0.529412,-0.002607,0,0.000000,0
180,0.80-1.00,0.80,1.00,438,575,0.761739,426,12,0.972603,0.967607,0.004995,2.188000,0.003805,0.3302644333,14,6,0.428571,-0.003029,22,0.002446,0
180,0.90-1.00,0.90,1.00,378,575,0.657391,374,4,0.989418,0.982426,0.006992,2.643000,0.004597,0.2021720735,8,4,0.500000,-0.002107,22,0.002446,0
240,0.50-0.60,0.50,0.60,38,575,0.066087,21,17,0.552632,0.570579,-0.017947,-0.682000,-0.001186,0.653141351,8,2,0.250000,-0.007476,0,0.000000,0
240,0.50-0.70,0.50,0.70,98,575,0.170435,62,36,0.632653,0.633796,-0.001143,-0.112000,-0.000195,0.554968505,14,4,0.285714,-0.009028,0,0.000000,0
240,0.50-0.80,0.50,0.80,163,575,0.283478,115,48,0.705521,0.692239,0.013282,2.165000,0.003765,0.3903013265,17,2,0.117647,-0.012515,5,0.002908,0
240,0.50-0.90,0.50,0.90,245,575,0.426087,183,62,0.746939,0.753310,-0.006371,-1.561000,-0.002715,0.6280866963,17,2,0.117647,-0.014503,0,0.000000,0
240,0.50-1.00,0.50,1.00,575,575,1.000000,502,73,0.873043,0.881701,-0.008657,-4.978000,-0.008657,0.7831882291,11,0,0.000000,-0.015910,0,0.000000,0
240,0.60-0.70,0.60,0.70,60,575,0.104348,41,19,0.683333,0.673833,0.009500,0.570000,0.000991,0.4986604839,17,5,0.294118,-0.007894,5,0.002908,0
240,0.60-0.80,0.60,0.80,125,575,0.217391,94,31,0.752000,0.729224,0.022776,2.847000,0.004951,0.3205919706,23,4,0.173913,-0.010430,5,0.002908,0
240,0.60-0.90,0.60,0.90,207,575,0.360000,162,45,0.782609,0.786855,-0.004246,-0.879000,-0.001529,0.6002498542,26,4,0.153846,-0.011301,0,0.000000,0
240,0.60-1.00,0.60,1.00,537,575,0.933913,481,56,0.895717,0.903717,-0.008000,-4.296000,-0.007471,0.7771121391,17,0,0.000000,-0.012687,0,0.000000,0
240,0.70-0.80,0.70,0.80,65,575,0.113043,53,12,0.815385,0.780354,0.035031,2.277000,0.003960,0.3032806258,17,3,0.176471,-0.007892,5,0.002908,0
240,0.70-0.90,0.70,0.90,147,575,0.255652,121,26,0.823129,0.832986,-0.009857,-1.449000,-0.002520,0.6756750618,23,4,0.173913,-0.007891,0,0.000000,0
240,0.70-1.00,0.70,1.00,477,575,0.829565,440,37,0.922432,0.932633,-0.010201,-4.866000,-0.008463,0.8483352077,17,1,0.058824,-0.008262,0,0.000000,0
240,0.80-0.90,0.80,0.90,82,575,0.142609,68,14,0.829268,0.874707,-0.045439,-3.726000,-0.006480,0.9168952799,17,5,0.294118,-0.003922,0,0.000000,0
240,0.80-1.00,0.80,1.00,412,575,0.716522,387,25,0.939320,0.956658,-0.017337,-7.143000,-0.012423,0.9663508507,14,3,0.214286,-0.003865,0,0.000000,0
240,0.90-1.00,0.90,1.00,330,575,0.573913,319,11,0.966667,0.977021,-0.010355,-3.417000,-0.005943,0.9205447752,8,3,0.375000,-0.002638,0,0.000000,0
300,0.50-0.60,0.50,0.60,68,576,0.118056,40,28,0.588235,0.579926,0.008309,0.565000,0.000981,0.496202756,8,1,0.125000,-0.010293,1,0.000981,0
