timestamp_utc,kalshi_timestamp_utc,kalshi_ticker,kalshi_title,kalshi_event_ticker,kalshi_close_time,kalshi_status,kalshi_yes_bid,kalshi_yes_ask,kalshi_no_bid,kalshi_no_ask,kalshi_yes_mid,kalshi_last_price,kalshi_volume,kalshi_open_interest,kalshi_best_yes_bid_qty,kalshi_best_no_bid_qty,polymarket_timestamp_utc,polymarket_ticker,polymarket_title,polymarket_event_ticker,polymarket_close_time,polymarket_status,polymarket_yes_bid,polymarket_yes_ask,polymarket_no_bid,polymarket_no_ask,polymarket_yes_mid,polymarket_last_price,polymarket_volume,polymarket_open_interest,polymarket_best_yes_bid_qty,polymarket_best_no_bid_qty,source_timestamp_utc,kalshi_btc_source,kalshi_btc_price,kalshi_btc_target,polymarket_btc_source,polymarket_btc_price,polymarket_btc_target,k_plus_np,nk_plus_p,polymarket_error
2026-05-17T03:06:07.715Z,2026-05-17T03:06:05.504Z,KXBTC15M-26MAY162315-15,BTC price up in next 15 mins?,KXBTC15M-26MAY162315,2026-05-17T03:15:00Z,active,0.89,0.9,0.1,0.11,0.895,0.86,201563.23,122282.67,29.4,2.0,2026-05-17T03:06:06.141Z,btc-updown-15m-1778986800,"Bitcoin Up or Down - May 16, 11:00PM-11:15PM ET",btc-updown-15m-1778986800,2026-05-17T03:15:00Z,,0.87,0.88,0.12,0.13,0.875,0.51,67.598625,,166.71,156.8,2026-05-17T03:06:07.715Z,BRTI,77945.08,77879.55,Polymarket RTDS,77944.87606513164,77875.2,1.03,0.99,
2026-05-17T03:06:09.151Z,2026-05-17T03:06:07.964Z,KXBTC15M-26MAY162315-15,BTC price up in next 15 mins?,KXBTC15M-26MAY162315,2026-05-17T03:15:00Z,active,0.86,0.87,0.13,0.14,0.865,0.86,201563.23,122282.67,1.0,183.7,2026-05-17T03:06:08.201Z,btc-updown-15m-1778986800,"Bitcoin Up or Down - May 16, 11:00PM-11:15PM ET",btc-updown-15m-1778986800,2026-05-17T03:15:00Z,,0.84,0.85,0.15,0.16,0.845,0.51,67.598625,,132.15,37.0,2026-05-17T03:06:09.151Z,BRTI,77947.27,77879.55,Polymarket RTDS,77941.0000447895,77875.2,1.03,0.99,
2026-05-17T03:06:13.119Z,2026-05-17T03:06:10.437Z,KXBTC15M-26MAY162315-15,BTC price up in next 15 mins?,KXBTC15M-26MAY162315,2026-05-17T03:15:00Z,active,0.85,0.86,0.14,0.15,0.855,0.86,201563.23,122282.67,19.3,154.68,2026-05-17T03:06:10.991Z,btc-updown-15m-1778986800,"Bitcoin Up or Down - May 16, 11:00PM-11:15PM ET",btc-updown-15m-1778986800,2026-05-17T03:15:00Z,,0.83,0.84,0.16,0.17,0.835,0.51,67.598625,,156.2,306.7,2026-05-17T03:06:13.119Z,BRTI,77947.25,77879.55,Polymarket RTDS,77934.91609920746,77875.2,1.03,0.99,
2026-05-17T03:06:15.132Z,2026-05-17T03:06:13.884Z,KXBTC15M-26MAY162315-15,BTC price up in next 15 mins?,KXBTC15M-26MAY162315,2026-05-17T03:15:00Z,active,0.83,0.84,0.16,0.17,0.835,0.86,201563.23,122282.67,41.16,1722.07,2026-05-17T03:06:14.127Z,btc-updown-15m-1778986800,"Bitcoin Up or Down - May 16, 11:00PM-11:15PM ET",btc-updown-15m-1778986800,2026-05-17T03:15:00Z,,0.8,0.81,0.19,0.2,0.805,0.51,67.598625,,175.58,4.03,2026-05-17T03:06:15.132Z,BRTI,77947.78,77879.55,Polymarket RTDS,77931.20894,77875.2,1.04,0.9800000000000001,
2026-05-17T03:06:17.361Z,2026-05-17T03:06:16.111Z,KXBTC15M-26MAY162315-15,BTC price up in next 15 mins?,KXBTC15M-26MAY162315,2026-05-17T03:15:00Z,active,0.81,0.82,0.18,0.19,0.815,0.86,201563.23,122282.67,33.51,1768.22,2026-05-17T03:06:16.436Z,btc-updown-15m-1778986800,"Bitcoin Up or Down - May 16, 11:00PM-11:15PM ET",btc-updown-15m-1778986800,2026-05-17T03:15:00Z,,0.79,0.8,0.2,0.21,0.795,0.51,67.598625,,5.0,47.81,2026-05-17T03:06:17.361Z,BRTI,77944.35,77879.55,Polymarket RTDS,77925.54814436405,77875.2,1.03,0.99,
2026-05-17T03:06:18.705Z,2026-05-17T03:06:17.603Z,KXBTC15M-26MAY162315-15,BTC price up in next 15 mins?,KXBTC15M-26MAY162315,2026-05-17T03:15:00Z,active,0.79,0.81,0.19,0.21,0.8,0.86,201563.23,122282.67,1352.53,141.0,2026-05-17T03:06:17.788Z,btc-updown-15m-1778986800,"Bitcoin Up or Down - May 16, 11:00PM-11:15PM ET",btc-updown-15m-1778986800,2026-05-17T03:15:00Z,,0.78,0.79,0.21,0.22,0.785,0.51,67.598625,,95.9,60.0,2026-05-17T03:06:18.705Z,BRTI,77947.78,77879.55,Polymarket RTDS,77925.29217565125,77875.2,1.03,1.0,
2026-05-17T03:06:20.834Z,2026-05-17T03:06:19.613Z,KXBTC15M-26MAY162315-15,BTC price up in next 15 mins?,KXBTC15M-26MAY162315,2026-05-17T03:15:00Z,active,0.79,0.81,0.19,0.21,0.8,0.86,201563.23,122282.67,1631.34,126.0,2026-05-17T03:06:19.890Z,btc-updown-15m-1778986800,"Bitcoin Up or Down - May 16, 11:00PM-11:15PM ET",btc-updown-15m-1778986800,2026-05-17T03:15:00Z,,0.78,0.79,0.21,0.22,0.785,0.51,67.598625,,230.46,67.68,2026-05-17T03:06:20.834Z,BRTI,77946.87,77879.55,Polymarket RTDS,77925.23040881644,77875.2,1.03,1.0,
2026-05-17T03:06:22.825Z,2026-05-17T03:06:21.684Z,KXBTC15M-26MAY162315-15,BTC price up in next 15 mins?,KXBTC15M-26MAY162315,2026-05-17T03:15:00Z,active,0.81,0.83,0.17,0.19,0.8200000000000001,0.86,201563.23,122282.67,123.77,149.0,2026-05-17T03:06:21.949Z,btc-updown-15m-1778986800,"Bitcoin Up or Down - May 16, 11:00PM-11:15PM ET",btc-updown-15m-1778986800,2026-05-17T03:15:00Z,,0.78,0.8,0.2,0.22,0.79,0.51,67.598625,,153.01,166.25,2026-05-17T03:06:22.825Z,BRTI,77947.25,77879.55,Polymarket RTDS,77925.16301458342,77875.2,1.05,0.99,
2026-05-17T03:06:24.759Z,2026-05-17T03:06:23.602Z,KXBTC15M-26MAY162315-15,BTC price up in next 15 mins?,KXBTC15M-26MAY162315,2026-05-17T03:15:00Z,active,0.8,0.83,0.17,0.2,0.815,0.86,201563.23,122282.67,2804.58,278.0,2026-05-17T03:06:23.782Z,btc-updown-15m-1778986800,"Bitcoin Up or Down - May 16, 11:00PM-11:15PM ET",btc-updown-15m-1778986800,2026-05-17T03:15:00Z,,0.79,0.8,0.2,0.21,0.795,0.51,67.598625,,139.72,139.7,2026-05-17T03:06:24.759Z,BRTI,77946.87,77879.55,Polymarket RTDS,77926.01694664317,77875.2,1.04,1.0,
2026-05-17T03:06:26.811Z,2026-05-17T03:06:25.606Z,KXBTC15M-26MAY162315-15,BTC price up in next 15 mins?,KXBTC15M-26MAY162315,2026-05-17T03:15:00Z,active,0.8,0.82,0.18,0.2,0.81,0.86,201563.23,122282.67,218.94,1592.66,2026-05-17T03:06:25.830Z,btc-updown-15m-1778986800,"Bitcoin Up or Down - May 16, 11:00PM-11:15PM ET",btc-updown-15m-1778986800,2026-05-17T03:15:00Z,,0.79,0.8,0.2,0.21,0.795,0.51,67.598625,,133.71,124.52,2026-05-17T03:06:26.811Z,BRTI,77947.25,77879.55,Polymarket RTDS,77925.98422873333,77875.2,1.03,1.0,
2026-05-17T03:06:28.728Z,2026-05-17T03:06:27.598Z,KXBTC15M-26MAY162315-15,BTC price up in next 15 mins?,KXBTC15M-26MAY162315,2026-05-17T03:15:00Z,active,0.8,0.81,0.19,0.2,0.805,0.82,209291.76,121623.30,100.0,159.0,2026-05-17T03:06:27.850Z,btc-updown-15m-1778986800,"Bitcoin Up or Down - May 16, 11:00PM-11:15PM ET",btc-updown-15m-1778986800,2026-05-17T03:15:00Z,,0.79,0.8,0.2,0.21,0.795,0.51,67.598625,,150.71,23.93,2026-05-17T03:06:28.728Z,BRTI,77947.27,77879.55,Polymarket RTDS,77926.00233009571,77875.2,1.02,1.0,
2026-05-17T03:06:30.803Z,2026-05-17T03:06:29.609Z,KXBTC15M-26MAY162315-15,BTC price up in next 15 mins?,KXBTC15M-26MAY162315,2026-05-17T03:15:00Z,active,0.8,0.81,0.19,0.2,0.805,0.82,209291.76,121623.30,18.66,141.24,2026-05-17T03:06:29.837Z,btc-updown-15m-1778986800,"Bitcoin Up or Down - May 16, 11:00PM-11:15PM ET",btc-updown-15m-1778986800,2026-05-17T03:15:00Z,,0.79,0.81,0.19,0.21,0.8,0.51,67.598625,,156.71,170.93,2026-05-17T03:06:30.803Z,BRTI,77944.75,77879.55,Polymarket RTDS,77925.91565915551,77875.2,1.02,1.01,
2026-05-17T03:06:32.804Z,2026-05-17T03:06:31.610Z,KXBTC15M-26MAY162315-15,BTC price up in next 15 mins?,KXBTC15M-26MAY162315,2026-05-17T03:15:00Z,active,0.79,0.81,0.19,0.21,0.8,0.82,209291.76,121623.30,209.43,47.85,2026-05-17T03:06:31.914Z,btc-updown-15m-1778986800,"Bitcoin Up or Down - May 16, 11:00PM-11:15PM ET",btc-updown-15m-1778986800,2026-05-17T03:15:00Z,,0.8,0.81,0.19,0.2,0.805,0.51,67.598625,,57.91,156.65,2026-05-17T03:06:32.804Z,BRTI,77947.27,77879.55,Polymarket RTDS,77925.97430576842,77875.2,1.01,1.02,
