feature,importance,importance_normalized,importance_type
polymarket_bid_ask_spread_yes,1.514994931418988,0.22217167691251094,abs_coefficient
k_plus_np,1.008484302314133,0.1478926720733096,abs_coefficient
nk_plus_p,0.9697319638515246,0.14220970123164822,abs_coefficient
arb_available,0.6336675171645678,0.09292636692954342,abs_coefficient
kalshi_btc_price_roll10_mean,0.36577043511213764,0.0536396718223792,abs_coefficient
kalshi_bid_ask_spread_yes,0.34305163584315135,0.05030799484686496,abs_coefficient
feeds_on_same_side_x_elapsed_fraction,0.31621452783526655,0.046372374227983196,abs_coefficient
implied_prob_spread_roll10_std,0.30252234355006574,0.04436443645858818,abs_coefficient
price_spread_roll10_std,0.28874200596726707,0.0423435711436638,abs_coefficient
time_to_close_seconds,0.18145844880083642,0.026610602467339425,abs_coefficient
elapsed_fraction,0.18145844880083417,0.026610602467339095,abs_coefficient
kalshi_btc_price_roll10_std,0.11843845328282403,0.01736881703764049,abs_coefficient
polymarket_distance_to_target,0.09175278656525532,0.013455405051095071,abs_coefficient
price_spread_abs_x_elapsed_fraction,0.061425353703363786,0.009007933659842874,abs_coefficient
kalshi_btc_price_lag10,0.06011502860821132,0.008815776499674754,abs_coefficient
feeds_on_same_side,0.06006004201476829,0.008807712800305475,abs_coefficient
kalshi_distance_to_target,0.04946584550080974,0.007254090173434851,abs_coefficient
spread_vs_distance_ratio,0.048584962754979366,0.007124910073392452,abs_coefficient
kalshi_last_price,0.044523308362447125,0.006529274702795697,abs_coefficient
kalshi_btc_price_lag5,0.03308821019443315,0.004852335141507997,abs_coefficient
price_spread_abs,0.02952350466597643,0.004329576557613106,abs_coefficient
price_spread,0.028934308748631402,0.0042431718824080585,abs_coefficient
implied_prob_spread,0.026890029932043334,0.003943381537675555,abs_coefficient
spread_vs_distance_ratio_x_elapsed_fraction,0.018924941119717584,0.002775313512171326,abs_coefficient
polymarket_error_flag,0.01611719499316596,0.002363561860503217,abs_coefficient
polymarket_yes_mid,0.008701846557399763,0.0012761124158231195,abs_coefficient
kalshi_btc_price_momentum_10,0.006783537865699362,0.000994795396186798,abs_coefficient
kalshi_btc_price_momentum_5,0.004699653003409638,0.000689196885758869,abs_coefficient
polymarket_order_book_imbalance,0.0020920521557975928,0.0003067962314610813,abs_coefficient
kalshi_order_book_imbalance,0.0017217357897280443,0.00025248990585459305,abs_coefficient
kalshi_yes_mid,0.0010888494246990561,0.00015967809368446588,abs_coefficient
