elapsed_bin,elapsed_midpoint,rows,contracts,diverge_rate,auc_roc,brier
0.0-0.1,0.05,8343,232,0.07671101522234208,0.6257186729196418,0.07049222968038181
0.1-0.2,0.15000000000000002,10356,232,0.07734646581691773,0.6286636732864662,0.07094246573847271
0.2-0.3,0.25,10379,232,0.07746411022256479,0.6606739150201992,0.07043705823369885
0.3-0.4,0.35000000000000003,10363,232,0.0780661970471871,0.6555745326868833,0.07070662856466635
0.4-0.5,0.45,10327,232,0.07785416868403215,0.6771183852866299,0.07011507843440819
0.5-0.6,0.55,10369,232,0.07734593499855338,0.7008122528423375,0.06918183450407588
0.6-0.7,0.6500000000000001,10348,232,0.07750289911093931,0.7396793868043071,0.06876626868196216
0.7-0.8,0.75,10357,232,0.07772521000289659,0.7613791654962182,0.06840360229882896
0.8-0.9,0.8500000000000001,10353,232,0.0777552400270453,0.8521529662483378,0.06560884480094885
0.9-1.0,0.95,10359,232,0.07742060044405831,0.8806725208533548,0.06019683680358872
