contract_id,baseline_entry_time,baseline_direction,baseline_all_in_cost,diverge,trade_quality,taken_by_any_2_1_latch_hold,good_missed,bad_avoided
KXBTC15M-26MAY170030-30,2026-05-17 04:28:31.780000+00:00,NK+P,0.72243472,0,good,True,False,False
KXBTC15M-26MAY170145-45,2026-05-17 05:43:01.560000+00:00,NK+P,0.88694925,1,bad,False,False,True
KXBTC15M-26MAY170345-45,2026-05-17 07:44:18.938000+00:00,NK+P,0.47883748000000004,0,good,True,False,False
KXBTC15M-26MAY170500-00,2026-05-17 08:58:00.795000+00:00,NK+P,0.439452,1,bad,False,False,True
KXBTC15M-26MAY170530-30,2026-05-17 09:28:01.531000+00:00,K+NP,0.490377,1,bad,False,False,True
KXBTC15M-26MAY170800-00,2026-05-17 11:58:01.016000+00:00,K+NP,0.9177970000000001,1,bad,False,False,True
KXBTC15M-26MAY170915-15,2026-05-17 13:13:00.466000+00:00,K+NP,0.6853338800000001,0,good,True,False,False
KXBTC15M-26MAY170930-30,2026-05-17 13:28:02.237000+00:00,K+NP,0.9483870000000001,1,bad,False,False,True
KXBTC15M-26MAY171015-15,2026-05-17 14:13:00.397000+00:00,K+NP,0.60744325,0,good,True,False,False
KXBTC15M-26MAY171145-45,2026-05-17 15:43:00.091000+00:00,K+NP,0.818677,0,good,True,False,False
KXBTC15M-26MAY171245-45,2026-05-17 16:43:01.274000+00:00,NK+P,0.92472688,0,good,False,True,False
KXBTC15M-26MAY171515-15,2026-05-17 19:13:01.208000+00:00,NK+P,0.9690670000000001,0,good,True,False,False
KXBTC15M-26MAY171645-45,2026-05-17 20:43:12.147000+00:00,NK+P,0.9692200000000001,1,bad,False,False,True
KXBTC15M-26MAY171930-30,2026-05-17 23:28:14.903000+00:00,K+NP,0.9217449999999999,0,good,True,False,False
KXBTC15M-26MAY172100-00,2026-05-18 00:59:05.325000+00:00,NK+P,0.49568936999999996,0,good,True,False,False
KXBTC15M-26MAY172130-30,2026-05-18 01:28:00.585000+00:00,K+NP,0.67099933,0,good,True,False,False
KXBTC15M-26MAY172200-00,2026-05-18 01:58:34.361000+00:00,NK+P,0.8488597199999999,0,good,True,False,False
KXBTC15M-26MAY172215-15,2026-05-18 02:14:29.699000+00:00,NK+P,0.69301972,0,good,True,False,False
KXBTC15M-26MAY172230-30,2026-05-18 02:29:46.465000+00:00,K+NP,0.7517597199999999,0,good,True,False,False
KXBTC15M-26MAY180100-00,2026-05-18 04:58:02.270000+00:00,NK+P,0.944233,0,good,True,False,False
KXBTC15M-26MAY180130-30,2026-05-18 05:28:00.790000+00:00,NK+P,0.9595063699999999,1,bad,False,False,True
KXBTC15M-26MAY180230-30,2026-05-18 06:29:00.790000+00:00,K+NP,0.87029888,0,good,True,False,False
KXBTC15M-26MAY180330-30,2026-05-18 07:28:48.386000+00:00,NK+P,0.9693642,0,good,True,False,False
KXBTC15M-26MAY180515-15,2026-05-18 09:13:01.246000+00:00,K+NP,0.8831415699999999,0,good,True,False,False
KXBTC15M-26MAY180530-30,2026-05-18 09:28:05.698000+00:00,K+NP,0.9651569999999999,0,good,True,False,False
KXBTC15M-26MAY180715-15,2026-05-18 11:13:00.909000+00:00,K+NP,0.8399800000000001,0,good,True,False,False
KXBTC15M-26MAY181030-30,2026-05-18 14:28:18.056000+00:00,NK+P,0.96202717,0,good,True,False,False
KXBTC15M-26MAY181430-30,2026-05-18 18:28:06.776000+00:00,K+NP,0.8488597199999999,0,good,True,False,False
KXBTC15M-26MAY181545-45,2026-05-18 19:43:09.489000+00:00,NK+P,0.87991817,0,good,False,True,False
KXBTC15M-26MAY181600-00,2026-05-18 19:59:07.377000+00:00,K+NP,0.8882829999999999,1,bad,False,False,True
KXBTC15M-26MAY181845-45,2026-05-18 22:43:07.710000+00:00,K+NP,0.42637388,0,good,True,False,False
KXBTC15M-26MAY190200-00,2026-05-19 05:58:00.529000+00:00,K+NP,0.694717,0,good,True,False,False
KXBTC15M-26MAY190230-30,2026-05-19 06:28:18.059000+00:00,K+NP,0.8490279999999999,0,good,True,False,False
KXBTC15M-26MAY190315-15,2026-05-19 07:13:26.833000+00:00,NK+P,0.52066477,0,good,True,False,False
KXBTC15M-26MAY190445-45,2026-05-19 08:43:01.310000+00:00,NK+P,0.69408937,0,good,True,False,False
KXBTC15M-26MAY190515-15,2026-05-19 09:13:02.164000+00:00,K+NP,0.8589279999999999,0,good,True,False,False
KXBTC15M-26MAY190645-45,2026-05-19 10:43:04.714000+00:00,K+NP,0.9416049500000001,0,good,False,True,False
KXBTC15M-26MAY190815-15,2026-05-19 12:13:13.284000+00:00,NK+P,0.63045052,0,good,True,False,False
KXBTC15M-26MAY191730-30,2026-05-19 21:28:26.722000+00:00,NK+P,0.946612,0,good,True,False,False
KXBTC15M-26MAY191845-45,2026-05-19 22:43:02.040000+00:00,NK+P,0.8015043700000001,0,good,True,False,False
KXBTC15M-26MAY191930-30,2026-05-19 23:28:32.167000+00:00,NK+P,0.81013972,0,good,True,False,False
KXBTC15M-26MAY192045-45,2026-05-20 00:43:09.910000+00:00,NK+P,0.895867,1,bad,False,False,True
KXBTC15M-26MAY192345-45,2026-05-20 03:43:00.594000+00:00,K+NP,0.652348,0,good,True,False,False
KXBTC15M-26MAY200015-15,2026-05-20 04:13:21.506000+00:00,NK+P,0.92371933,0,good,True,False,False
KXBTC15M-26MAY200500-00,2026-05-20 08:58:01.329000+00:00,K+NP,0.83593552,0,good,True,False,False
KXBTC15M-26MAY200515-15,2026-05-20 09:13:01.913000+00:00,K+NP,0.94809132,0,good,False,True,False
KXBTC15M-26MAY200730-30,2026-05-20 11:28:00.789000+00:00,K+NP,0.438508,0,good,False,True,False
KXBTC15M-26MAY200900-00,2026-05-20 12:59:21.981000+00:00,NK+P,0.81983472,0,good,True,False,False
KXBTC15M-26MAY201000-00,2026-05-20 13:58:00.805000+00:00,NK+P,0.953513,0,good,True,False,False
KXBTC15M-26MAY201545-45,2026-05-20 19:43:18.920000+00:00,NK+P,0.96512937,0,good,False,True,False
KXBTC15M-26MAY201815-15,2026-05-20 22:13:12.414000+00:00,K+NP,0.52463472,0,good,True,False,False
KXBTC15M-26MAY201845-45,2026-05-20 22:43:00.502000+00:00,NK+P,0.896955,0,good,False,True,False
KXBTC15M-26MAY202145-45,2026-05-21 01:43:00.502000+00:00,NK+P,0.938605,0,good,True,False,False
KXBTC15M-26MAY202330-30,2026-05-21 03:28:00.491000+00:00,NK+P,0.30991933,0,good,True,False,False
KXBTC15M-26MAY210100-00,2026-05-21 04:58:42.902000+00:00,NK+P,0.57873748,0,good,True,False,False
KXBTC15M-26MAY210115-15,2026-05-21 05:13:00.862000+00:00,K+NP,0.40140433000000003,0,good,True,False,False
KXBTC15M-26MAY210515-15,2026-05-21 09:13:42.553000+00:00,K+NP,0.931248,0,good,False,True,False
KXBTC15M-26MAY210600-00,2026-05-21 09:58:00.554000+00:00,K+NP,0.9579880000000001,0,good,True,False,False
KXBTC15M-26MAY211100-00,2026-05-21 14:58:00.389000+00:00,NK+P,0.8272,1,bad,False,False,True
KXBTC15M-26MAY211130-30,2026-05-21 15:28:20.955000+00:00,NK+P,0.52998157,0,good,True,False,False
KXBTC15M-26MAY211145-45,2026-05-21 15:43:00.432000+00:00,K+NP,0.94066453,0,good,True,False,False
KXBTC15M-26MAY211200-00,2026-05-21 15:58:00.255000+00:00,NK+P,0.9565706799999999,0,good,False,True,False
KXBTC15M-26MAY211300-00,2026-05-21 16:58:00.563000+00:00,NK+P,0.5677232500000001,0,good,True,False,False
