strategy,contracts,model_signal_contracts,trades,trade_rate,divergences,divergence_rate,mean_all_in_cost,hold_mean_return_per_trade,hold_total_return,emergency_full_loss_mean_return_per_trade,emergency_full_loss_total_return,emergency_exit_nondivergences,mean_expected_return_at_entry,would_emergency_exits,would_emergency_exit_rate,mean_return_per_trade,total_return
any_2_1_latch_hold,232,203,168,0.7241379310344828,4,0.023809523809523808,0.7293388930357142,0.24685158315476188,41.47106597,0.22304205934523808,37.47106597,4,0.2234004346033251,5,0.02976190476190476,0.24685158315476188,41.47106597
single_2m_hold,232,144,122,0.5258620689655172,2,0.01639344262295082,0.6826446555737704,0.3009619018032787,36.71735202,0.268175016557377,32.71735202,4,0.2805123034419154,5,0.040983606557377046,0.3009619018032787,36.71735202
require_3m_and_2m_enter_2m,232,114,95,0.40948275862068967,1,0.010526315789473684,0.6690926309473685,0.32038105326315797,30.436200060000004,0.30985473747368425,29.436200060000004,1,0.29799765887540225,1,0.010526315789473684,0.32038105326315797,30.436200060000004
single_1m_hold,232,198,110,0.47413793103448276,3,0.02727272727272727,0.7487328084545456,0.2239944642727273,24.639391070000002,0.2239944642727273,24.639391070000002,0,0.19804832081987064,0,0.0,0.2239944642727273,24.639391070000002
require_2m_and_1m_enter_1m,232,139,64,0.27586206896551724,1,0.015625,0.673661295,0.31071370500000006,19.885677120000004,0.31071370500000006,19.885677120000004,0,0.2886959890115756,0,0.0,0.31071370500000006,19.885677120000004
any_3_2_1_latch_hold,232,206,184,0.7931034482758621,6,0.03260869565217391,0.7414141836413044,0.22597712070652173,41.57979021,0.10641190331521738,19.57979021,22,0.19801084459024024,25,0.1358695652173913,0.22597712070652173,41.57979021
latest_state_entry_hold,232,209,186,0.8017241379310345,6,0.03225806451612903,0.7681887160215053,0.1995532194623656,37.11689882,0.09740268182795699,18.11689882,19,0.17696800105921878,22,0.11827956989247312,0.1995532194623656,37.11689882
require_3m_2m_1m_enter_1m,232,113,51,0.21982758620689655,1,0.0196078431372549,0.6848454205882352,0.29554673627450984,15.07288355,0.29554673627450984,15.07288355,0,0.28198390134766166,0,0.0,0.29554673627450984,15.07288355
single_3m_hold,232,135,124,0.5344827586206896,3,0.024193548387096774,0.7190306269354839,0.2567758246774194,31.84020226,0.10355001822580648,12.840202260000003,19,0.22283543498526656,21,0.1693548387096774,0.2567758246774194,31.84020226
require_5m_and_3m_enter_3m,232,35,30,0.12931034482758622,1,0.03333333333333333,0.6624039553333332,0.3042627113333333,9.12788134,0.3042627113333333,9.12788134,0,0.28087450205839076,0,0.0,0.3042627113333333,9.12788134
any_5_3_2_1_latch_hold,232,209,189,0.8146551724137931,6,0.031746031746031744,0.7691308122751324,0.19912315597883595,37.63427648,0.04568400253968254,8.63427648,29,0.17506562372019596,32,0.1693121693121693,0.19912315597883595,37.63427648
require_all_four_enter_1m,232,35,17,0.07327586206896551,1,0.058823529411764705,0.6969959258823528,0.24418054470588235,4.15106926,0.24418054470588235,4.15106926,0,0.2698405175840064,0,0.0,0.24418054470588235,4.15106926
single_5m_hold,232,44,40,0.1724137931034483,1,0.025,0.8043319087499998,0.17066809125,6.82672365,-0.029331908750000014,-1.1732763500000005,8,0.16196236247943777,8,0.2,0.17066809125,6.82672365
