contract_id,source_file,entry_time,decision_horizon,direction,profit_margin,all_in_cost,fee_adjusted_edge,predicted_diverge_prob,diverge,realized_profit,model_expected_profit,sample
KXBTC15M-26MAY170015-15,combined_KXBTC15M-26MAY170015-15.csv,2026-05-17 04:14:06.774000+00:00,1m,NK+P,0.05,0.9439480000000001,0.05605199999999988,0.09165679809426247,0,0.05605199999999988,-0.03560479809426259,all
KXBTC15M-26MAY170030-30,combined_KXBTC15M-26MAY170030-30.csv,2026-05-17 04:28:31.780000+00:00,2m,NK+P,0.05,0.72243472,0.27756528,0.03399200612509091,0,0.27756528,0.24357327387490912,all
KXBTC15M-26MAY170100-00,combined_KXBTC15M-26MAY170100-00.csv,2026-05-17 04:59:01.479000+00:00,1m,K+NP,0.05,0.91305268,0.08694732000000005,0.05622848470051477,0,0.08694732000000005,0.030718835299485277,all
KXBTC15M-26MAY170115-15,combined_KXBTC15M-26MAY170115-15.csv,2026-05-17 05:14:10.459000+00:00,2m,NK+P,0.05,0.93646437,0.06353562999999995,0.06904803368919683,0,0.06353562999999995,-0.005512403689196879,all
KXBTC15M-26MAY170130-30,combined_KXBTC15M-26MAY170130-30.csv,2026-05-17 05:29:33.751000+00:00,1m,K+NP,0.05,0.9066397199999999,0.09336028000000007,0.030405906294936513,0,0.09336028000000007,0.06295437370506356,all
KXBTC15M-26MAY170200-00,combined_KXBTC15M-26MAY170200-00.csv,2026-05-17 05:59:01.028000+00:00,2m,K+NP,0.05,0.94923748,0.05076252000000003,0.06320249770056417,0,0.05076252000000003,-0.01243997770056414,all
KXBTC15M-26MAY170215-15,combined_KXBTC15M-26MAY170215-15.csv,2026-05-17 06:13:14.365000+00:00,2m,NK+P,0.05,0.7375665699999999,0.2624334300000001,0.05719085573078073,0,0.2624334300000001,0.20524257426921935,all
KXBTC15M-26MAY170245-45,combined_KXBTC15M-26MAY170245-45.csv,2026-05-17 06:44:42.816000+00:00,1m,K+NP,0.05,0.32497388,0.6750261200000001,0.045598172660765345,0,0.6750261200000001,0.6294279473392347,all
KXBTC15M-26MAY170300-00,combined_KXBTC15M-26MAY170300-00.csv,2026-05-17 06:58:43.194000+00:00,2m,NK+P,0.05,0.81120937,0.18879062999999996,0.06309768409763067,0,0.18879062999999996,0.1256929459023693,all
KXBTC15M-26MAY170315-15,combined_KXBTC15M-26MAY170315-15.csv,2026-05-17 07:13:00.144000+00:00,2m,K+NP,0.05,0.873667,0.12633300000000003,0.06453549114899704,0,0.12633300000000003,0.06179750885100299,all
KXBTC15M-26MAY170330-30,combined_KXBTC15M-26MAY170330-30.csv,2026-05-17 07:29:32.163000+00:00,2m,NK+P,0.05,0.602873,0.397127,0.06604246936204519,0,0.397127,0.33108453063795484,all
KXBTC15M-26MAY170345-45,combined_KXBTC15M-26MAY170345-45.csv,2026-05-17 07:44:18.938000+00:00,1m,NK+P,0.05,0.47883748000000004,0.52116252,0.10961831820892574,0,0.52116252,0.4115442017910742,all
KXBTC15M-26MAY170400-00,combined_KXBTC15M-26MAY170400-00.csv,2026-05-17 07:59:16.508000+00:00,1m,NK+P,0.05,0.9450165300000001,0.05498346999999992,0.08368361340261264,0,0.05498346999999992,-0.02870014340261272,all
KXBTC15M-26MAY170415-15,combined_KXBTC15M-26MAY170415-15.csv,2026-05-17 08:14:49.095000+00:00,1m,K+NP,0.05,0.86815972,0.13184028000000003,0.0713451364103183,0,0.13184028000000003,0.060495143589681735,all
KXBTC15M-26MAY170430-30,combined_KXBTC15M-26MAY170430-30.csv,2026-05-17 08:28:01.700000+00:00,2m,K+NP,0.05,0.91623472,0.08376528000000005,0.06850783976094975,0,0.08376528000000005,0.015257440239050304,all
KXBTC15M-26MAY170515-15,combined_KXBTC15M-26MAY170515-15.csv,2026-05-17 09:14:23.166000+00:00,2m,NK+P,0.05,0.5985974799999999,0.4014025200000001,0.06927291737057567,0,0.4014025200000001,0.3321296026294244,all
KXBTC15M-26MAY170630-30,combined_KXBTC15M-26MAY170630-30.csv,2026-05-17 10:28:04.657000+00:00,2m,NK+P,0.05,0.46558437,0.53441563,0.050326087388145015,0,0.53441563,0.484089542611855,all
KXBTC15M-26MAY170645-45,combined_KXBTC15M-26MAY170645-45.csv,2026-05-17 10:43:15.894000+00:00,2m,K+NP,0.05,0.71584825,0.28415175000000004,0.021501546591522955,0,0.28415175000000004,0.26265020340847706,all
KXBTC15M-26MAY170700-00,combined_KXBTC15M-26MAY170700-00.csv,2026-05-17 10:59:00.016000+00:00,1m,K+NP,0.05,0.70925052,0.29074948,0.10800110093379255,0,0.29074948,0.18274837906620744,all
KXBTC15M-26MAY170715-15,combined_KXBTC15M-26MAY170715-15.csv,2026-05-17 11:14:00.404000+00:00,1m,K+NP,0.05,0.8164647700000001,0.18353522999999994,0.0951744527009905,0,0.18353522999999994,0.08836077729900944,all
KXBTC15M-26MAY170745-45,combined_KXBTC15M-26MAY170745-45.csv,2026-05-17 11:43:49.291000+00:00,2m,NK+P,0.05,0.463013,0.536987,0.04376405090547283,0,0.536987,0.4932229490945272,all
KXBTC15M-26MAY170845-45,combined_KXBTC15M-26MAY170845-45.csv,2026-05-17 12:44:38.914000+00:00,1m,NK+P,0.05,0.93539472,0.06460527999999999,0.08242518428163702,0,0.06460527999999999,-0.01781990428163703,all
KXBTC15M-26MAY170915-15,combined_KXBTC15M-26MAY170915-15.csv,2026-05-17 13:13:00.466000+00:00,2m,K+NP,0.05,0.6853338800000001,0.31466611999999994,0.04631182325152213,0,0.31466611999999994,0.2683542967484778,all
