sample,floor_label,polymarket_price_floor,profit_margin,profit_margin_cents,contracts,model_signal_contracts,trades,trade_rate,divergences,divergence_rate,mean_polymarket_price,mean_all_in_cost,mean_fee_adjusted_edge,mean_profit_per_trade,mean_profit_per_contract,total_profit,total_model_expected_profit,bootstrap_expected_total_profit,bootstrap_total_profit_ci_low,bootstrap_total_profit_ci_high,bootstrap_expected_trades,bootstrap_trades_ci_low,bootstrap_trades_ci_high
calibration,none,0.0,0.0,0,232,205,204,0.8793103448275862,10,0.049019607843137254,0.7627745098039216,0.8553557287254901,0.14464427127450982,0.09562466343137256,0.08408375577586208,19.507431340000004,18.880826931379584,19.440205714260003,11.739175713,27.424235480000004,203.95,193.0,213.0
calibration,none,0.0,0.01,1,232,205,202,0.8706896551724138,10,0.04950495049504951,0.7367970297029703,0.8104267326732673,0.18957326732673266,0.14006831683168317,0.12195603448275863,28.2938,27.8449058614444,28.357879205440003,19.275201273999997,36.468500338249996,202.226,191.475,212.0
calibration,none,0.0,0.02,2,232,205,200,0.8620689655172413,10,0.05,0.7066400000000002,0.7746687240500001,0.22533127595,0.17533127595,0.15114765168103447,35.06625519,34.72749287448546,35.29775355216,26.39125041575,43.69941342124999,199.962,189.475,209.52499999999998
calibration,none,0.0,0.03,3,232,205,199,0.8577586206896551,10,0.05025125628140704,0.6939095477386933,0.7514601933165829,0.24853980668341705,0.19828855040201004,0.17008371349137932,39.45942153,39.16919977332447,39.13194557732,30.2195815605,47.45381275775,199.144,188.0,209.0
calibration,none,0.0,0.04,4,232,205,198,0.853448275862069,10,0.050505050505050504,0.6801767676767677,0.7371689476767677,0.2628310523232323,0.2123260018181818,0.18120926017241376,42.040548359999995,41.77153725775878,41.87729693864001,32.92196135225,51.13549161824999,198.132,187.475,208.0
calibration,none,0.0,0.05,5,232,205,195,0.8405172413793104,10,0.05128205128205128,0.6568512820512821,0.7061625736410255,0.29383742635897436,0.24255537507692307,0.2038719747413793,47.29829814,47.17188514374264,47.273964092819995,39.13036525125,55.593970530499995,194.852,184.0,205.0
calibration,none,0.0,0.06,6,232,205,195,0.8405172413793104,10,0.05128205128205128,0.637723076923077,0.6860864613846154,0.3139135386153846,0.2626314873333333,0.2207462932327586,51.21314003,51.08672703374264,51.0625128562,42.674189258,59.46992390875,194.96,183.475,205.0
calibration,none,0.0,0.07,7,232,205,193,0.8318965517241379,10,0.05181347150259067,0.6233212435233161,0.6709061241968912,0.3290938758031088,0.2772804043005181,0.23066861219827584,53.51511803,53.574652353246165,53.370004156460006,45.09951967375,61.683726314999994,193.232,182.0,204.0
calibration,none,0.0,0.08,8,232,205,191,0.8232758620689655,10,0.05235602094240838,0.6162879581151831,0.6633286908900523,0.3366713091099477,0.2843152881675393,0.23406991396551727,54.304220040000004,54.50312520682685,54.59023148872001,45.565818451,62.950641095749994,190.706,180.0,202.0
calibration,none,0.0,0.09,9,232,205,189,0.8146551724137931,10,0.05291005291005291,0.605031746031746,0.6500414433862435,0.34995855661375663,0.2970485037037037,0.24199210000000002,56.1421672,56.41521747563211,56.18555910204,47.6060739515,63.96339852075,189.386,177.0,200.0
calibration,none,0.0,0.1,10,232,205,187,0.8060344827586207,10,0.053475935828877004,0.5984545454545454,0.6426342185026738,0.35736578149732623,0.3038898456684492,0.24494569456896548,56.82740113999999,57.15367501289347,56.8655797407,47.83487157925,64.83268827324999,187.036,175.475,199.0
calibration,none,0.0,0.11,11,232,205,184,0.7931034482758621,10,0.05434782608695652,0.5938097826086957,0.6380388458152175,0.3619611541847827,0.30761332809782604,0.24396919124999997,56.60085236999999,57.049550493132266,56.618050695159994,47.556245632499994,65.50670179875,184.072,171.0,196.0
