contract_id,file,t_seconds,timestamp_utc,close_time,remaining_seconds,yes_mid,selected_side,selected_label,selected_mid,selected_ask,selected_ask_qty,entry_spot,entry_target,entry_delta,spot_agrees,actual_label,actual_side,success,fee,net_pnl,final_price,final_target
KXBTC15M-26JUN011945-45,cli_predictor_polymarket_KXBTC15M-26JUN011945-45.csv,600,2026-06-01T23:34:58.731Z,2026-06-01T23:45:00+00:00,601.269,0.785,YES,1,0.785,0.79,1003.05,71206.21,71167.9,38.310000000012224,True,1,YES,True,0.011613,0.19838699999999995,71439.26,71167.9
KXBTC15M-26JUN011945-45,cli_predictor_polymarket_KXBTC15M-26JUN011945-45.csv,630,2026-06-01T23:34:31.848Z,2026-06-01T23:45:00+00:00,628.152,0.765,YES,1,0.765,0.77,1896.18,71196.82,71167.9,28.920000000012806,True,1,YES,True,0.012397,0.217603,71439.26,71167.9
KXBTC15M-26JUN012000-00,cli_predictor_polymarket_KXBTC15M-26JUN012000-00.csv,600,2026-06-01T23:50:00.897Z,2026-06-02T00:00:00+00:00,599.103,0.615,YES,1,0.615,0.62,193.88,71462.34,71426.05,36.2899999999936,True,0,NO,False,0.016492,-0.636492,71341.19,71426.05
KXBTC15M-26JUN012015-15,cli_predictor_polymarket_KXBTC15M-26JUN012015-15.csv,600,2026-06-02T00:04:58.090Z,2026-06-02T00:15:00+00:00,601.91,0.175,NO,0,0.825,0.83,5382.02,71275.44,71334.79,-59.34999999999127,True,0,NO,True,0.009877000000000004,0.16012300000000004,71164.24,71334.79
KXBTC15M-26JUN012015-15,cli_predictor_polymarket_KXBTC15M-26JUN012015-15.csv,630,2026-06-02T00:04:30.829Z,2026-06-02T00:15:00+00:00,629.171,0.245,NO,0,0.755,0.76,1965.34,71290.1,71334.79,-44.689999999987776,True,0,NO,True,0.012768,0.227232,71164.24,71334.79
KXBTC15M-26JUN012030-30,cli_predictor_polymarket_KXBTC15M-26JUN012030-30.csv,600,2026-06-02T00:20:01.723Z,2026-06-02T00:30:00+00:00,598.277,0.305,NO,0,0.6950000000000001,0.7,173.61,71124.0,71172.07,-48.070000000006985,True,0,NO,True,0.014700000000000003,0.28530000000000005,71107.05,71172.07
KXBTC15M-26JUN012030-30,cli_predictor_polymarket_KXBTC15M-26JUN012030-30.csv,630,2026-06-02T00:19:28.571Z,2026-06-02T00:30:00+00:00,631.429,0.345,NO,0,0.655,0.66,2866.01,71124.35,71172.07,-47.720000000001164,True,0,NO,True,0.015708,0.32429199999999997,71107.05,71172.07
KXBTC15M-26JUN012045-45,cli_predictor_polymarket_KXBTC15M-26JUN012045-45.csv,600,2026-06-02T00:34:57.606Z,2026-06-02T00:45:00+00:00,602.394,0.665,YES,1,0.665,0.67,1234.02,71124.75,71109.28,15.470000000001164,True,0,NO,False,0.015477,-0.685477,71028.41,71109.28
KXBTC15M-26JUN012045-45,cli_predictor_polymarket_KXBTC15M-26JUN012045-45.csv,630,2026-06-02T00:34:31.872Z,2026-06-02T00:45:00+00:00,628.128,0.585,YES,1,0.585,0.59,327.58,71124.75,71109.28,15.470000000001164,True,0,NO,False,0.016933000000000004,-0.606933,71028.41,71109.28
KXBTC15M-26JUN012100-00,cli_predictor_polymarket_KXBTC15M-26JUN012100-00.csv,600,2026-06-02T00:49:59.534Z,2026-06-02T01:00:00+00:00,600.466,0.625,YES,1,0.625,0.63,787.0,71086.45,71072.33,14.119999999995343,True,1,YES,True,0.016317,0.35368299999999997,71189.99,71072.33
KXBTC15M-26JUN012100-00,cli_predictor_polymarket_KXBTC15M-26JUN012100-00.csv,630,2026-06-02T00:49:32.327Z,2026-06-02T01:00:00+00:00,627.673,0.645,YES,1,0.645,0.65,968.14,71094.97,71072.33,22.639999999999418,True,1,YES,True,0.015925,0.33407499999999996,71189.99,71072.33
KXBTC15M-26JUN012115-15,cli_predictor_polymarket_KXBTC15M-26JUN012115-15.csv,600,2026-06-02T01:04:59.534Z,2026-06-02T01:15:00+00:00,600.466,0.4649999999999999,NO,0,0.5350000000000001,0.54,289.0,71242.32,71183.19,59.13000000000466,False,1,YES,False,0.017388,-0.557388,71268.4,71183.19
KXBTC15M-26JUN012115-15,cli_predictor_polymarket_KXBTC15M-26JUN012115-15.csv,630,2026-06-02T01:04:30.416Z,2026-06-02T01:15:00+00:00,629.584,0.535,YES,1,0.535,0.54,4229.38,71256.39,71183.19,73.19999999999709,True,1,YES,True,0.017388,0.44261199999999995,71268.4,71183.19
KXBTC15M-26JUN012130-30,cli_predictor_polymarket_KXBTC15M-26JUN012130-30.csv,600,2026-06-02T01:19:57.145Z,2026-06-02T01:30:00+00:00,602.855,0.265,NO,0,0.735,0.74,72.08,71227.59,71272.39,-44.80000000000291,True,0,NO,True,0.013468000000000003,0.246532,71184.6,71272.39
KXBTC15M-26JUN012130-30,cli_predictor_polymarket_KXBTC15M-26JUN012130-30.csv,630,2026-06-02T01:19:28.806Z,2026-06-02T01:30:00+00:00,631.194,0.285,NO,0,0.7150000000000001,0.72,1594.8,71240.03,71272.39,-32.36000000000058,True,0,NO,True,0.014112000000000001,0.265888,71184.6,71272.39
KXBTC15M-26JUN012145-45,cli_predictor_polymarket_KXBTC15M-26JUN012145-45.csv,600,2026-06-02T01:34:59.699Z,2026-06-02T01:45:00+00:00,600.301,0.0395,NO,0,0.9605,0.961,209.9,70962.81,71164.13,-201.32000000000698,True,0,NO,True,0.002623530000000003,0.03637647000000003,70869.93,71164.13
KXBTC15M-26JUN012145-45,cli_predictor_polymarket_KXBTC15M-26JUN012145-45.csv,630,2026-06-02T01:34:30.899Z,2026-06-02T01:45:00+00:00,629.101,0.0595,NO,0,0.9405,0.941,4508.09,70931.65,71164.13,-232.48000000001048,True,0,NO,True,0.0038863300000000034,0.05511367000000005,70869.93,71164.13
KXBTC15M-26JUN012200-00,cli_predictor_polymarket_KXBTC15M-26JUN012200-00.csv,600,2026-06-02T01:50:02.822Z,2026-06-02T02:00:00+00:00,597.178,0.275,NO,0,0.725,0.73,2284.03,70770.74,70876.67,-105.92999999999302,True,0,NO,True,0.013797000000000002,0.256203,70534.57,70876.67
KXBTC15M-26JUN012200-00,cli_predictor_polymarket_KXBTC15M-26JUN012200-00.csv,630,2026-06-02T01:49:28.734Z,2026-06-02T02:00:00+00:00,631.266,0.295,NO,0,0.7050000000000001,0.71,454.0,70701.79,70876.67,-174.88000000000466,True,0,NO,True,0.014413000000000002,0.275587,70534.57,70876.67
KXBTC15M-26JUN012215-15,cli_predictor_polymarket_KXBTC15M-26JUN012215-15.csv,600,2026-06-02T02:04:57.374Z,2026-06-02T02:15:00+00:00,602.626,0.1149999999999999,NO,0,0.8850000000000001,0.89,6754.76,70511.42,70632.13,-120.7100000000064,True,0,NO,True,0.006853,0.10314699999999999,70119.8,70632.13
KXBTC15M-26JUN012215-15,cli_predictor_polymarket_KXBTC15M-26JUN012215-15.csv,630,2026-06-02T02:04:32.247Z,2026-06-02T02:15:00+00:00,627.753,0.135,NO,0,0.865,0.87,21.41,70571.74,70632.13,-60.38999999999942,True,0,NO,True,0.007917,0.122083,70119.8,70632.13
KXBTC15M-26JUN012230-30,cli_predictor_polymarket_KXBTC15M-26JUN012230-30.csv,600,2026-06-02T02:19:58.406Z,2026-06-02T02:30:00+00:00,601.594,0.375,NO,0,0.625,0.63,3661.14,70149.03,70199.19,-50.16000000000349,True,1,YES,False,0.016317,-0.646317,70735.17,70199.19
KXBTC15M-26JUN012230-30,cli_predictor_polymarket_KXBTC15M-26JUN012230-30.csv,630,2026-06-02T02:19:30.103Z,2026-06-02T02:30:00+00:00,629.897,0.18,NO,0,0.8200000000000001,0.83,148.21,70149.03,70199.19,-50.16000000000349,True,1,YES,False,0.009877000000000004,-0.839877,70735.17,70199.19
KXBTC15M-26JUN012245-45,cli_predictor_polymarket_KXBTC15M-26JUN012245-45.csv,600,2026-06-02T02:35:02.106Z,2026-06-02T02:45:00+00:00,597.894,0.475,NO,0,0.525,0.53,226.8,70687.0,70690.19,-3.1900000000023283,True,0,NO,True,0.017437,0.452563,70507.11,70690.19
KXBTC15M-26JUN012245-45,cli_predictor_polymarket_KXBTC15M-26JUN012245-45.csv,630,2026-06-02T02:34:28.339Z,2026-06-02T02:45:00+00:00,631.661,0.445,NO,0,0.5549999999999999,0.56,903.75,70694.45,70690.19,4.259999999994761,False,0,NO,True,0.017248,0.42275199999999996,70507.11,70690.19
KXBTC15M-26JUN012300-00,cli_predictor_polymarket_KXBTC15M-26JUN012300-00.csv,600,2026-06-02T02:50:01.293Z,2026-06-02T03:00:00+00:00,598.707,0.695,YES,1,0.695,0.7,50.0,70599.04,70504.4,94.63999999999942,True,1,YES,True,0.014700000000000003,0.28530000000000005,70665.4,70504.4
KXBTC15M-26JUN012300-00,cli_predictor_polymarket_KXBTC15M-26JUN012300-00.csv,630,2026-06-02T02:49:31.847Z,2026-06-02T03:00:00+00:00,628.153,0.715,YES,1,0.715,0.72,1354.58,70631.55,70504.4,127.15000000000873,True,1,YES,True,0.014112000000000001,0.265888,70665.4,70504.4
KXBTC15M-26JUN012315-15,cli_predictor_polymarket_KXBTC15M-26JUN012315-15.csv,600,2026-06-02T03:05:00.087Z,2026-06-02T03:15:00+00:00,599.913,0.9035,YES,1,0.9035,0.904,137.51,70772.95,70694.9,78.05000000000291,True,1,YES,True,0.006074879999999999,0.08992511999999997,70814.5,70694.9
KXBTC15M-26JUN012315-15,cli_predictor_polymarket_KXBTC15M-26JUN012315-15.csv,630,2026-06-02T03:04:30.571Z,2026-06-02T03:15:00+00:00,629.429,0.825,YES,1,0.825,0.83,2547.07,70772.95,70694.9,78.05000000000291,True,1,YES,True,0.009877000000000004,0.16012300000000004,70814.5,70694.9
KXBTC15M-26JUN012330-30,cli_predictor_polymarket_KXBTC15M-26JUN012330-30.csv,600,2026-06-02T03:20:00.423Z,2026-06-02T03:30:00+00:00,599.577,0.515,YES,1,0.515,0.52,268.6,70883.84,70812.6,71.23999999999069,True,1,YES,True,0.017472,0.462528,70867.94,70812.6
KXBTC15M-26JUN012330-30,cli_predictor_polymarket_KXBTC15M-26JUN012330-30.csv,630,2026-06-02T03:19:27.773Z,2026-06-02T03:30:00+00:00,632.227,0.545,YES,1,0.545,0.55,1513.13,70877.95,70812.6,65.34999999999127,True,1,YES,True,0.017325,0.432675,70867.94,70812.6
KXBTC15M-26JUN012345-45,cli_predictor_polymarket_KXBTC15M-26JUN012345-45.csv,600,2026-06-02T03:34:57.853Z,2026-06-02T03:45:00+00:00,602.147,0.355,NO,0,0.645,0.65,1026.91,70856.24,70867.39,-11.14999999999418,True,0,NO,True,0.015925,0.33407499999999996,70845.35,70867.39
KXBTC15M-26JUN012345-45,cli_predictor_polymarket_KXBTC15M-26JUN012345-45.csv,630,2026-06-02T03:34:27.687Z,2026-06-02T03:45:00+00:00,632.313,0.435,NO,0,0.565,0.57,1523.03,70864.6,70867.39,-2.789999999993597,True,0,NO,True,0.017157000000000002,0.41284300000000007,70845.35,70867.39
KXBTC15M-26JUN020000-00,cli_predictor_polymarket_KXBTC15M-26JUN020000-00.csv,600,2026-06-02T03:50:01.709Z,2026-06-02T04:00:00+00:00,598.291,0.365,NO,0,0.635,0.64,339.06,70844.86,70884.43,-39.56999999999243,True,0,NO,True,0.016128000000000003,0.34387199999999996,70844.84,70884.43
KXBTC15M-26JUN020000-00,cli_predictor_polymarket_KXBTC15M-26JUN020000-00.csv,630,2026-06-02T03:49:27.860Z,2026-06-02T04:00:00+00:00,632.14,0.375,NO,0,0.625,0.63,1392.85,70843.8,70884.43,-40.629999999990105,True,0,NO,True,0.016317,0.35368299999999997,70844.84,70884.43
KXBTC15M-26JUN020015-15,cli_predictor_polymarket_KXBTC15M-26JUN020015-15.csv,600,2026-06-02T04:04:59.446Z,2026-06-02T04:15:00+00:00,600.554,0.485,NO,0,0.515,0.52,929.91,70851.3,70855.57,-4.2700000000040745,True,0,NO,True,0.017472,0.462528,70635.15,70855.57
KXBTC15M-26JUN020015-15,cli_predictor_polymarket_KXBTC15M-26JUN020015-15.csv,630,2026-06-02T04:04:28.263Z,2026-06-02T04:15:00+00:00,631.737,0.4649999999999999,NO,0,0.5350000000000001,0.54,57.94,70850.83,70855.57,-4.740000000005239,True,0,NO,True,0.017388,0.44261199999999995,70635.15,70855.57
KXBTC15M-26JUN020030-30,cli_predictor_polymarket_KXBTC15M-26JUN020030-30.csv,600,2026-06-02T04:20:00.663Z,2026-06-02T04:30:00+00:00,599.337,0.805,YES,1,0.805,0.81,49.0,70767.04,70686.1,80.93999999998778,True,1,YES,True,0.010772999999999998,0.17922699999999994,70864.08,70686.1
KXBTC15M-26JUN020030-30,cli_predictor_polymarket_KXBTC15M-26JUN020030-30.csv,630,2026-06-02T04:19:28.975Z,2026-06-02T04:30:00+00:00,631.025,0.745,YES,1,0.745,0.75,4373.18,70707.31,70686.1,21.20999999999185,True,1,YES,True,0.013125000000000001,0.236875,70864.08,70686.1
KXBTC15M-26JUN020045-45,cli_predictor_polymarket_KXBTC15M-26JUN020045-45.csv,600,2026-06-02T04:34:58.490Z,2026-06-02T04:45:00+00:00,601.51,0.555,YES,1,0.555,0.56,94.85,70898.54,70888.42,10.119999999995343,True,1,YES,True,0.017248,0.42275199999999996,70913.14,70888.42
KXBTC15M-26JUN020045-45,cli_predictor_polymarket_KXBTC15M-26JUN020045-45.csv,630,2026-06-02T04:34:26.975Z,2026-06-02T04:45:00+00:00,633.025,0.535,YES,1,0.535,0.54,1160.38,70858.57,70888.42,-29.84999999999127,False,1,YES,True,0.017388,0.44261199999999995,70913.14,70888.42
KXBTC15M-26JUN020100-00,cli_predictor_polymarket_KXBTC15M-26JUN020100-00.csv,600,2026-06-02T04:50:00.130Z,2026-06-02T05:00:00+00:00,599.87,0.0975,NO,0,0.9025,0.903,425.85,70833.14,70911.65,-78.50999999999476,True,0,NO,True,0.006131369999999999,0.09086862999999998,70701.31,70911.65
KXBTC15M-26JUN020100-00,cli_predictor_polymarket_KXBTC15M-26JUN020100-00.csv,630,2026-06-02T04:49:28.011Z,2026-06-02T05:00:00+00:00,631.989,0.16,NO,0,0.84,0.85,1846.75,70839.64,70911.65,-72.00999999999476,True,0,NO,True,0.008925000000000002,0.141075,70701.31,70911.65
KXBTC15M-26JUN020115-15,cli_predictor_polymarket_KXBTC15M-26JUN020115-15.csv,600,2026-06-02T05:05:00.258Z,2026-06-02T05:15:00+00:00,599.742,0.071,NO,0,0.929,0.931,168.29,70612.72,70701.22,-88.5,True,1,YES,False,0.004496729999999997,-0.93549673,70701.98,70701.22
KXBTC15M-26JUN020115-15,cli_predictor_polymarket_KXBTC15M-26JUN020115-15.csv,630,2026-06-02T05:04:30.734Z,2026-06-02T05:15:00+00:00,629.266,0.145,NO,0,0.855,0.86,588.0,70627.23,70701.22,-73.99000000000524,True,1,YES,False,0.008428000000000001,-0.868428,70701.98,70701.22
KXBTC15M-26JUN020130-30,cli_predictor_polymarket_KXBTC15M-26JUN020130-30.csv,630,2026-06-02T05:19:28.817Z,2026-06-02T05:30:00+00:00,631.183,0.245,NO,0,0.755,0.76,49.39,70657.46,70711.0,-53.5399999999936,True,0,NO,True,0.012768,0.227232,70476.42,70711.0
KXBTC15M-26JUN020145-45,cli_predictor_polymarket_KXBTC15M-26JUN020145-45.csv,600,2026-06-02T05:34:59.286Z,2026-06-02T05:45:00+00:00,600.714,0.665,YES,1,0.665,0.67,110.99,70576.96,70501.32,75.63999999999942,True,0,NO,False,0.015477,-0.685477,70406.75,70501.32
KXBTC15M-26JUN020145-45,cli_predictor_polymarket_KXBTC15M-26JUN020145-45.csv,630,2026-06-02T05:34:27.133Z,2026-06-02T05:45:00+00:00,632.867,0.735,YES,1,0.735,0.74,139.39,70591.46,70501.32,90.13999999999942,True,0,NO,False,0.013468000000000003,-0.753468,70406.75,70501.32
KXBTC15M-26JUN020200-00,cli_predictor_polymarket_KXBTC15M-26JUN020200-00.csv,600,2026-06-02T05:50:00.290Z,2026-06-02T06:00:00+00:00,599.71,0.295,NO,0,0.7050000000000001,0.71,2860.8,70325.72,70405.22,-79.5,True,0,NO,True,0.014413000000000002,0.275587,70204.8,70405.22
KXBTC15M-26JUN020200-00,cli_predictor_polymarket_KXBTC15M-26JUN020200-00.csv,630,2026-06-02T05:49:27.057Z,2026-06-02T06:00:00+00:00,632.943,0.295,NO,0,0.7050000000000001,0.71,28.0,70332.94,70405.22,-72.27999999999884,True,0,NO,True,0.014413000000000002,0.275587,70204.8,70405.22
KXBTC15M-26JUN020215-15,cli_predictor_polymarket_KXBTC15M-26JUN020215-15.csv,600,2026-06-02T06:05:01.624Z,2026-06-02T06:15:00+00:00,598.376,0.755,YES,1,0.755,0.76,308.13,70270.39,70184.96,85.42999999999302,True,1,YES,True,0.012768,0.227232,70211.98,70184.96
KXBTC15M-26JUN020215-15,cli_predictor_polymarket_KXBTC15M-26JUN020215-15.csv,630,2026-06-02T06:04:30.728Z,2026-06-02T06:15:00+00:00,629.272,0.775,YES,1,0.775,0.78,5.0,70275.06,70184.96,90.09999999999127,True,1,YES,True,0.012012,0.20798799999999998,70211.98,70184.96
KXBTC15M-26JUN020230-30,cli_predictor_polymarket_KXBTC15M-26JUN020230-30.csv,600,2026-06-02T06:19:56.978Z,2026-06-02T06:30:00+00:00,603.022,0.415,NO,0,0.585,0.59,141.38,70213.35,70209.62,3.7300000000104774,False,1,YES,False,0.016933000000000004,-0.606933,70272.28,70209.62
KXBTC15M-26JUN020230-30,cli_predictor_polymarket_KXBTC15M-26JUN020230-30.csv,630,2026-06-02T06:19:29.447Z,2026-06-02T06:30:00+00:00,630.553,0.535,YES,1,0.535,0.54,972.47,70259.81,70209.62,50.19000000000233,True,1,YES,True,0.017388,0.44261199999999995,70272.28,70209.62
KXBTC15M-26JUN020245-45,cli_predictor_polymarket_KXBTC15M-26JUN020245-45.csv,600,2026-06-02T06:34:59.226Z,2026-06-02T06:45:00+00:00,600.774,0.455,NO,0,0.5449999999999999,0.55,2631.16,70223.88,70270.05,-46.169999999998254,True,0,NO,True,0.017325,0.432675,70223.55,70270.05
KXBTC15M-26JUN020245-45,cli_predictor_polymarket_KXBTC15M-26JUN020245-45.csv,630,2026-06-02T06:34:30.332Z,2026-06-02T06:45:00+00:00,629.668,0.39,NO,0,0.61,0.62,1102.21,70222.13,70270.05,-47.919999999998254,True,0,NO,True,0.016492,0.363508,70223.55,70270.05
KXBTC15M-26JUN020300-00,cli_predictor_polymarket_KXBTC15M-26JUN020300-00.csv,600,2026-06-02T06:49:57.696Z,2026-06-02T07:00:00+00:00,602.304,0.325,NO,0,0.675,0.68,1593.09,70039.81,70182.11,-142.3000000000029,True,0,NO,True,0.015232,0.30476799999999993,70005.83,70182.11
KXBTC15M-26JUN020300-00,cli_predictor_polymarket_KXBTC15M-26JUN020300-00.csv,630,2026-06-02T06:49:30.330Z,2026-06-02T07:00:00+00:00,629.67,0.225,NO,0,0.775,0.78,736.58,70051.56,70182.11,-130.5500000000029,True,0,NO,True,0.012012,0.20798799999999998,70005.83,70182.11
KXBTC15M-26JUN020315-15,cli_predictor_polymarket_KXBTC15M-26JUN020315-15.csv,600,2026-06-02T07:05:01.212Z,2026-06-02T07:15:00+00:00,598.788,0.102,NO,0,0.898,0.906,50.0,69821.13,70008.12,-186.9899999999907,True,0,NO,True,0.005961479999999999,0.08803851999999997,69929.66,70008.12
KXBTC15M-26JUN020315-15,cli_predictor_polymarket_KXBTC15M-26JUN020315-15.csv,630,2026-06-02T07:04:28.025Z,2026-06-02T07:15:00+00:00,631.975,0.105,NO,0,0.895,0.9,69.68,69723.18,70008.12,-284.9400000000023,True,0,NO,True,0.0063,0.09369999999999998,69929.66,70008.12
KXBTC15M-26JUN020330-30,cli_predictor_polymarket_KXBTC15M-26JUN020330-30.csv,600,2026-06-02T07:19:58.096Z,2026-06-02T07:30:00+00:00,601.904,0.805,YES,1,0.805,0.81,49.05,70142.05,69963.67,178.38000000000466,True,0,NO,False,0.010772999999999998,-0.8207730000000001,69835.65,69963.67
KXBTC15M-26JUN020330-30,cli_predictor_polymarket_KXBTC15M-26JUN020330-30.csv,630,2026-06-02T07:19:31.366Z,2026-06-02T07:30:00+00:00,628.634,0.825,YES,1,0.825,0.83,381.11,70136.96,69963.67,173.29000000000815,True,0,NO,False,0.009877000000000004,-0.839877,69835.65,69963.67
KXBTC15M-26JUN020345-45,cli_predictor_polymarket_KXBTC15M-26JUN020345-45.csv,600,2026-06-02T07:34:58.975Z,2026-06-02T07:45:00+00:00,601.025,0.875,YES,1,0.875,0.88,112.0,70015.23,69805.01,210.22000000000116,True,1,YES,True,0.007392000000000001,0.112608,70132.94,69805.01
KXBTC15M-26JUN020345-45,cli_predictor_polymarket_KXBTC15M-26JUN020345-45.csv,630,2026-06-02T07:34:27.940Z,2026-06-02T07:45:00+00:00,632.06,0.875,YES,1,0.875,0.88,1362.42,69989.37,69805.01,184.36000000000058,True,1,YES,True,0.007392000000000001,0.112608,70132.94,69805.01
KXBTC15M-26JUN020400-00,cli_predictor_polymarket_KXBTC15M-26JUN020400-00.csv,600,2026-06-02T07:49:57.858Z,2026-06-02T08:00:00+00:00,602.142,0.225,NO,0,0.775,0.78,52.0,70050.91,70114.9,-63.98999999999069,True,0,NO,True,0.012012,0.20798799999999998,70021.85,70114.9
KXBTC15M-26JUN020400-00,cli_predictor_polymarket_KXBTC15M-26JUN020400-00.csv,630,2026-06-02T07:49:31.301Z,2026-06-02T08:00:00+00:00,628.699,0.325,NO,0,0.675,0.68,190.25,69997.77,70114.9,-117.1299999999901,True,0,NO,True,0.015232,0.30476799999999993,70021.85,70114.9
KXBTC15M-26JUN020415-15,cli_predictor_polymarket_KXBTC15M-26JUN020415-15.csv,600,2026-06-02T08:04:59.692Z,2026-06-02T08:15:00+00:00,600.308,0.205,NO,0,0.795,0.8,771.74,69988.32,70026.42,-38.09999999999127,True,0,NO,True,0.0112,0.18879999999999997,69937.71,70026.42
