label,t_seconds,t_minutes,band_low,band_high,band_center,band_width,n_contracts,n_traded,trade_rate,total_net_pnl_after_fee,ev_per_available_contract_after_fee,ev_per_traded_contract_after_fee,se_ev_all,ci95_low_ev_all,ci95_high_ev_all,success_rate_traded,avg_mid_p_traded,avg_cost_traded,avg_fee_traded,local_mean_ev_all,local_std_ev_all,local_min_ev_all,local_positive_fraction,stability_score,bootstrap_raw_winner_frequency,bootstrap_prob_ev_positive,bootstrap_mean_ev_all
"T=0s [0.50,0.55)",0,0.0,0.5,0.55,0.525,0.050000000000000044,186,0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,-0.0009873452807646356,0.0036530318282563955,-0.008775903225806453,0.1111111111111111,-0.0036530318282563955,0.0,0.0,0.0
"T=0s [0.50,0.60)",0,0.0,0.5,0.6,0.55,0.09999999999999998,186,0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,-0.0005418853046594985,0.0037980116437436318,-0.008775903225806453,0.13333333333333333,-0.0037980116437436318,0.0,0.0,0.0
"T=0s [0.50,0.65)",0,0.0,0.5,0.65,0.575,0.15000000000000002,186,0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,7.808064516129037e-05,0.0035977866918103702,-0.00444305376344086,0.16666666666666666,-0.0035977866918103702,0.0,0.0,0.0
"T=0s [0.50,0.70)",0,0.0,0.5,0.7,0.6,0.19999999999999996,186,0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,-0.0016336063321385898,0.0052247234238533774,-0.011367596774193547,0.16666666666666666,-0.0052247234238533774,0.0,0.0,0.0
"T=0s [0.50,0.75)",0,0.0,0.5,0.75,0.625,0.25,186,0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,-0.00374813201911589,0.006251339941020802,-0.014559129032258065,0.16666666666666666,-0.006251339941020802,0.0,0.0,0.0
"T=0s [0.50,0.80)",0,0.0,0.5,0.8,0.65,0.30000000000000004,186,0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,-0.005654237753882916,0.006522380712489892,-0.014559129032258065,0.16666666666666666,-0.006522380712489892,0.0,0.0,0.0
"T=0s [0.50,0.85)",0,0.0,0.5,0.85,0.675,0.35,186,0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,-0.005894649772998806,0.007890225249649023,-0.018383541505376345,0.16666666666666666,-0.007890225249649023,0.0,0.0,0.0
"T=0s [0.50,0.90)",0,0.0,0.5,0.9,0.7,0.4,186,0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,-0.006028719109916369,0.008347385454411325,-0.018383541505376345,0.2777777777777778,-0.008347385454411325,0.0,0.0,0.0
"T=0s [0.50,0.95)",0,0.0,0.5,0.95,0.725,0.44999999999999996,186,1,0.005376344086021506,0.07296587999999996,0.0003922896774193546,0.07296587999999996,0.0003922896774193546,-0.00037659809032258043,0.0011611774451612896,1.0,0.9155,0.922,0.005034119999999999,-0.015399899528076466,0.015709043832594995,-0.04216801666666667,0.2222222222222222,-0.016085641922917577,0.0,0.62,0.0003891513599999995
"T=0s [0.50,1.00)",0,0.0,0.5,1.0,0.75,0.5,186,21,0.11290322580645161,-7.8432511,-0.04216801666666667,-0.37348814761904764,0.014815248929989516,-0.07120590456944612,-0.013130128763887219,0.6190476190476191,0.9905714285714285,0.9919999999999999,0.0005357666666666669,-0.02016251710573477,0.016152925070273418,-0.04216801666666667,0.25,-0.08735882963971953,0.0,0.0,-0.042262062598387065
"T=0s [0.55,0.60)",0,0.0,0.55,0.6,0.575,0.04999999999999993,186,0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,-0.0004274590800477897,0.003675379541109775,-0.008775903225806453,0.16666666666666666,-0.003675379541109775,0.0,0.0,0.0
"T=0s [0.55,0.65)",0,0.0,0.55,0.65,0.6000000000000001,0.09999999999999998,186,0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,9.472849462365592e-05,0.0034458635441629395,-0.00444305376344086,0.20833333333333334,-0.0034458635441629395,0.0,0.0,0.0
"T=0s [0.55,0.70)",0,0.0,0.55,0.7,0.625,0.1499999999999999,186,0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,-0.0016274838709677414,0.00495853883191804,-0.011367596774193547,0.18518518518518517,-0.00495853883191804,0.0,0.0,0.0
"T=0s [0.55,0.75)",0,0.0,0.55,0.75,0.65,0.19999999999999996,186,0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,-0.0037420095579450414,0.006011279893056128,-0.014559129032258065,0.14814814814814814,-0.006011279893056128,0.0,0.0,0.0
"T=0s [0.55,0.80)",0,0.0,0.55,0.8,0.675,0.25,186,0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,-0.005648115292712068,0.006287275626980497,-0.014559129032258065,0.1111111111111111,-0.006287275626980497,0.0,0.0,0.0
"T=0s [0.55,0.85)",0,0.0,0.55,0.85,0.7,0.29999999999999993,186,0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,-0.005888527311827958,0.00767388713094033,-0.018383541505376345,0.14814814814814814,-0.00767388713094033,0.0,0.0,0.0
"T=0s [0.55,0.90)",0,0.0,0.55,0.9,0.7250000000000001,0.35,186,0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,-0.006022596648745521,0.008134816255547045,-0.018383541505376345,0.25925925925925924,-0.008134816255547045,0.0,0.0,0.0
"T=0s [0.55,0.95)",0,0.0,0.55,0.95,0.75,0.3999999999999999,186,1,0.005376344086021506,0.07296587999999996,0.0003922896774193546,0.07296587999999996,0.0003922896774193546,-0.00037659809032258043,0.0011611774451612896,1.0,0.9155,0.922,0.005034119999999999,-0.015393777066905614,0.01548804598554026,-0.04216801666666667,0.2222222222222222,-0.01586464407586284,0.0,0.62,0.0003891513599999995
"T=0s [0.55,1.00)",0,0.0,0.55,1.0,0.775,0.44999999999999996,186,21,0.11290322580645161,-7.8432511,-0.04216801666666667,-0.37348814761904764,0.014815248929989516,-0.07120590456944612,-0.013130128763887219,0.6190476190476191,0.9905714285714285,0.9919999999999999,0.0005357666666666669,-0.020156394644563917,0.015844429168240946,-0.04216801666666667,0.2222222222222222,-0.08705033373768706,0.0,0.0,-0.042262062598387065
"T=0s [0.60,0.65)",0,0.0,0.6,0.65,0.625,0.050000000000000044,186,0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,0.000818589605734767,0.00357610599608576,-0.0034219999999999997,0.2777777777777778,-0.00357610599608576,0.0,0.0,0.0
"T=0s [0.60,0.70)",0,0.0,0.6,0.7,0.6499999999999999,0.09999999999999998,186,0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,-0.0013297896505376345,0.004971782031151002,-0.011367596774193547,0.20833333333333334,-0.004971782031151002,0.0,0.0,0.0
"T=0s [0.60,0.75)",0,0.0,0.6,0.75,0.675,0.15000000000000002,186,0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,-0.0032965609318996417,0.005680177013839143,-0.014559129032258065,0.14814814814814814,-0.005680177013839143,0.0,0.0,0.0
"T=0s [0.60,0.80)",0,0.0,0.6,0.8,0.7,0.20000000000000007,186,0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,-0.005202666666666666,0.005849686920936764,-0.014559129032258065,0.1111111111111111,-0.005849686920936764,0.0,0.0,0.0
"T=0s [0.60,0.85)",0,0.0,0.6,0.85,0.725,0.25,186,0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,-0.005443078685782556,0.007223037090828707,-0.018383541505376345,0.14814814814814814,-0.007223037090828707,0.0,0.0,0.0
"T=0s [0.60,0.90)",0,0.0,0.6,0.9,0.75,0.30000000000000004,186,0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,-0.005577148022700118,0.00767645445408873,-0.018383541505376345,0.25925925925925924,-0.00767645445408873,0.0,0.0,0.0
"T=0s [0.60,0.95)",0,0.0,0.6,0.95,0.7749999999999999,0.35,186,1,0.005376344086021506,0.07296587999999996,0.0003922896774193546,0.07296587999999996,0.0003922896774193546,-0.00037659809032258043,0.0011611774451612896,1.0,0.9155,0.922,0.005034119999999999,-0.014948328440860215,0.015348309925517657,-0.04216801666666667,0.2222222222222222,-0.015724908015840238,0.0,0.62,0.0003891513599999995
"T=0s [0.60,1.00)",0,0.0,0.6,1.0,0.8,0.4,186,21,0.11290322580645161,-7.8432511,-0.04216801666666667,-0.37348814761904764,0.014815248929989516,-0.07120590456944612,-0.013130128763887219,0.6190476190476191,0.9905714285714285,0.9919999999999999,0.0005357666666666669,-0.01971094601851852,0.01577134757263337,-0.04216801666666667,0.2222222222222222,-0.08697725214207949,0.0,0.0,-0.042262062598387065
"T=0s [0.65,0.70)",0,0.0,0.65,0.7,0.675,0.04999999999999993,186,0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,-0.002567530465949821,0.004411917974345975,-0.011367596774193547,0.1111111111111111,-0.004411917974345975,0.0,0.0,0.0
"T=0s [0.65,0.75)",0,0.0,0.65,0.75,0.7,0.09999999999999998,186,0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,-0.004304489247311828,0.005018481921965082,-0.014559129032258065,0.041666666666666664,-0.005018481921965082,0.0,0.0,0.0
"T=0s [0.65,0.80)",0,0.0,0.65,0.8,0.7250000000000001,0.15000000000000002,186,0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,-0.005732318399044206,0.004989613530992573,-0.014559129032258065,0.0,-0.004989613530992573,0.0,0.0,0.0
"T=0s [0.65,0.85)",0,0.0,0.65,0.85,0.75,0.19999999999999996,186,0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,-0.005972730418160095,0.006138559157487326,-0.018383541505376345,0.037037037037037035,-0.006138559157487326,0.0,0.0,0.0
"T=0s [0.65,0.90)",0,0.0,0.65,0.9,0.775,0.25,186,0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,-0.006106799755077658,0.006550589365066926,-0.018383541505376345,0.14814814814814814,-0.006550589365066926,0.0,0.0,0.0
"T=0s [0.65,0.95)",0,0.0,0.65,0.95,0.8,0.29999999999999993,186,1,0.005376344086021506,0.07296587999999996,0.0003922896774193546,0.07296587999999996,0.0003922896774193546,-0.00037659809032258043,0.0011611774451612896,1.0,0.9155,0.922,0.005034119999999999,-0.015477980173237756,0.014836937970332958,-0.04216801666666667,0.14814814814814814,-0.015213536060655538,0.0,0.62,0.0003891513599999995
"T=0s [0.65,1.00)",0,0.0,0.65,1.0,0.825,0.35,186,21,0.11290322580645161,-7.8432511,-0.04216801666666667,-0.37348814761904764,0.014815248929989516,-0.07120590456944612,-0.013130128763887219,0.6190476190476191,0.9905714285714285,0.9919999999999999,0.0005357666666666669,-0.020240597750896056,0.01536372651277708,-0.04216801666666667,0.16666666666666666,-0.0865696310822232,0.0,0.0,-0.042262062598387065
"T=0s [0.70,0.75)",0,0.0,0.7,0.75,0.725,0.050000000000000044,186,0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,-0.004051744026284349,0.004460669076528637,-0.011137129032258067,0.0,-0.004460669076528637,0.0,0.0,0.0
"T=0s [0.70,0.80)",0,0.0,0.7,0.8,0.75,0.10000000000000009,186,0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,-0.004523210349462366,0.004553716713805962,-0.011137129032258067,0.041666666666666664,-0.004553716713805962,0.0,0.0,0.0
"T=0s [0.70,0.85)",0,0.0,0.7,0.85,0.7749999999999999,0.15000000000000002,186,0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,-0.0042610434408602155,0.005427199447774815,-0.014961541505376345,0.07407407407407407,-0.005427199447774815,0.0,0.0,0.0
"T=0s [0.70,0.90)",0,0.0,0.7,0.9,0.8,0.20000000000000007,186,0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,-0.0043951127777777784,0.005758112596038751,-0.014961541505376345,0.2222222222222222,-0.005758112596038751,0.0,0.0,0.0
"T=0s [0.70,0.95)",0,0.0,0.7,0.95,0.825,0.25,186,1,0.005376344086021506,0.07296587999999996,0.0003922896774193546,0.07296587999999996,0.0003922896774193546,-0.00037659809032258043,0.0011611774451612896,1.0,0.9155,0.922,0.005034119999999999,-0.013766293195937876,0.014856035461028885,-0.04216801666666667,0.18518518518518517,-0.015232633551351465,0.0,0.62,0.0003891513599999995
"T=0s [0.70,1.00)",0,0.0,0.7,1.0,0.85,0.30000000000000004,186,21,0.11290322580645161,-7.8432511,-0.04216801666666667,-0.37348814761904764,0.014815248929989516,-0.07120590456944612,-0.013130128763887219,0.6190476190476191,0.9905714285714285,0.9919999999999999,0.0005357666666666669,-0.01852891077359618,0.015598465870400983,-0.04216801666666667,0.2222222222222222,-0.0868043704398471,0.0,0.0,-0.042262062598387065
"T=0s [0.75,0.80)",0,0.0,0.75,0.8,0.775,0.050000000000000044,186,0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,-0.0030364659498207888,0.004429065023051301,-0.011137129032258067,0.1111111111111111,-0.004429065023051301,0.0,0.0,0.0
"T=0s [0.75,0.85)",0,0.0,0.75,0.85,0.8,0.09999999999999998,186,0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,-0.0024148324731182802,0.005013394850801858,-0.014961541505376345,0.16666666666666666,-0.005013394850801858,0.0,0.0,0.0
"T=0s [0.75,0.90)",0,0.0,0.75,0.9,0.825,0.15000000000000002,186,0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,-0.002280587090800478,0.005048226945139216,-0.014961541505376345,0.3333333333333333,-0.005048226945139216,0.0,0.0,0.0
"T=0s [0.75,0.95)",0,0.0,0.75,0.95,0.85,0.19999999999999996,186,1,0.005376344086021506,0.07296587999999996,0.0003922896774193546,0.07296587999999996,0.0003922896774193546,-0.00037659809032258043,0.0011611774451612896,1.0,0.9155,0.922,0.005034119999999999,-0.011651767508960575,0.014973312225890614,-0.04216801666666667,0.25925925925925924,-0.015349910316213194,0.0,0.62,0.0003891513599999995
"T=0s [0.75,1.00)",0,0.0,0.75,1.0,0.875,0.25,186,21,0.11290322580645161,-7.8432511,-0.04216801666666667,-0.37348814761904764,0.014815248929989516,-0.07120590456944612,-0.013130128763887219,0.6190476190476191,0.9905714285714285,0.9919999999999999,0.0005357666666666669,-0.01641438508661888,0.015905990842047385,-0.04216801666666667,0.2777777777777778,-0.0871118954114935,0.0,0.0,-0.042262062598387065
