filter,contract_id,entry_timestamp_utc,arb_type,arb_cost,theoretical_profit,actual_payout,actual_pnl,fee_adjusted_payout,fee_adjusted_pnl,dangerous_contract_entry,kalshi_outcome,polymarket_outcome,source_price_gap,min_distance_from_target,seconds_to_expiry,price_direction_agreement,target_divergence,abs_target_divergence
baseline_first_arb_no_filter,KXBTC15M-26MAY170000-00,2026-05-17T03:45:06.874Z,NK+P,0.98,0.020000000000000018,1.0,0.020000000000000018,0.98,0.0,False,NO,NO,3.962432370564784,0.07207537193608005,893.126,False,9.434507742509595,9.434507742509595
baseline_first_arb_no_filter,KXBTC15M-26MAY170015-15,2026-05-17T04:00:11.628Z,NK+P,0.99,0.010000000000000009,1.0,0.010000000000000009,0.98,-0.010000000000000009,False,YES,YES,26.157118530827574,4.599999999991269,888.372,False,9.076165098696947,9.076165098696947
baseline_first_arb_no_filter,KXBTC15M-26MAY170030-30,2026-05-17T04:15:16.947Z,NK+P,0.94,0.06000000000000005,1.0,0.06000000000000005,0.98,0.040000000000000036,False,YES,YES,6.905947320890846,0.3703534326486988,883.053,False,1.6255938882386545,1.6255938882386545
baseline_first_arb_no_filter,KXBTC15M-26MAY170045-45,2026-05-17T04:30:19.236Z,NK+P,0.96,0.040000000000000036,1.0,0.040000000000000036,0.98,0.020000000000000018,False,YES,YES,36.55422308805282,9.361443088055239,880.764,False,8.32278000000224,8.32278000000224
baseline_first_arb_no_filter,KXBTC15M-26MAY170100-00,2026-05-17T04:45:22.949Z,NK+P,0.95,0.050000000000000044,1.0,0.050000000000000044,0.98,0.030000000000000027,False,NO,NO,1.480347080520005,0.9599999999918509,877.051,False,6.785904999997001,6.785904999997001
baseline_first_arb_no_filter,KXBTC15M-26MAY170115-15,2026-05-17T05:00:27.435Z,K+NP,0.99,0.010000000000000009,1.0,0.010000000000000009,0.98,-0.010000000000000009,False,YES,YES,11.207311078775092,3.779999999998836,872.565,True,16.118909999990137,16.118909999990137
baseline_first_arb_no_filter,KXBTC15M-26MAY170130-30,2026-05-17T05:15:45.606Z,NK+P,0.99,0.010000000000000009,1.0,0.010000000000000009,0.98,-0.010000000000000009,False,NO,NO,6.31654274565517,2.570000000006985,854.394,True,15.10327999999572,15.10327999999572
baseline_first_arb_no_filter,KXBTC15M-26MAY170145-45,2026-05-17T05:30:07.770Z,NK+P,0.99,0.010000000000000009,1.0,0.010000000000000009,0.98,-0.010000000000000009,False,NO,NO,12.199476263471297,2.970000000001164,892.23,False,4.728445000000647,4.728445000000647
baseline_first_arb_no_filter,KXBTC15M-26MAY170200-00,2026-05-17T05:45:14.261Z,K+NP,0.9199999999999999,0.08000000000000007,1.0,0.08000000000000007,0.98,0.06000000000000005,False,NO,NO,38.04320606791589,6.8182101749116555,885.739,True,18.49141624281765,18.49141624281765
baseline_first_arb_no_filter,KXBTC15M-26MAY170215-15,2026-05-17T06:00:17.209Z,K+NP,0.98,0.020000000000000018,1.0,0.020000000000000018,0.98,0.0,False,YES,YES,0.16509316863084678,0.20999999999185093,882.791,True,8.841815000007045,8.841815000007045
baseline_first_arb_no_filter,KXBTC15M-26MAY170230-30,2026-05-17T06:15:29.843Z,NK+P,0.99,0.010000000000000009,1.0,0.010000000000000009,0.98,-0.010000000000000009,False,NO,NO,5.800034766027238,0.029999999998835847,870.157,True,5.440101963176858,5.440101963176858
