contract_id,close_time,open_time,duration_remaining_at_first_tick,kalshi_outcome,polymarket_outcome,outcomes_agree,kalshi_final_price,polymarket_final_price,kalshi_btc_target,polymarket_btc_target,price_divergence_at_close,abs_price_divergence_at_close,target_divergence,had_arb_opportunity,had_dangerous_arb,worst_tick_loss
KXBTC15M-26MAY162345-45,2026-05-17T03:45:00Z,2026-05-17T03:43:20.118000Z,99.882,YES,UNKNOWN,,78000.12,77996.3022081439,77966.05,nan,3.817791856097756,3.817791856097756,nan,True,False,0.0
KXBTC15M-26MAY170000-00,2026-05-17T04:00:00Z,2026-05-17T03:45:06.874000Z,893.126,NO,NO,True,78003.98,77992.045435,78005.44,77996.0054922575,11.934564999988652,11.934564999988652,9.434507742509595,True,False,0.0
KXBTC15M-26MAY170015-15,2026-05-17T04:15:00Z,2026-05-17T04:00:11.628000Z,888.372,YES,YES,True,78015.32,78017.58120872665,78000.44,77991.3638349013,-2.261208726646146,2.261208726646146,9.076165098696947,True,False,0.0
KXBTC15M-26MAY170030-30,2026-05-17T04:30:00Z,2026-05-17T04:15:16.947000Z,883.053,YES,YES,True,78086.38,78060.776865,78020.29,78018.66440611175,25.603134999997565,25.603134999997565,1.6255938882386545,True,False,0.0
KXBTC15M-26MAY170045-45,2026-05-17T04:45:00Z,2026-05-17T04:30:19.236000Z,880.764,YES,YES,True,78158.75,78152.233025,78069.06,78060.73722,6.516975000005914,6.516975000005914,8.32278000000224,True,False,0.0
KXBTC15M-26MAY170100-00,2026-05-17T05:00:00Z,2026-05-17T04:45:22.949000Z,877.051,NO,NO,True,78142.45,78124.117385,78158.51,78151.724095,18.332614999992074,18.332614999992074,6.785904999997001,True,False,0.0
KXBTC15M-26MAY170115-15,2026-05-17T05:15:00Z,2026-05-17T05:00:27.435000Z,872.565,YES,YES,True,78247.91,78214.508045,78140.26,78124.14109,33.401955000008456,33.401955000008456,16.118909999990137,True,False,0.0
KXBTC15M-26MAY170130-30,2026-05-17T05:30:00Z,2026-05-17T05:15:31.609000Z,868.391,NO,NO,True,78155.23,78147.69364,78225.18,78210.07672,7.53635999999824,7.53635999999824,15.10327999999572,True,False,0.0
KXBTC15M-26MAY170145-45,2026-05-17T05:45:00Z,2026-05-17T05:30:07.770000Z,892.23,NO,NO,True,78131.98,78125.54508763572,78152.26,78147.531555,6.434912364275078,6.434912364275078,4.728445000000647,True,False,0.0
KXBTC15M-26MAY170200-00,2026-05-17T06:00:00Z,2026-05-17T05:45:14.261000Z,885.739,NO,NO,True,78105.21,78096.4041,78144.04,78125.54858375718,8.805900000006659,8.805900000006659,18.49141624281765,True,False,0.0
KXBTC15M-26MAY170215-15,2026-05-17T06:15:00Z,2026-05-17T06:00:17.209000Z,882.791,YES,YES,True,78165.24,78158.49274490989,78105.47,78096.628185,6.747255090114777,6.747255090114777,8.841815000007045,True,False,0.0
KXBTC15M-26MAY170230-30,2026-05-17T06:30:00Z,2026-05-17T06:15:21.784000Z,878.216,NO,NO,True,78056.47,78050.77737351168,78164.62,78159.17989803682,5.692626488322276,5.692626488322276,5.440101963176858,True,False,0.0
KXBTC15M-26MAY170245-45,2026-05-17T06:45:00Z,2026-05-17T06:30:26.033000Z,873.967,NO,NO,True,78024.94,78015.5230949779,78055.42,78051.99410650929,9.416905022095307,9.416905022095307,3.425893490712042,True,False,0.0
KXBTC15M-26MAY170300-00,2026-05-17T07:00:00Z,2026-05-17T06:45:31.244000Z,868.756,YES,YES,True,78078.85,78075.54367879112,78020.37,78015.74662611859,3.3063212088891305,3.3063212088891305,4.6233738814044045,True,False,0.0
KXBTC15M-26MAY170315-15,2026-05-17T07:15:00Z,2026-05-17T07:00:34.668000Z,865.332,NO,NO,True,78078.89,78062.38903,78082.17,78075.61862311393,16.500969999993686,16.500969999993686,6.5513768860691926,True,False,0.0
KXBTC15M-26MAY170330-30,2026-05-17T07:30:00Z,2026-05-17T07:15:07.873000Z,892.127,YES,YES,True,78095.59,78090.60553,78072.41,78062.49916,4.984469999995781,4.984469999995781,9.910839999996824,True,False,0.0
