feature,allow_rule,threshold,allowed_dangerous,blocked_dangerous,blocked_safe,allowed_safe,false_positive_rate_allowed_danger,false_negative_rate_blocked_safe,score
kalshi_btc_distance_from_target,kalshi_btc_distance_from_target >= 0,0.0,2608,0,15,13298,1.0,0.0011267182453241194,1.001126718245324
kalshi_btc_distance_from_target,kalshi_btc_distance_from_target >= 1.54,1.5399999999935972,2476,132,640,12673,0.9493865030674846,0.048073311800495754,0.9974598148679804
kalshi_btc_distance_from_target,kalshi_btc_distance_from_target >= 3.71,3.709999999991851,2337,271,1268,12045,0.8960889570552147,0.09524524900473222,0.9913342060599469
kalshi_btc_distance_from_target,kalshi_btc_distance_from_target >= 5.92,5.919999999998254,2160,448,1960,11353,0.8282208588957055,0.14722451738901826,0.9754453762847237
kalshi_btc_distance_from_target,kalshi_btc_distance_from_target >= 8.14,8.139999999999418,2007,601,2668,10645,0.7695552147239264,0.20040561856831668,0.9699608332922431
kalshi_btc_distance_from_target,kalshi_btc_distance_from_target >= 10.31,10.309999999997672,1850,758,3437,9876,0.7093558282208589,0.25816870727859986,0.9675245354994587
kalshi_btc_distance_from_target,kalshi_btc_distance_from_target >= 13.06,13.059999999997672,1558,1050,4034,9279,0.5973926380368099,0.3030120934424998,0.9004047314793097
kalshi_btc_distance_from_target,kalshi_btc_distance_from_target >= 15.99,15.989999999990687,1389,1219,4700,8613,0.5325920245398773,0.3530383835348907,0.885630408074768
kalshi_btc_distance_from_target,kalshi_btc_distance_from_target >= 18.99,18.99000000000524,1165,1443,5384,7929,0.44670245398773006,0.40441673552167057,0.8511191895094006
kalshi_btc_distance_from_target,kalshi_btc_distance_from_target >= 22.49,22.49000000000524,870,1738,5972,7341,0.33358895705521474,0.448584090738376,0.7821730477935908
kalshi_btc_distance_from_target,kalshi_btc_distance_from_target >= 26.45,26.44999999999709,677,1931,6572,6741,0.2595858895705521,0.4936528205513408,0.7532387101218929
kalshi_btc_distance_from_target,kalshi_btc_distance_from_target >= 30.48,30.479999999995925,523,2085,7218,6095,0.20053680981595093,0.5421768196499662,0.7427136294659171
kalshi_btc_distance_from_target,kalshi_btc_distance_from_target >= 34.27,34.270000000004075,346,2262,7856,5457,0.13266871165644173,0.5900999023510854,0.7227686140075271
kalshi_btc_distance_from_target,kalshi_btc_distance_from_target >= 39.5,39.5,187,2421,8455,4858,0.07170245398773006,0.635093517614362,0.706795971602092
kalshi_btc_distance_from_target,kalshi_btc_distance_from_target >= 45.21,45.2100000000064,133,2475,9070,4243,0.05099693251533742,0.6812889656726507,0.7322858981879882
