feature,allow_rule,threshold,allowed_dangerous,blocked_dangerous,blocked_safe,allowed_safe,false_positive_rate_allowed_danger,false_negative_rate_blocked_safe,score
kalshi_btc_distance_from_target,kalshi_btc_distance_from_target >= 39.5,39.5,187,2421,8455,4858,0.07170245398773006,0.635093517614362,0.706795971602092
polymarket_btc_distance_from_target,polymarket_btc_distance_from_target >= 33.0898,33.089770000005956,295,2313,7204,6109,0.11311349693251534,0.5411252159543304,0.6542387128868458
min_distance_from_target,min_distance_from_target >= 23.47,23.470000000001164,326,2282,7117,6196,0.125,0.5345902501314505,0.6595902501314505
source_price_gap,source_price_gap <= 1.13175,1.131748351501301,120,2488,12638,675,0.046012269938650305,0.9492976789604146,0.9953099488990649
source_price_gap_relative_to_target_distance,source_price_gap_relative_to_target_distance <= 0.308201,0.3082010710016242,484,2124,8250,5063,0.18558282208588958,0.6196950349282656,0.8052778570141552
seconds_to_expiry,seconds_to_expiry >= 330.112,330.112,1440,1168,5220,8093,0.5521472392638037,0.3920979493727935,0.9442451886365972
fraction_of_window_elapsed,fraction_of_window_elapsed <= 0.624902,0.6249021569091666,1438,1170,5229,8084,0.5513803680981595,0.392773980319988,0.9441543484181475
kalshi_spread,kalshi_spread <= 0.01,0.009999999999999898,309,2299,9386,3927,0.11848159509202454,0.7050251633741456,0.82350675846617
polymarket_spread,polymarket_spread <= 0.01,0.009999999999999998,393,2215,9787,3526,0.15069018404907975,0.7351460977991437,0.8858362818482235
kalshi_yes_mid_calc,kalshi_yes_mid_calc <= 0.0755,0.07550000000000001,114,2494,11431,1882,0.04371165644171779,0.8586344174866671,0.902346073928385
polymarket_yes_mid_calc,polymarket_yes_mid_calc <= 0.305,0.305,345,2263,8391,4922,0.13228527607361965,0.6302861864343123,0.762571462507932
kalshi_60sma_vs_target,kalshi_60sma_vs_target >= 29.695,29.695000000006985,44,2564,11002,2311,0.01687116564417178,0.8264102756703974,0.8432814413145692
sma_sample_count,sma_sample_count >= 1,1.0,2608,0,0,13313,1.0,0.0,1.0
