contract_id,dangerous_tick_count,worst_actual_pnl
KXBTC15M-26MAY170445-45,168,-0.99
KXBTC15M-26MAY170500-00,432,-0.89
KXBTC15M-26MAY170530-30,276,-0.99
KXBTC15M-26MAY170800-00,402,-0.99
KXBTC15M-26MAY170815-15,404,-0.99
KXBTC15M-26MAY170830-30,433,-0.89
KXBTC15M-26MAY170930-30,429,-0.996
KXBTC15M-26MAY171030-30,64,-0.99
KXBTC15M-26MAY171430-30,409,-0.998
KXBTC15M-26MAY171445-45,269,-0.99
KXBTC15M-26MAY171700-00,443,-0.99
KXBTC15M-26MAY171715-15,432,-0.9850000000000001
KXBTC15M-26MAY171745-45,436,-0.9600000000000001
KXBTC15M-26MAY172030-30,10,-0.99
