timestamp_utc,kalshi_timestamp_utc,kalshi_ticker,kalshi_title,kalshi_event_ticker,kalshi_close_time,kalshi_status,kalshi_yes_bid,kalshi_yes_ask,kalshi_no_bid,kalshi_no_ask,kalshi_yes_mid,kalshi_last_price,kalshi_volume,kalshi_open_interest,kalshi_best_yes_bid_qty,kalshi_best_no_bid_qty,polymarket_timestamp_utc,polymarket_ticker,polymarket_title,polymarket_event_ticker,polymarket_close_time,polymarket_status,polymarket_yes_bid,polymarket_yes_ask,polymarket_no_bid,polymarket_no_ask,polymarket_yes_mid,polymarket_last_price,polymarket_volume,polymarket_open_interest,polymarket_best_yes_bid_qty,polymarket_best_no_bid_qty,source_timestamp_utc,kalshi_btc_source,kalshi_btc_price,kalshi_btc_target,kalshi_btc_60_sma,kalshi_btc_60_sma_sample_count,polymarket_btc_source,polymarket_btc_price,polymarket_btc_target,k_plus_np,nk_plus_p,polymarket_error
2026-05-18T00:15:30.522Z,2026-05-18T00:15:29.938Z,KXBTC15M-26MAY172030-30,BTC price up in next 15 mins?,KXBTC15M-26MAY172030,2026-05-18T00:30:00Z,active,0.57,0.58,0.42,0.43,0.575,0.6,12152.46,9656.15,43.0,135.0,2026-05-18T00:15:29.995Z,btc-updown-15m-1779063300,"Bitcoin Up or Down - May 17, 8:15PM-8:30PM ET",btc-updown-15m-1779063300,2026-05-18T00:30:00Z,,0.52,0.53,0.47,0.48,0.525,0.57,1784.5063550000002,,63.6,203.25,2026-05-18T00:15:29.995Z,BRTI,77038.1,77111.85,77042.75316666668,60,Polymarket RTDS,77152.10867515147,77155.57584889805,1.06,0.96,
2026-05-18T00:15:32.436Z,2026-05-18T00:15:31.932Z,KXBTC15M-26MAY172030-30,BTC price up in next 15 mins?,KXBTC15M-26MAY172030,2026-05-18T00:30:00Z,active,0.54,0.55,0.45,0.46,0.545,0.6,12152.46,9656.15,1081.9,900.0,2026-05-18T00:15:31.978Z,btc-updown-15m-1779063300,"Bitcoin Up or Down - May 17, 8:15PM-8:30PM ET",btc-updown-15m-1779063300,2026-05-18T00:30:00Z,,0.5,0.51,0.49,0.5,0.505,0.57,1784.5063550000002,,45.83,68.09,2026-05-18T00:15:31.978Z,BRTI,77067.95,77111.85,77053.025,2,Polymarket RTDS,77131.37484269984,77155.57584889805,1.05,0.97,
2026-05-18T00:15:34.472Z,2026-05-18T00:15:33.916Z,KXBTC15M-26MAY172030-30,BTC price up in next 15 mins?,KXBTC15M-26MAY172030,2026-05-18T00:30:00Z,active,0.54,0.55,0.45,0.46,0.545,0.6,12152.46,9656.15,4010.72,1.0,2026-05-18T00:15:33.959Z,btc-updown-15m-1779063300,"Bitcoin Up or Down - May 17, 8:15PM-8:30PM ET",btc-updown-15m-1779063300,2026-05-18T00:30:00Z,,0.5,0.51,0.49,0.5,0.505,0.57,1784.5063550000002,,7.86,149.17,2026-05-18T00:15:33.959Z,BRTI,77150.04,77111.85,77085.36333333333,3,Polymarket RTDS,77121.91417472484,77155.57584889805,1.05,0.97,
2026-05-18T00:15:36.426Z,2026-05-18T00:15:35.943Z,KXBTC15M-26MAY172030-30,BTC price up in next 15 mins?,KXBTC15M-26MAY172030,2026-05-18T00:30:00Z,active,0.57,0.59,0.41,0.43,0.58,0.6,12152.46,9656.15,403.52,1175.0,2026-05-18T00:15:35.985Z,btc-updown-15m-1779063300,"Bitcoin Up or Down - May 17, 8:15PM-8:30PM ET",btc-updown-15m-1779063300,2026-05-18T00:30:00Z,,0.5,0.51,0.49,0.5,0.505,0.57,1784.5063550000002,,123.7,38.91,2026-05-18T00:15:35.985Z,BRTI,77038.1,77111.85,77073.5475,4,Polymarket RTDS,77133.88191893273,77155.57584889805,1.0899999999999999,0.94,
2026-05-18T00:15:38.507Z,2026-05-18T00:15:37.922Z,KXBTC15M-26MAY172030-30,BTC price up in next 15 mins?,KXBTC15M-26MAY172030,2026-05-18T00:30:00Z,active,0.56,0.58,0.42,0.44,0.5700000000000001,0.6,12152.46,9656.15,1807.06,508.0,2026-05-18T00:15:37.970Z,btc-updown-15m-1779063300,"Bitcoin Up or Down - May 17, 8:15PM-8:30PM ET",btc-updown-15m-1779063300,2026-05-18T00:30:00Z,,0.5,0.51,0.49,0.5,0.505,0.57,1784.5063550000002,,181.54,31.99,2026-05-18T00:15:37.970Z,BRTI,77046.71,77111.85,77068.18000000001,5,Polymarket RTDS,77138.71168812527,77155.57584889805,1.08,0.95,
2026-05-18T00:15:40.460Z,2026-05-18T00:15:39.942Z,KXBTC15M-26MAY172030-30,BTC price up in next 15 mins?,KXBTC15M-26MAY172030,2026-05-18T00:30:00Z,active,0.55,0.57,0.43,0.45,0.56,0.6,12152.46,9656.15,255.63,756.26,2026-05-18T00:15:39.994Z,btc-updown-15m-1779063300,"Bitcoin Up or Down - May 17, 8:15PM-8:30PM ET",btc-updown-15m-1779063300,2026-05-18T00:30:00Z,,0.51,0.54,0.46,0.49,0.525,0.57,1784.5063550000002,,77.32,47.12,2026-05-18T00:15:39.994Z,BRTI,77201.44,77111.85,77090.39,6,Polymarket RTDS,77144.64795422435,77155.57584889805,1.06,0.99,
2026-05-18T00:15:42.453Z,2026-05-18T00:15:41.927Z,KXBTC15M-26MAY172030-30,BTC price up in next 15 mins?,KXBTC15M-26MAY172030,2026-05-18T00:30:00Z,active,0.54,0.55,0.45,0.46,0.545,0.6,12152.46,9656.15,196.0,1077.0,2026-05-18T00:15:41.977Z,btc-updown-15m-1779063300,"Bitcoin Up or Down - May 17, 8:15PM-8:30PM ET",btc-updown-15m-1779063300,2026-05-18T00:30:00Z,,0.52,0.53,0.47,0.48,0.525,0.57,1784.5063550000002,,124.5,31.33,2026-05-18T00:15:41.977Z,BRTI,77201.44,77111.85,77106.25428571428,7,Polymarket RTDS,77133.22663,77155.57584889805,1.03,0.99,
2026-05-18T00:15:44.445Z,2026-05-18T00:15:43.927Z,KXBTC15M-26MAY172030-30,BTC price up in next 15 mins?,KXBTC15M-26MAY172030,2026-05-18T00:30:00Z,active,0.52,0.53,0.47,0.48,0.525,0.6,12152.46,9656.15,3351.37,607.0,2026-05-18T00:15:43.979Z,btc-updown-15m-1779063300,"Bitcoin Up or Down - May 17, 8:15PM-8:30PM ET",btc-updown-15m-1779063300,2026-05-18T00:30:00Z,,0.49,0.51,0.49,0.51,0.5,0.57,1784.5063550000002,,307.56,84.32,2026-05-18T00:15:43.979Z,BRTI,77034.99,77111.85,77097.34625,8,Polymarket RTDS,77123.32635225948,77155.57584889805,1.04,0.99,
2026-05-18T00:15:46.533Z,2026-05-18T00:15:45.937Z,KXBTC15M-26MAY172030-30,BTC price up in next 15 mins?,KXBTC15M-26MAY172030,2026-05-18T00:30:00Z,active,0.52,0.53,0.47,0.48,0.525,0.6,12152.46,9656.15,4216.12,766.67,2026-05-18T00:15:45.988Z,btc-updown-15m-1779063300,"Bitcoin Up or Down - May 17, 8:15PM-8:30PM ET",btc-updown-15m-1779063300,2026-05-18T00:30:00Z,,0.49,0.5,0.5,0.51,0.495,0.57,1784.5063550000002,,277.91,468.05,2026-05-18T00:15:45.988Z,BRTI,77057.56,77111.85,77092.92555555556,9,Polymarket RTDS,77118.54152445494,77155.57584889805,1.04,0.98,
2026-05-18T00:15:48.531Z,2026-05-18T00:15:47.931Z,KXBTC15M-26MAY172030-30,BTC price up in next 15 mins?,KXBTC15M-26MAY172030,2026-05-18T00:30:00Z,active,0.52,0.53,0.47,0.48,0.525,0.6,12152.46,9656.15,2114.28,1318.83,2026-05-18T00:15:47.975Z,btc-updown-15m-1779063300,"Bitcoin Up or Down - May 17, 8:15PM-8:30PM ET",btc-updown-15m-1779063300,2026-05-18T00:30:00Z,,0.49,0.5,0.5,0.51,0.495,0.57,1784.5063550000002,,250.94,583.18,2026-05-18T00:15:47.975Z,BRTI,77201.44,77111.85,77103.777,10,Polymarket RTDS,77117.06001931483,77155.57584889805,1.04,0.98,
