timestamp_utc,ticker,title,event_ticker,close_time,status,yes_bid,yes_ask,no_bid,no_ask,yes_mid,last_price,volume,open_interest,best_yes_bid_qty,best_no_bid_qty,yes_levels_json,no_levels_json
2026-05-16T07:45:26.762Z,KXBTC15M-26MAY160400-00,BTC price up in next 15 mins?,KXBTC15M-26MAY160400,2026-05-16T08:00:00Z,active,0.5,0.51,0.49,0.5,0.505,0.51,5318.94,3695.16,656.34,128.73,"[[""0.4100"",""304.97""],[""0.4200"",""191.95""],[""0.4300"",""384.33""],[""0.4400"",""125.00""],[""0.4500"",""176.00""],[""0.4600"",""529.00""],[""0.4700"",""92.32""],[""0.4800"",""1202.00""],[""0.4900"",""1727.00""],[""0.5000"",""656.34""]]","[[""0.4000"",""319.00""],[""0.4100"",""269.97""],[""0.4200"",""126.95""],[""0.4300"",""227.00""],[""0.4400"",""151.00""],[""0.4500"",""176.00""],[""0.4600"",""136.00""],[""0.4700"",""2715.84""],[""0.4800"",""1725.00""],[""0.4900"",""128.73""]]"
2026-05-16T07:45:28.752Z,KXBTC15M-26MAY160400-00,BTC price up in next 15 mins?,KXBTC15M-26MAY160400,2026-05-16T08:00:00Z,active,0.5,0.51,0.49,0.5,0.505,0.51,5318.94,3695.16,1009.53,33.0,"[[""0.4000"",""659.00""],[""0.4100"",""304.97""],[""0.4200"",""191.95""],[""0.4300"",""384.33""],[""0.4400"",""125.00""],[""0.4500"",""176.00""],[""0.4600"",""529.00""],[""0.4700"",""112.32""],[""0.4800"",""2734.00""],[""0.4900"",""1009.53""]]","[[""0.4100"",""269.97""],[""0.4200"",""126.95""],[""0.4300"",""227.00""],[""0.4400"",""301.00""],[""0.4500"",""176.00""],[""0.4600"",""126.00""],[""0.4700"",""187.44""],[""0.4800"",""3105.40""],[""0.4900"",""1266.26""],[""0.5000"",""33.00""]]"
2026-05-16T07:45:30.752Z,KXBTC15M-26MAY160400-00,BTC price up in next 15 mins?,KXBTC15M-26MAY160400,2026-05-16T08:00:00Z,active,0.5,0.51,0.49,0.5,0.505,0.51,5318.94,3695.16,1323.0,1273.26,"[[""0.4000"",""259.00""],[""0.4100"",""344.97""],[""0.4200"",""151.95""],[""0.4300"",""383.40""],[""0.4400"",""125.00""],[""0.4500"",""176.00""],[""0.4600"",""529.00""],[""0.4700"",""92.32""],[""0.4800"",""2734.00""],[""0.4900"",""1323.00""]]","[[""0.4000"",""719.00""],[""0.4100"",""269.97""],[""0.4200"",""126.95""],[""0.4300"",""227.00""],[""0.4400"",""301.00""],[""0.4500"",""176.00""],[""0.4600"",""126.00""],[""0.4700"",""1187.44""],[""0.4800"",""2105.40""],[""0.4900"",""1273.26""]]"
2026-05-16T07:45:32.760Z,KXBTC15M-26MAY160400-00,BTC price up in next 15 mins?,KXBTC15M-26MAY160400,2026-05-16T08:00:00Z,active,0.5,0.51,0.49,0.5,0.505,0.51,5318.94,3695.16,100.0,1113.05,"[[""0.3800"",""258.05""],[""0.3900"",""283.02""],[""0.4000"",""259.00""],[""0.4100"",""494.97""],[""0.4200"",""151.95""],[""0.4300"",""233.40""],[""0.4400"",""525.00""],[""0.4500"",""3716.00""],[""0.4600"",""170.94""],[""0.4700"",""100.00""]]","[[""0.4300"",""227.93""],[""0.4400"",""151.00""],[""0.4500"",""251.00""],[""0.4600"",""276.00""],[""0.4700"",""177.44""],[""0.4800"",""127.00""],[""0.4900"",""313.36""],[""0.5000"",""2107.40""],[""0.5100"",""1160.00""],[""0.5200"",""1113.05""]]"
2026-05-16T07:45:34.744Z,KXBTC15M-26MAY160400-00,BTC price up in next 15 mins?,KXBTC15M-26MAY160400,2026-05-16T08:00:00Z,active,0.5,0.51,0.49,0.5,0.505,0.51,5318.94,3695.16,118.56,55.05,"[[""0.3700"",""639.08""],[""0.3800"",""258.05""],[""0.3900"",""283.02""],[""0.4000"",""373.00""],[""0.4100"",""454.00""],[""0.4200"",""151.00""],[""0.4300"",""2773.40""],[""0.4400"",""527.00""],[""0.4500"",""1186.62""],[""0.4600"",""118.56""]]","[[""0.4400"",""151.00""],[""0.4500"",""176.88""],[""0.4600"",""276.86""],[""0.4700"",""177.44""],[""0.4800"",""127.00""],[""0.4900"",""247.00""],[""0.5000"",""167.00""],[""0.5100"",""611.00""],[""0.5200"",""3718.24""],[""0.5300"",""55.05""]]"
2026-05-16T07:45:36.749Z,KXBTC15M-26MAY160400-00,BTC price up in next 15 mins?,KXBTC15M-26MAY160400,2026-05-16T08:00:00Z,active,0.5,0.51,0.49,0.5,0.505,0.51,5318.94,3695.16,2747.44,2.37,"[[""0.3700"",""639.08""],[""0.3800"",""258.05""],[""0.3900"",""283.02""],[""0.4000"",""298.00""],[""0.4100"",""304.00""],[""0.4200"",""151.00""],[""0.4300"",""383.40""],[""0.4400"",""127.00""],[""0.4500"",""1844.00""],[""0.4600"",""2747.44""]]","[[""0.4300"",""627.93""],[""0.4400"",""301.90""],[""0.4500"",""176.88""],[""0.4600"",""126.86""],[""0.4700"",""252.44""],[""0.4800"",""125.00""],[""0.4900"",""628.00""],[""0.5000"",""2815.40""],[""0.5100"",""1230.00""],[""0.5300"",""2.37""]]"
2026-05-16T07:45:38.763Z,KXBTC15M-26MAY160400-00,BTC price up in next 15 mins?,KXBTC15M-26MAY160400,2026-05-16T08:00:00Z,active,0.5,0.51,0.49,0.5,0.505,0.51,5318.94,3695.16,1461.53,74.43,"[[""0.3700"",""639.08""],[""0.3800"",""258.05""],[""0.3900"",""283.02""],[""0.4000"",""373.00""],[""0.4100"",""304.00""],[""0.4200"",""301.00""],[""0.4300"",""233.40""],[""0.4400"",""127.00""],[""0.4500"",""3116.00""],[""0.4600"",""1461.53""]]","[[""0.4400"",""151.90""],[""0.4500"",""517.88""],[""0.4600"",""126.86""],[""0.4700"",""177.44""],[""0.4800"",""127.00""],[""0.4900"",""626.00""],[""0.5000"",""1707.40""],[""0.5100"",""2193.32""],[""0.5200"",""160.00""],[""0.5300"",""74.43""]]"
2026-05-16T07:45:40.756Z,KXBTC15M-26MAY160400-00,BTC price up in next 15 mins?,KXBTC15M-26MAY160400,2026-05-16T08:00:00Z,active,0.5,0.51,0.49,0.5,0.505,0.51,5318.94,3695.16,1499.66,10.0,"[[""0.3700"",""1039.08""],[""0.3800"",""258.05""],[""0.3900"",""283.02""],[""0.4000"",""423.00""],[""0.4100"",""304.00""],[""0.4200"",""362.00""],[""0.4300"",""233.40""],[""0.4400"",""127.00""],[""0.4500"",""3116.00""],[""0.4600"",""1499.66""]]","[[""0.4300"",""227.93""],[""0.4400"",""151.90""],[""0.4500"",""517.88""],[""0.4600"",""126.00""],[""0.4700"",""252.44""],[""0.4800"",""127.00""],[""0.4900"",""626.00""],[""0.5000"",""2707.40""],[""0.5100"",""1353.00""],[""0.5200"",""10.00""]]"
2026-05-16T07:45:42.747Z,KXBTC15M-26MAY160400-00,BTC price up in next 15 mins?,KXBTC15M-26MAY160400,2026-05-16T08:00:00Z,active,0.5,0.51,0.49,0.5,0.505,0.51,5318.94,3695.16,1620.72,279.0,"[[""0.3700"",""639.08""],[""0.3800"",""258.05""],[""0.3900"",""283.02""],[""0.4000"",""424.00""],[""0.4100"",""304.00""],[""0.4200"",""301.00""],[""0.4300"",""233.40""],[""0.4400"",""188.00""],[""0.4500"",""3116.00""],[""0.4600"",""1620.72""]]","[[""0.4300"",""227.93""],[""0.4400"",""151.90""],[""0.4500"",""517.88""],[""0.4600"",""126.86""],[""0.4700"",""177.44""],[""0.4800"",""127.00""],[""0.4900"",""626.00""],[""0.5000"",""1707.40""],[""0.5100"",""2167.32""],[""0.5200"",""279.00""]]"
2026-05-16T07:45:44.755Z,KXBTC15M-26MAY160400-00,BTC price up in next 15 mins?,KXBTC15M-26MAY160400,2026-05-16T08:00:00Z,active,0.5,0.51,0.49,0.5,0.505,0.51,5318.94,3695.16,1501.94,1292.97,"[[""0.3700"",""639.08""],[""0.3800"",""258.05""],[""0.3900"",""283.02""],[""0.4000"",""423.00""],[""0.4100"",""304.00""],[""0.4200"",""301.00""],[""0.4300"",""233.40""],[""0.4400"",""2667.00""],[""0.4500"",""866.00""],[""0.4600"",""1501.94""]]","[[""0.4300"",""627.93""],[""0.4400"",""151.90""],[""0.4500"",""517.88""],[""0.4600"",""126.86""],[""0.4700"",""177.44""],[""0.4800"",""127.00""],[""0.4900"",""165.00""],[""0.5000"",""628.00""],[""0.5100"",""2676.72""],[""0.5200"",""1292.97""]]"
