fetched_at_utc,market_slug,market_id,condition_id,question,event_start_utc,event_end_utc,event_closed,market_closed,market_active,uma_resolution_status,resolution_source,outcomes,outcome_prices,winning_outcome,up_won,down_won,official_outcome_source,up_token_id,down_token_id,volume,liquidity,gamma_updated_at,error
2026-06-10T18:09:16Z,btc-updown-5m-1780892700,2460268,0xb5ef11db9b7dda4270fa956dda66482009fa9c4b9cb20ba4c00509701daa1cf6,"Bitcoin Up or Down - June 8, 12:25AM-12:30AM ET",2026-06-08T04:25:00Z,2026-06-08T04:30:00Z,True,True,True,resolved,https://data.chain.link/streams/btc-usd,"[""Up"",""Down""]","[""1"",""0""]",Up,1,0,gamma.outcomePrices_final,68294806119527278162683738545982891877228124814575138308155862726387694788161,21659792596189921302084585443269120954570217519094419901894293365835473205138,52869.08799500001,,2026-06-09T04:46:04.444764Z,
2026-06-10T18:09:17Z,btc-updown-5m-1780893000,2460283,0xf5a379937d3e0ce3a297657b143e63024122ce42e1e63c1d846ce201692d1f55,"Bitcoin Up or Down - June 8, 12:30AM-12:35AM ET",2026-06-08T04:30:00Z,2026-06-08T04:35:00Z,True,True,True,resolved,https://data.chain.link/streams/btc-usd,"[""Up"",""Down""]","[""0"",""1""]",Down,0,1,gamma.outcomePrices_final,6118169276965710152824114513031381016797194415596678734276573517042602492654,39656046604688738414029146029227558309297803030589610518264285851291310960818,96560.58585599992,,2026-06-09T04:46:04.473337Z,
2026-06-10T18:09:17Z,btc-updown-5m-1780893300,2460326,0x43ebdc4044a6a4f93e2b59a9ebd0243c15c2ff7fa79d95f4f7438e16ea2c5aab,"Bitcoin Up or Down - June 8, 12:35AM-12:40AM ET",2026-06-08T04:35:00Z,2026-06-08T04:40:00Z,True,True,True,resolved,https://data.chain.link/streams/btc-usd,"[""Up"",""Down""]","[""0"",""1""]",Down,0,1,gamma.outcomePrices_final,99202562891963167122117415430780787454703830500977695153974052456118555428319,14728829208301743476229910324082413010637904731254220137591534638876926396867,58199.232929999926,,2026-06-09T04:55:52.244543Z,
2026-06-10T18:09:18Z,btc-updown-5m-1780893600,2460334,0x00957579a8a72936d9a5b8c96178e72569021abf7f0a37dcb4a67e9ed4c40ba0,"Bitcoin Up or Down - June 8, 12:40AM-12:45AM ET",2026-06-08T04:40:00Z,2026-06-08T04:45:00Z,True,True,True,resolved,https://data.chain.link/streams/btc-usd,"[""Up"",""Down""]","[""0"",""1""]",Down,0,1,gamma.outcomePrices_final,31809690058726909388897887677391210835405647034789368636938309877770982921081,48572825160063341684033321138998122731765774364069307708040843351535530749213,60312.53597900005,,2026-06-09T04:55:51.54236Z,
2026-06-10T18:09:18Z,btc-updown-5m-1780893900,2460347,0x642a4c2d2c8f98b895cc16b5d6506898494a923181fae45ce5e937073e0cf66c,"Bitcoin Up or Down - June 8, 12:45AM-12:50AM ET",2026-06-08T04:45:00Z,2026-06-08T04:50:00Z,True,True,True,resolved,https://data.chain.link/streams/btc-usd,"[""Up"",""Down""]","[""1"",""0""]",Up,1,0,gamma.outcomePrices_final,35573231627615015250755631970522538362481505615673065843188735768985773269241,96633014106362084182842452323286890292967021377533184117998553094392153704448,53443.63459299999,,2026-06-09T05:05:25.620161Z,
2026-06-10T18:09:19Z,btc-updown-5m-1780894200,2460350,0x4df3d7c4994fd5b6581dbf33604ef95ae8030b857c4c2549d638889536bd8ac2,"Bitcoin Up or Down - June 8, 12:50AM-12:55AM ET",2026-06-08T04:50:00Z,2026-06-08T04:55:00Z,True,True,True,resolved,https://data.chain.link/streams/btc-usd,"[""Up"",""Down""]","[""0"",""1""]",Down,0,1,gamma.outcomePrices_final,9946630535910060325053549221043921230837529047778560071690340260399325114082,58896926562542811861110952874798672487687441202444115166575368173810242923344,64223.51121100001,,2026-06-09T05:05:52.229384Z,
2026-06-10T18:09:19Z,btc-updown-5m-1780894500,2460452,0xbe7c308bc96936c74d10bf85a026cfcedbd834311b20055f154f0445a7a1815b,"Bitcoin Up or Down - June 8, 12:55AM-1:00AM ET",2026-06-08T04:55:00Z,2026-06-08T05:00:00Z,True,True,True,resolved,https://data.chain.link/streams/btc-usd,"[""Up"",""Down""]","[""0"",""1""]",Down,0,1,gamma.outcomePrices_final,98539593870542477035875802293551093837243613479909141989825445272025668402448,24298985550071324747683067135836336606131731170942682405551427754388301733928,53314.74011699996,,2026-06-09T05:15:50.017568Z,
2026-06-10T18:09:20Z,btc-updown-5m-1780894800,2460466,0x1c0807c9ed49f0130adc1f0b0a6997a707a6a5eacfb86ca15ba3f9dc864901a8,"Bitcoin Up or Down - June 8, 1:00AM-1:05AM ET",2026-06-08T05:00:00Z,2026-06-08T05:05:00Z,True,True,True,resolved,https://data.chain.link/streams/btc-usd,"[""Up"",""Down""]","[""1"",""0""]",Up,1,0,gamma.outcomePrices_final,67853281979700258417760975361796855615966652047576477442573849831383252993489,81205286886442116445640863734594612724124027433893059426387099811181477889146,42560.37248299999,,2026-06-09T05:16:18.428703Z,
2026-06-10T18:09:21Z,btc-updown-5m-1780895100,2460474,0xd3aebcb6f3e0249a9d891091ebf86c0679efdcdf969be9f7d75b890a117bcb28,"Bitcoin Up or Down - June 8, 1:05AM-1:10AM ET",2026-06-08T05:05:00Z,2026-06-08T05:10:00Z,True,True,True,resolved,https://data.chain.link/streams/btc-usd,"[""Up"",""Down""]","[""0"",""1""]",Down,0,1,gamma.outcomePrices_final,29854538841747391126548856285502580063569581711314155819331298740142941569008,55260396299604155173386318929079486210163816886577745069826973180727850712319,54414.677654000036,,2026-06-09T05:25:11.866838Z,
2026-06-10T18:09:21Z,btc-updown-5m-1780895400,2460481,0xd373b2ecd08e202a21a6d58336ff8c816f92881f7da7429df7d46e682ce131e1,"Bitcoin Up or Down - June 8, 1:10AM-1:15AM ET",2026-06-08T05:10:00Z,2026-06-08T05:15:00Z,True,True,True,resolved,https://data.chain.link/streams/btc-usd,"[""Up"",""Down""]","[""0"",""1""]",Down,0,1,gamma.outcomePrices_final,93803282905712174588515635188545298163988607869130751530448090605190189758559,57049925608607035029243782257233753323312730737329672276458121851607431899135,57549.23119299998,,2026-06-09T05:25:11.6523Z,
